# t (s)	mx ()	my ()	mz ()	E_total (J)	Angle (rad)
0	1	0	0	9.671688e-19	0
0	0.99995005	0.009999832	0	9.671726e-19	0.01
0	0.99979997	0.019998666	0	9.671847e-19	0.02
0	0.99955	0.0299955	0	9.672041e-19	0.03
0	0.99920017	0.039989334	0	9.672316e-19	0.04
0	0.99875027	0.049979173	0	9.672669e-19	0.05
0	0.99820054	0.059964005	0	9.673099e-19	0.06
0	0.997551	0.06994285	0	9.673603e-19	0.07
0	0.99680173	0.0799147	0	9.674184e-19	0.08
0	0.9959528	0.089878544	0	9.674838e-19	0.09
0	0.9950041	0.09983342	0	9.675566e-19	0.1
0	0.99395615	0.1097783	0	9.676369e-19	0.11
0	0.9928085	0.1197122	0	9.677238e-19	0.12
0	0.99156195	0.12963416	0	9.678182e-19	0.13
0	0.99021596	0.13954313	0	9.679193e-19	0.14
0	0.988771	0.1494381	0	9.680268e-19	0.15
0	0.9872274	0.15931822	0	9.681413e-19	0.16
0	0.9855849	0.16918235	0	9.682614e-19	0.17
0	0.9838437	0.17902957	0	9.68388e-19	0.18
0	0.9820043	0.1888589	0	9.685206e-19	0.19
0	0.9800666	0.19866933	0	9.686586e-19	0.2
0	0.97803086	0.20845991	0	9.688025e-19	0.21
0	0.97589755	0.21822964	0	9.689516e-19	0.22
0	0.97366655	0.22797754	0	9.691056e-19	0.23
0	0.971338	0.23770262	0	9.69264e-19	0.24
0	0.9689125	0.24740396	0	9.694271e-19	0.25
0	0.9663901	0.2570806	0	9.695947e-19	0.26
0	0.96377105	0.26673147	0	9.697659e-19	0.27
0	0.9610555	0.27635562	0	9.699411e-19	0.28
0	0.958244	0.28595224	0	9.701196e-19	0.29
0	0.9553365	0.29552022	0	9.703013e-19	0.3
0	0.95233357	0.30505863	0	9.704859e-19	0.31
0	0.9492354	0.31456655	0	9.706728e-19	0.32
0	0.94604236	0.32404304	0	9.708621e-19	0.33
0	0.94275475	0.33348712	0	9.710534e-19	0.34
0	0.9393727	0.3428978	0	9.712463e-19	0.35
0	0.9358968	0.3522742	0	9.714407e-19	0.36
0	0.93232745	0.36161545	0	9.71636e-19	0.37
0	0.9286647	0.37092048	0	9.718318e-19	0.38
0	0.924909	0.38018844	0	9.720283e-19	0.39
0	0.9210609	0.3894183	0	9.722248e-19	0.4
0	0.91712075	0.39860937	0	9.724211e-19	0.41
0	0.91308904	0.40776047	0	9.726171e-19	0.42
0	0.90896577	0.41687083	0	9.728113e-19	0.43
0	0.9047516	0.4259395	0	9.730051e-19	0.44
0	0.90044713	0.43496552	0	9.731973e-19	0.45
0	0.8960525	0.44394812	0	9.733879e-19	0.46
0	0.89156824	0.45288625	0	9.735762e-19	0.47
0	0.8869951	0.46177927	0	9.737623e-19	0.48
0	0.8823329	0.4706259	0	9.739454e-19	0.49
0	0.8775826	0.47942558	0	9.741256e-19	0.5
0	0.8727445	0.48817724	0	9.743026e-19	0.51
0	0.86781925	0.49688014	0	9.744761e-19	0.52
0	0.86280715	0.5055333	0	9.746456e-19	0.53
0	0.8577087	0.514136	0	9.748112e-19	0.54
0	0.8525245	0.52268726	0	9.749724e-19	0.55
0	0.84725505	0.5311862	0	9.751288e-19	0.56
0	0.84190106	0.53963196	0	9.752804e-19	0.57
0	0.8364627	0.54802394	0	9.754271e-19	0.58
0	0.8309406	0.556361	0	9.75568e-19	0.59
0	0.8253356	0.56464255	0	9.757037e-19	0.6
0	0.819648	0.57286745	0	9.758334e-19	0.61
0	0.8138785	0.5810352	0	9.759573e-19	0.62
0	0.80802745	0.58914477	0	9.760749e-19	0.63
0	0.8020958	0.59719545	0	9.76186e-19	0.64
0	0.7960838	0.6051864	0	9.762908e-19	0.65
0	0.7899922	0.6131168	0	9.763887e-19	0.66
0	0.7838217	0.620986	0	9.764796e-19	0.67
0	0.77757275	0.62879306	0	9.765637e-19	0.68
0	0.7712461	0.63653725	0	9.766405e-19	0.69
0	0.76484215	0.64421767	0	9.767098e-19	0.7
0	0.75836194	0.6518338	0	9.76772e-19	0.71
0	0.75180566	0.65938467	0	9.768265e-19	0.72
0	0.7451744	0.66686964	0	9.768736e-19	0.73
0	0.7384686	0.674288	0	9.769129e-19	0.74
0	0.7316889	0.68163884	0	9.769445e-19	0.75
0	0.724836	0.6889214	0	9.769685e-19	0.76
0	0.71791065	0.6961352	0	9.769847e-19	0.77
0	0.71091354	0.7032794	0	9.769925e-19	0.78
0	0.7038454	0.71035326	0	9.769929e-19	0.79
0	0.69670665	0.717356	0	9.769854e-19	0.8
0	0.6894985	0.72428715	0	9.7697e-19	0.81
0	0.68222123	0.73114586	0	9.769469e-19	0.82
0	0.67487574	0.73793143	0	9.769157e-19	0.83
0	0.66746294	0.74464315	0	9.768771e-19	0.84
0	0.65998316	0.7512805	0	9.768306e-19	0.85
0	0.6524375	0.7578427	0	9.767767e-19	0.86
0	0.64482653	0.764329	0	9.767151e-19	0.87
0	0.6371511	0.77073884	0	9.766462e-19	0.88
0	0.62941206	0.7770718	0	9.765699e-19	0.89
0	0.62161	0.783327	0	9.764865e-19	0.9
0	0.6137458	0.7895038	0	9.76396e-19	0.91
0	0.6058202	0.79560155	0	9.762987e-19	0.92
0	0.597834	0.8016199	0	9.761945e-19	0.93
0	0.589788	0.8075582	0	9.76084e-19	0.94
0	0.5816831	0.8134156	0	9.759668e-19	0.95
0	0.57352	0.8191916	0	9.758436e-19	0.96
0	0.56529963	0.8248859	0	9.757143e-19	0.97
0	0.5570226	0.83049744	0	9.75579e-19	0.98
0	0.5486899	0.8360261	0	9.754385e-19	0.99
0	0.54030234	0.8414711	0	9.752924e-19	1
0	0.5318607	0.84683186	0	9.751409e-19	1.01
0	0.52336603	0.852108	0	9.749847e-19	1.02
0	0.5148189	0.85729915	0	9.748242e-19	1.03
0	0.5062202	0.8624042	0	9.746589e-19	1.04
0	0.49757105	0.8674233	0	9.744896e-19	1.05
