# t (s)	mx ()	my ()	mz ()	E_total (J)	Angle (rad)	Length (nm)
0	1	0	0	1.1800237e-18	0	100
0	0.99995	0.009999834	0	1.1800235e-18	0.01	100
0	0.9997999	0.019998666	0	1.1800238e-18	0.02	100
0	0.9995501	0.029995501	0	1.1800237e-18	0.03	100
0	0.9992001	0.03998933	0	1.1800237e-18	0.04	100
0	0.9987502	0.04997917	0	1.1800237e-18	0.05	100
0	0.9982005	0.059964	0	1.1800238e-18	0.06	100
0	0.9975511	0.06994284	0	1.1800238e-18	0.07	100
0	0.99680173	0.0799147	0	1.1800237e-18	0.08	100
0	0.99595284	0.089878544	0	1.1800237e-18	0.09	100
0	0.9950042	0.099833414	0	1.1800236e-18	0.1	100
0	0.993956	0.10977831	0	1.1800237e-18	0.11	100
0	0.9928086	0.119712204	0	1.1800238e-18	0.12	100
0	0.99156183	0.12963416	0	1.1800236e-18	0.13	100
0	0.9902162	0.13954312	0	1.1800237e-18	0.14	100
0	0.9887711	0.14943811	0	1.1800238e-18	0.15	100
0	0.9872273	0.15931824	0	1.1800239e-18	0.16	100
0	0.98558474	0.16918233	0	1.1800236e-18	0.17	100
0	0.9838436	0.17902955	0	1.1800236e-18	0.18	100
0	0.9820042	0.18885893	0	1.1800236e-18	0.19	100
0	0.9800666	0.19866933	0	1.1800237e-18	0.2	100
0	0.97803086	0.20845991	0	1.1800235e-18	0.21	100
0	0.97589755	0.21822967	0	1.1800241e-18	0.22	100
0	0.9736664	0.22797754	0	1.1800239e-18	0.23	100
0	0.9713379	0.23770264	0	1.1800238e-18	0.24	100
0	0.9689123	0.24740395	0	1.1800238e-18	0.25	100
0	0.96639	0.2570806	0	1.1800239e-18	0.26	100
0	0.963771	0.26673144	0	1.1800239e-18	0.27	100
0	0.96105546	0.27635565	0	1.1800238e-18	0.28	100
0	0.95824397	0.28595224	0	1.180024e-18	0.29	100
0	0.9553365	0.29552022	0	1.1800236e-18	0.3	100
0	0.9523337	0.30505863	0	1.1800238e-18	0.31	100
0	0.9492354	0.31456655	0	1.1800238e-18	0.32	100
0	0.94604236	0.324043	0	1.1800238e-18	0.33	100
0	0.9427547	0.33348712	0	1.1800238e-18	0.34	100
0	0.9393728	0.34289777	0	1.1800237e-18	0.35	100
0	0.9358969	0.35227427	0	1.1800235e-18	0.36	100
0	0.93232745	0.36161545	0	1.1800238e-18	0.37	100
0	0.92866457	0.37092045	0	1.1800235e-18	0.38	100
0	0.924909	0.38018838	0	1.1800235e-18	0.39	100
0	0.92106104	0.3894183	0	1.1800236e-18	0.4	100
0	0.9171208	0.39860934	0	1.1800236e-18	0.41	100
0	0.91308904	0.4077605	0	1.1800239e-18	0.42	100
0	0.90896565	0.4168708	0	1.1800238e-18	0.43	100
0	0.9047518	0.42593944	0	1.1800235e-18	0.44	100
0	0.9004472	0.4349655	0	1.1800235e-18	0.45	100
0	0.8960524	0.44394815	0	1.1800236e-18	0.46	100
0	0.89156824	0.45288622	0	1.1800236e-18	0.47	100
0	0.886995	0.46177924	0	1.1800239e-18	0.48	100
0	0.8823329	0.47062588	0	1.1800237e-18	0.49	100
0	0.8775826	0.47942555	0	1.1800238e-18	0.5	100
0	0.87274444	0.4881772	0	1.1800236e-18	0.51	100
0	0.86781913	0.49688008	0	1.1800237e-18	0.52	100
0	0.86280715	0.50553334	0	1.1800237e-18	0.53	100
0	0.8577087	0.51413596	0	1.1800237e-18	0.54	100
0	0.8525245	0.52268726	0	1.1800238e-18	0.55	100
0	0.84725505	0.53118616	0	1.1800235e-18	0.56	100
0	0.841901	0.539632	0	1.1800235e-18	0.57	100
0	0.8364627	0.548024	0	1.1800236e-18	0.58	100
0	0.8309406	0.556361	0	1.1800236e-18	0.59	100
0	0.82533574	0.5646425	0	1.1800237e-18	0.6	100
0	0.819648	0.57286745	0	1.1800236e-18	0.61	100
0	0.81387854	0.58103514	0	1.1800235e-18	0.62	100
0	0.80802745	0.58914477	0	1.1800236e-18	0.63	100
0	0.8020957	0.5971955	0	1.1800236e-18	0.64	100
0	0.79608387	0.6051864	0	1.1800236e-18	0.65	100
0	0.7899922	0.61311686	0	1.1800236e-18	0.66	100
0	0.78382164	0.6209859	0	1.1800237e-18	0.67	100
0	0.7775729	0.62879306	0	1.1800238e-18	0.68	100
0	0.771246	0.6365372	0	1.1800236e-18	0.69	100
0	0.7648422	0.64421755	0	1.1800235e-18	0.7	100
0	0.7583619	0.6518338	0	1.1800235e-18	0.71	100
0	0.7518058	0.65938467	0	1.1800235e-18	0.72	100
0	0.7451744	0.6668697	0	1.1800234e-18	0.73	100
0	0.7384685	0.6742879	0	1.1800236e-18	0.74	100
0	0.7316888	0.6816389	0	1.1800236e-18	0.75	100
0	0.72483605	0.6889214	0	1.1800237e-18	0.76	100
0	0.71791065	0.6961353	0	1.1800236e-18	0.77	100
0	0.7109135	0.7032795	0	1.1800238e-18	0.78	100
0	0.70384526	0.7103532	0	1.1800234e-18	0.79	100
0	0.69670665	0.717356	0	1.1800234e-18	0.8	100
0	0.68949854	0.72428715	0	1.1800237e-18	0.81	100
0	0.6822213	0.7311458	0	1.1800237e-18	0.82	100
0	0.6748757	0.7379314	0	1.1800234e-18	0.83	100
0	0.6674629	0.7446431	0	1.1800236e-18	0.84	100
0	0.6599831	0.7512805	0	1.1800234e-18	0.85	100
0	0.6524375	0.75784266	0	1.1800238e-18	0.86	100
0	0.6448266	0.76432896	0	1.1800234e-18	0.87	100
0	0.6371512	0.77073884	0	1.1800234e-18	0.88	100
0	0.629412	0.77707183	0	1.1800236e-18	0.89	100
0	0.62161005	0.7833269	0	1.1800236e-18	0.9	100
0	0.6137458	0.78950363	0	1.1800235e-18	0.91	100
0	0.60582024	0.79560155	0	1.1800236e-18	0.92	100
0	0.597834	0.80161995	0	1.1800235e-18	0.93	100
0	0.58978796	0.8075582	0	1.1800235e-18	0.94	100
0	0.58168304	0.8134155	0	1.1800234e-18	0.95	100
0	0.57352	0.8191916	0	1.1800234e-18	0.96	100
0	0.5652996	0.82488596	0	1.1800238e-18	0.97	100
0	0.55702263	0.8304974	0	1.1800238e-18	0.98	100
0	0.5486899	0.8360261	0	1.1800238e-18	0.99	100
0	0.5403024	0.841471	0	1.1800237e-18	1	100
0	0.53186077	0.84683186	0	1.1800234e-18	1.01	100
0	0.523366	0.852108	0	1.1800234e-18	1.02	100
0	0.51481897	0.85729903	0	1.1800236e-18	1.03	100
0	0.50622034	0.8624042	0	1.1800235e-18	1.04	100
0	0.49757114	0.86742324	0	1.1800234e-18	1.05	100
0	0.4888721	0.87235564	0	1.1800236e-18	1.06	100
0	0.48012426	0.87720037	0	1.1800234e-18	1.07	100
0	0.47132832	0.8819579	0	1.1800235e-18	1.08	100
0	0.4624854	0.88662696	0	1.1800238e-18	1.09	100
0	0.45359614	0.8912074	0	1.1800234e-18	1.1	100
0	0.44466156	0.8956987	0	1.1800236e-18	1.11	100
0	0.43568248	0.90010047	0	1.1800236e-18	1.12	100
0	0.42665982	0.9044123	0	1.1800234e-18	1.13	100
0	0.41759452	0.9086336	0	1.1800237e-18	1.14	100
0	0.4084874	0.9127639	0	1.1800234e-18	1.15	100
0	0.3993395	0.91680324	0	1.1800234e-18	1.16	100
0	0.3901517	0.9207505	0	1.1800234e-18	1.17	100
0	0.38092485	0.92460597	0	1.1800233e-18	1.18	100
0	0.37165982	0.92836905	0	1.1800234e-18	1.19	100
0	0.36235777	0.93203914	0	1.1800235e-18	1.2	100
0	0.3530194	0.9356159	0	1.1800234e-18	1.21	100
0	0.34364575	0.9390993	0	1.1800235e-18	1.22	100
0	0.33423772	0.9424888	0	1.1800238e-18	1.23	100
0	0.32479632	0.9457839	0	1.1800233e-18	1.24	100
0	0.31532234	0.94898444	0	1.1800234e-18	1.25	100
0	0.30581698	0.95209044	0	1.1800237e-18	1.26	100
0	0.29628092	0.95510095	0	1.1800235e-18	1.27	100
0	0.28671524	0.9580158	0	1.1800234e-18	1.28	100
0	0.27712092	0.96083516	0	1.1800236e-18	1.29	100
0	0.2674988	0.9635581	0	1.1800234e-18	1.3	100
0	0.25785	0.966185	0	1.1800235e-18	1.31	100
0	0.24817549	0.96871513	0	1.1800235e-18	1.32	100
0	0.23847607	0.9711483	0	1.1800234e-18	1.33	100
0	0.2287528	0.9734846	0	1.1800235e-18	1.34	100
0	0.21900672	0.97572345	0	1.1800234e-18	1.35	100
0	0.20923868	0.9778646	0	1.1800234e-18	1.36	100
0	0.19944972	0.979908	0	1.1800234e-18	1.37	100
0	0.18964083	0.9818536	0	1.1800234e-18	1.38	100
0	0.179813	0.9837009	0	1.1800234e-18	1.39	100
0	0.16996714	0.9854496	0	1.1800234e-18	1.4	100
0	0.16010429	0.9871003	0	1.1800234e-18	1.41	100
0	0.15022546	0.98865163	0	1.1800233e-18	1.42	100
0	0.14033161	0.9901044	0	1.1800232e-18	1.43	100
0	0.13042371	0.9914584	0	1.1800234e-18	1.44	100
0	0.12050276	0.9927131	0	1.1800233e-18	1.45	100
0	0.11056979	0.9938683	0	1.1800233e-18	1.46	100
0	0.10062573	0.9949244	0	1.1800233e-18	1.47	100
0	0.09067162	0.99588084	0	1.1800234e-18	1.48	100
0	0.08070846	0.9967377	0	1.1800234e-18	1.49	100
0	0.0707372	0.997495	0	1.1800234e-18	1.5	100
0	0.06075888	0.99815243	0	1.1800235e-18	1.51	100
0	0.050774485	0.9987103	0	1.1800236e-18	1.52	100
0	0.04078501	0.99916804	0	1.1800233e-18	1.53	100
0	0.030791461	0.99952596	0	1.1800233e-18	1.54	100
