# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)
0	0.9924612	-2.6958589e-09	0	8.897733e-19	-3.120298e-20	0	1	100
0	0.701091	0.70107645	0	8.820567e-19	-3.11722e-20	0.7853982	1	100
0	0.99194896	-1.1274619e-08	0	8.730334e-19	-3.0536157e-20	0	0.95	100
0	0.70186484	0.7018518	0	8.797855e-19	-3.0555506e-20	0.7853982	0.95	100
0	0.99184924	-8.2701055e-09	0	8.628297e-19	-3.000939e-20	0	0.9	100
0	0.7023594	0.7023483	0	8.764439e-19	-3.005263e-20	0.7853982	0.9	100
0	0.99147606	-7.547657e-09	0	8.456935e-19	-2.9220785e-20	0	0.85	100
0	0.7032558	0.70324326	0	8.725102e-19	-2.931123e-20	0.7853982	0.85	100
0	0.99143225	4.3631398e-10	0	8.3286184e-19	-2.8442208e-20	0	0.8	100
0	0.70427865	0.70426565	0	8.699761e-19	-2.8572996e-20	0.7853982	0.8	100
0	0.99129057	-7.2450472e-09	0	8.1791283e-19	-2.7597534e-20	0	0.75	100
0	0.70522326	0.70521283	0	8.6415243e-19	-2.7765642e-20	0.7853982	0.75	100
0	0.99147004	-9.885411e-09	0	8.0651614e-19	-2.6698304e-20	0	0.7	100
0	0.70620626	0.7062007	0	8.58503e-19	-2.6893603e-20	0.7853982	0.7	100
0	0.99161273	-4.0731685e-09	0	7.9246555e-19	-2.5655002e-20	0	0.65	100
0	0.70687425	0.7068684	0	8.476912e-19	-2.5863385e-20	0.7853982	0.65	100
0	0.99223804	-1.4339717e-08	0	7.8382487e-19	-2.4543998e-20	0	0.6	100
0	0.70669353	0.7066826	0	8.326686e-19	-2.472135e-20	0.7853982	0.6	100
0	0.99272674	-1.3307142e-08	0	7.7322254e-19	-2.3348935e-20	0	0.55	100
0	0.70443434	0.704416	0	8.1057393e-19	-2.3430805e-20	0.7853982	0.55	100
0	0.9936206	-7.96395e-09	0	7.6492147e-19	-2.203453e-20	0	0.5	100
0	0.6989234	0.6988828	0	7.774731e-19	-2.1918717e-20	0.7853982	0.5	100
0	0.9946738	-1.2501577e-08	0	7.547118e-19	-2.0482323e-20	0	0.45	100
0	0.6893618	0.6893362	0	7.287538e-19	-2.007487e-20	0.7853982	0.45	100
0	0.99597013	-1.2093878e-08	0	7.4966474e-19	-1.8947334e-20	0	0.4	100
0	0.67612875	0.6761081	0	6.7039127e-19	-1.819029e-20	0.7853982	0.4	100
0	0.9972224	-1.6727487e-08	0	7.3814517e-19	-1.7184138e-20	0	0.35	100
0	0.66224897	0.66223687	0	6.0128994e-19	-1.613868e-20	0.7853982	0.35	100
0	0.9983651	-1.2959131e-08	0	7.2954254e-19	-1.5366838e-20	0	0.3	100
0	0.6458572	0.64585197	0	5.2268023e-19	-1.4058687e-20	0.7853982	0.3	100
0	0.999112	-1.1108148e-08	0	7.0782905e-19	-1.330018e-20	0	0.25	100
0	0.63142204	0.6314194	0	4.398045e-19	-1.1887132e-20	0.7853982	0.25	100
0	0.9995813	-7.829607e-09	0	6.7237867e-19	-1.100339e-20	0	0.2	100
0	0.6178333	0.61783195	0	3.563121e-19	-9.618209e-21	0.7853982	0.2	100
0	0.9999159	-2.9154446e-09	0	6.2903704e-19	-8.4632896e-21	0	0.15	100
0	0.5974397	0.5974396	0	2.6104853e-19	-7.151295e-21	0.7853982	0.15	100
0	0.9935255	-8.0483105e-09	0	8.400271e-19	-2.8136645e-20	0	1	95
0	0.7015603	0.7015509	0	8.295011e-19	-2.809767e-20	0.7853982	1	95
0	0.9931028	-1.0022856e-08	0	8.256006e-19	-2.7568534e-20	0	0.95	95
0	0.7021384	0.70212704	0	8.2560726e-19	-2.756472e-20	0.7853982	0.95	95
0	0.9926627	-1.1490344e-08	0	8.095529e-19	-2.6905132e-20	0	0.9	95
0	0.70293576	0.70292366	0	8.223264e-19	-2.6943893e-20	0.7853982	0.9	95
0	0.9925995	-6.2829186e-09	0	7.9920257e-19	-2.6347562e-20	0	0.85	95
0	0.70356536	0.7035553	0	8.1915164e-19	-2.641087e-20	0.7853982	0.85	95
0	0.9922673	-8.171922e-09	0	7.82389e-19	-2.556081e-20	0	0.8	95
0	0.70452845	0.70451885	0	8.1432566e-19	-2.5665896e-20	0.7853982	0.8	95
0	0.99234575	-1.2342256e-08	0	7.7118416e-19	-2.4848342e-20	0	0.75	95
0	0.7053055	0.70529693	0	8.0883023e-19	-2.4976058e-20	0.7853982	0.75	95
0	0.99231005	-4.3120667e-09	0	7.574521e-19	-2.3990084e-20	0	0.7	95
0	0.7063086	0.70630443	0	8.0304736e-19	-2.4148635e-20	0.7853982	0.7	95
0	0.9925837	-7.95904e-09	0	7.4710524e-19	-2.3154995e-20	0	0.65	95
0	0.7068388	0.7068343	0	7.936444e-19	-2.3319086e-20	0.7853982	0.65	95
0	0.9931814	-9.824383e-09	0	7.3860373e-19	-2.2120138e-20	0	0.6	95
0	0.70675105	0.70674455	0	7.801469e-19	-2.2260695e-20	0.7853982	0.6	95
0	0.9937415	-1.29780675e-08	0	7.293934e-19	-2.106732e-20	0	0.55	95
0	0.70512164	0.705103	0	7.6071737e-19	-2.1140205e-20	0.7853982	0.55	95
0	0.9945204	-1.1602386e-08	0	7.2099104e-19	-1.98745e-20	0	0.5	95
0	0.70040244	0.7003727	0	7.310686e-19	-1.9794106e-20	0.7853982	0.5	95
0	0.9956353	-1.4500764e-08	0	7.137251e-19	-1.8526783e-20	0	0.45	95
0	0.6919839	0.6919526	0	6.897026e-19	-1.8209617e-20	0.7853982	0.45	95
0	0.9966452	-1.02810365e-08	0	7.04888e-19	-1.7094458e-20	0	0.4	95
0	0.67973065	0.6797138	0	6.3607144e-19	-1.6487742e-20	0.7853982	0.4	95
0	0.99758685	-1.7273543e-08	0	6.918055e-19	-1.5514472e-20	0	0.35	95
0	0.66604584	0.6660331	0	5.719554e-19	-1.464877e-20	0.7853982	0.35	95
0	0.99852747	-1.1111045e-08	0	6.7699e-19	-1.377169e-20	0	0.3	95
0	0.65073985	0.6507337	0	4.971274e-19	-1.2692512e-20	0.7853982	0.3	95
0	0.99931365	-1.2155517e-08	0	6.5759406e-19	-1.18638525e-20	0	0.25	95
0	0.6342195	0.63421726	0	4.1804475e-19	-1.0648236e-20	0.7853982	0.25	95
0	0.99972856	-8.514305e-09	0	6.313344e-19	-9.9013115e-21	0	0.2	95
0	0.6178604	0.6178597	0	3.3710011e-19	-8.6539765e-21	0.7853982	0.2	95
0	0.99990004	-3.4472545e-09	0	5.7896025e-19	-7.663235e-21	0	0.15	95
0	0.6050339	0.60503346	0	2.5659396e-19	-6.5576783e-21	0.7853982	0.15	95
0	0.9940839	-1.45184655e-08	0	7.8955237e-19	-2.5353118e-20	0	1	90
0	0.7023139	0.7023017	0	7.835827e-19	-2.533091e-20	0.7853982	1	90
0	0.9938366	-5.898972e-09	0	7.7780755e-19	-2.4853868e-20	0	0.95	90
0	0.7028107	0.70280004	0	7.794907e-19	-2.485587e-20	0.7853982	0.95	90
0	0.99342304	-8.896325e-09	0	7.6334605e-19	-2.4287205e-20	0	0.9	90
0	0.70345443	0.7034419	0	7.752942e-19	-2.4321504e-20	0.7853982	0.9	90
0	0.9932983	-1.2798054e-08	0	7.5277127e-19	-2.3759695e-20	0	0.85	90
0	0.7041912	0.7041819	0	7.7307995e-19	-2.3821212e-20	0.7853982	0.85	90
0	0.9930867	-9.4684465e-09	0	7.381792e-19	-2.3071392e-20	0	0.8	90
0	0.7049478	0.7049409	0	7.669216e-19	-2.3160955e-20	0.7853982	0.8	90
0	0.99311477	-9.343588e-09	0	7.27362e-19	-2.242056e-20	0	0.75	90
0	0.7057365	0.7057299	0	7.6227325e-19	-2.2532145e-20	0.7853982	0.75	90
0	0.9931419	-1.4596215e-08	0	7.1276494e-19	-2.154721e-20	0	0.7	90
0	0.7065736	0.70657027	0	7.5365294e-19	-2.1679588e-20	0.7853982	0.7	90
0	0.99340177	-1.028362e-08	0	7.0345223e-19	-2.0837596e-20	0	0.65	90
0	0.70694524	0.70694196	0	7.4467116e-19	-2.097116e-20	0.7853982	0.65	90
0	0.99382067	-1.4510199e-08	0	6.9379076e-19	-1.992412e-20	0	0.6	90
0	0.70670754	0.7067021	0	7.312556e-19	-2.0036605e-20	0.7853982	0.6	90
0	0.9945332	-1.4066721e-08	0	6.8717295e-19	-1.8967736e-20	0	0.55	90
0	0.70490456	0.7048898	0	7.1269944e-19	-1.9012405e-20	0.7853982	0.55	90
0	0.9952275	-1.3161364e-08	0	6.772354e-19	-1.7866326e-20	0	0.5	90
0	0.70065403	0.7006332	0	6.8439383e-19	-1.7787915e-20	0.7853982	0.5	90
0	0.99617547	-1.7686226e-08	0	6.699934e-19	-1.6671995e-20	0	0.45	90
0	0.69234425	0.69231784	0	6.4529166e-19	-1.6386283e-20	0.7853982	0.45	90
0	0.99697596	-1.6254415e-08	0	6.609018e-19	-1.5457117e-20	0	0.4	90
0	0.681581	0.6815637	0	5.9834337e-19	-1.4944134e-20	0.7853982	0.4	90
0	0.9978708	-1.4406297e-08	0	6.469104e-19	-1.4002122e-20	0	0.35	90
0	0.66917604	0.6691636	0	5.3966504e-19	-1.3279169e-20	0.7853982	0.35	90
0	0.99869895	-2.1419217e-08	0	6.3011486e-19	-1.2383867e-20	0	0.3	90
0	0.65470177	0.6546953	0	4.688383e-19	-1.1480955e-20	0.7853982	0.3	90
0	0.99932283	-1.6287766e-08	0	6.144834e-19	-1.0760706e-20	0	0.25	90
0	0.638621	0.638618	0	3.968059e-19	-9.725058e-21	0.7853982	0.25	90
0	0.9996933	-7.666273e-09	0	5.818091e-19	-8.909267e-21	0	0.2	90
0	0.62458885	0.6245874	0	3.224943e-19	-7.871979e-21	0.7853982	0.2	90
0	0.99988425	-3.7516386e-09	0	5.400189e-19	-6.927199e-21	0	0.15	90
0	0.6084368	0.6084359	0	2.453846e-19	-5.96126e-21	0.7853982	0.15	90
0	0.9951459	-1.14863115e-08	0	7.3903387e-19	-2.2546026e-20	0	1	85
0	0.70273983	0.7027334	0	7.2989326e-19	-2.2515977e-20	0.7853982	1	85
0	0.9947064	-1.1554032e-08	0	7.2653357e-19	-2.2106358e-20	0	0.95	85
0	0.70325345	0.7032455	0	7.262405e-19	-2.2102765e-20	0.7853982	0.95	85
0	0.99456346	-1.2885347e-08	0	7.167712e-19	-2.1673528e-20	0	0.9	85
0	0.70373017	0.7037257	0	7.2261816e-19	-2.1687868e-20	0.7853982	0.9	85
0	0.9941084	-1.2712623e-08	0	7.0150954e-19	-2.1091005e-20	0	0.85	85
0	0.7044735	0.7044658	0	7.1789304e-19	-2.1136877e-20	0.7853982	0.85	85
0	0.9941213	-1.4592404e-08	0	6.911307e-19	-2.0534573e-20	0	0.8	85
0	0.7051265	0.7051207	0	7.131444e-19	-2.059807e-20	0.7853982	0.8	85
0	0.9942497	-1.4213597e-08	0	6.830976e-19	-1.9996351e-20	0	0.75	85
0	0.7058557	0.705851	0	7.097224e-19	-2.007635e-20	0.7853982	0.75	85
0	0.9941384	-1.5937335e-08	0	6.6744376e-19	-1.9214708e-20	0	0.7	85
