# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Length (nm)
0	0.9924671	-4.2352664e-09	0	8.897735e-19	-3.120317e-20	0	100
0	0.7010909	0.70107704	0	8.820568e-19	-3.1172208e-20	0.7853982	100
0	-4.1291e-09	0.99246186	0	8.897692e-19	-3.1203004e-20	1.5707964	100
0	-0.70109	0.70107615	0	8.820567e-19	-3.117217e-20	2.3561945	100
0	-0.99246657	6.2600045e-09	0	8.897736e-19	-3.1203146e-20	3.1415927	100
0	-0.70108604	-0.70107174	0	8.820567e-19	-3.1171985e-20	3.9269907	100
0	3.6722072e-09	-0.99246657	0	8.897692e-19	-3.120315e-20	4.712389	100
0	0.70108956	-0.70107806	0	8.820567e-19	-3.11722e-20	5.497787	100
0	0.9924671	-1.0023211e-08	0	8.897735e-19	-3.120317e-20	6.2831855	100
0	0.99194866	-5.5627645e-09	0	8.730335e-19	-3.053615e-20	0	95
0	0.7018645	0.70185125	0	8.797855e-19	-3.0555486e-20	0.7853982	95
0	-4.0583203e-09	0.99194866	0	8.730304e-19	-3.053615e-20	1.5707964	95
0	-0.7018625	0.7018449	0	8.797854e-19	-3.0555302e-20	2.3561945	95
0	-0.99194884	5.049666e-09	0	8.730334e-19	-3.0536154e-20	3.1415927	95
0	-0.70186526	-0.70185137	0	8.797855e-19	-3.0555506e-20	3.9269907	95
0	1.2711294e-09	-0.99194866	0	8.730304e-19	-3.053615e-20	4.712389	95
0	0.70186	-0.7018474	0	8.797855e-19	-3.0555305e-20	5.497787	95
0	0.9919487	-1.0546599e-08	0	8.730333e-19	-3.053615e-20	6.2831855	95
0	0.9918493	-8.287835e-09	0	8.6282977e-19	-3.0009392e-20	0	90
0	0.7023592	0.7023491	0	8.764439e-19	-3.0052638e-20	0.7853982	90
0	4.611795e-09	0.991849	0	8.628274e-19	-3.000939e-20	1.5707964	90
0	-0.70236045	0.7023474	0	8.764438e-19	-3.005263e-20	2.3561945	90
0	-0.9918495	1.3868876e-08	0	8.628297e-19	-3.00094e-20	3.1415927	90
0	-0.70235896	-0.70234853	0	8.764439e-19	-3.0052622e-20	3.9269907	90
0	-1.9503106e-09	-0.99184906	0	8.6282724e-19	-3.000939e-20	4.712389	90
0	0.70236063	-0.7023458	0	8.764438e-19	-3.00526e-20	5.497787	90
0	0.99184936	-8.851258e-09	0	8.628298e-19	-3.0009395e-20	6.2831855	90
0	0.9914762	-1.2158765e-08	0	8.4569333e-19	-2.922079e-20	0	85
0	0.70325696	0.7032419	0	8.725103e-19	-2.931123e-20	0.7853982	85
0	-2.1356714e-09	0.99147606	0	8.456919e-19	-2.9220785e-20	1.5707964	85
0	-0.70325404	0.7032371	0	8.725102e-19	-2.931107e-20	2.3561945	85
0	-0.991476	1.1831133e-08	0	8.4569354e-19	-2.9220785e-20	3.1415927	85
0	-0.7032567	-0.70324284	0	8.725102e-19	-2.931124e-20	3.9269907	85
0	2.2934197e-09	-0.9914754	0	8.4569183e-19	-2.922077e-20	4.712389	85
0	0.70325434	-0.70323694	0	8.725102e-19	-2.931107e-20	5.497787	85
0	0.991476	-1.0807791e-08	0	8.4569354e-19	-2.9220782e-20	6.2831855	85
0	0.9914324	3.251578e-09	0	8.328619e-19	-2.8442214e-20	0	80
0	0.7042716	0.70426494	0	8.699762e-19	-2.857284e-20	0.7853982	80
0	-2.5264657e-09	0.9914323	0	8.328612e-19	-2.8442214e-20	1.5707964	80
0	-0.7042764	0.7042682	0	8.699761e-19	-2.8573003e-20	2.3561945	80
0	-0.9914324	5.8031837e-08	0	8.3286184e-19	-2.844221e-20	3.1415927	80
0	-0.7042782	-0.7042659	0	8.699761e-19	-2.8572996e-20	3.9269907	80
