# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Length (nm)
0	0.9924668	-8.6070323e-10	0	8.897734e-19	-3.120316e-20	0	100
0	0.70109063	0.70107806	0	8.820567e-19	-3.1172224e-20	0.7853982	100
0	0.99245405	-1.287973e-08	0	8.880121e-19	-3.1107484e-20	0	99
0	0.7011524	0.7011409	0	8.81274e-19	-3.1079803e-20	0.7853982	99
0	0.99232703	-1.4170262e-08	0	8.833288e-19	-3.0912974e-20	0	98
0	0.70135975	0.7013441	0	8.80485e-19	-3.089847e-20	0.7853982	98
0	0.9921759	-1.1655193e-08	0	8.806214e-19	-3.0844764e-20	0	97
0	0.70145863	0.7014439	0	8.80349e-19	-3.0839355e-20	0.7853982	97
0	0.99213564	-4.4534416e-09	0	8.790992e-19	-3.0780017e-20	0	96
0	0.7015363	0.70152205	0	8.802192e-19	-3.0779287e-20	0.7853982	96
0	0.9919492	-4.0757464e-09	0	8.730334e-19	-3.0536164e-20	0	95
0	0.70186204	0.70184594	0	8.797856e-19	-3.055532e-20	0.7853982	95
0	0.99193627	-1.2364545e-08	0	8.712506e-19	-3.0440544e-20	0	94
0	0.7018555	0.7018403	0	8.780269e-19	-3.0459766e-20	0.7853982	94
0	0.99189466	-1.12809735e-08	0	8.697193e-19	-3.037578e-20	0	93
0	0.7019018	0.70189434	0	8.777948e-19	-3.0398416e-20	0.7853982	93
0	0.9918026	-1.1103249e-08	0	8.641975e-19	-3.011906e-20	0	92
0	0.7022272	0.7022113	0	8.765403e-19	-3.0158094e-20	0.7853982	92
0	0.9917615	-1.10991625e-08	0	8.6268207e-19	-3.0054344e-20	0	91
0	0.70228434	0.70226705	0	8.761576e-19	-3.0096963e-20	0.7853982	91
0	0.9918494	-1.2387427e-08	0	8.628298e-19	-3.00094e-20	0	90
0	0.7023573	0.7023412	0	8.764439e-19	-3.0052435e-20	0.7853982	90
0	0.9915379	-9.525275e-09	0	8.5411077e-19	-2.968268e-20	0	89
0	0.70272285	0.70270497	0	8.746114e-19	-2.9750026e-20	0.7853982	89
0	0.99153787	-8.3585086e-09	0	8.541106e-19	-2.968268e-20	0	88
0	0.7027249	0.702712	0	8.746114e-19	-2.9750216e-20	0.7853982	88
0	0.99165165	-9.470196e-09	0	8.5336905e-19	-2.955915e-20	0	87
0	0.7029068	0.70289785	0	8.74889e-19	-2.963076e-20	0.7853982	87
0	0.99140906	-4.1992716e-09	0	8.4628714e-19	-2.929812e-20	0	86
0	0.70318353	0.7031749	0	8.728144e-19	-2.9387856e-20	0.7853982	86
0	0.9914759	-1.2239662e-08	0	8.456934e-19	-2.9220776e-20	0	85
0	0.703252	0.703239	0	8.725101e-19	-2.9311064e-20	0.7853982	85
0	0.99148744	-9.669081e-09	0	8.4321344e-19	-2.906248e-20	0	84
0	0.70338875	0.7033838	0	8.71412e-19	-2.9157774e-20	0.7853982	84
0	0.9911803	-7.2518165e-09	0	8.3611323e-19	-2.8831455e-20	0	83
0	0.7037194	0.70370764	0	8.703707e-19	-2.894841e-20	0.7853982	83
0	0.9913306	-1.3252094e-08	0	8.3698606e-19	-2.8772382e-20	0	82
0	0.70384926	0.7038357	0	8.709413e-19	-2.889001e-20	0.7853982	82
0	0.99142534	-7.5103666e-09	0	8.3632773e-19	-2.8664093e-20	0	81
0	0.7039789	0.70396465	0	8.707524e-19	-2.8783817e-20	0.7853982	81
0	0.9914324	3.5777745e-09	0	8.328618e-19	-2.8442214e-20	0	80
0	0.70427483	0.704262	0	8.699761e-19	-2.857284e-20	0.7853982	80
0	0.9911796	-8.227815e-09	0	8.273663e-19	-2.827637e-20	0	79
0	0.7044461	0.70443237	0	8.684221e-19	-2.842038e-20	0.7853982	79
0	0.99133974	-9.871074e-09	0	8.265743e-19	-2.812233e-20	0	78
0	0.7045709	0.7045558	0	8.670793e-19	-2.8265964e-20	0.7853982	78
0	0.9913721	-7.327885e-09	0	8.2374905e-19	-2.79329e-20	0	77
0	0.7047617	0.7047475	0	8.655987e-19	-2.8082275e-20	0.7853982	77
0	0.9912243	-9.030104e-09	0	8.192222e-19	-2.775428e-20	0	76
0	0.70497626	0.7049692	0	8.6437836e-19	-2.7915497e-20	0.7853982	76
0	0.99129033	-7.64755e-09	0	8.179126e-19	-2.7597524e-20	0	75
0	0.705223	0.7052139	0	8.641525e-19	-2.7765652e-20	0.7853982	75
0	0.9914092	-1.1141378e-08	0	8.164731e-19	-2.741048e-20	0	74
0	0.7054546	0.70544344	0	8.634521e-19	-2.7583184e-20	0.7853982	74
0	0.9913102	-1.0087241e-08	0	8.1083976e-19	-2.7138106e-20	0	73
0	0.7056866	0.705678	0	8.6067553e-19	-2.7320858e-20	0.7853982	73
0	0.9912903	-8.580185e-09	0	8.0912254e-19	-2.70424e-20	0	72
0	0.70578647	0.7057783	0	8.599192e-19	-2.7228905e-20	0.7853982	72
0	0.9913327	-9.202367e-09	0	8.080591e-19	-2.6916667e-20	0	71
0	0.7059657	0.70596045	0	8.5953046e-19	-2.7108082e-20	0.7853982	71
0	0.99147034	-5.2924354e-09	0	8.065163e-19	-2.669831e-20	0	70
0	0.7062076	0.7061993	0	8.5850294e-19	-2.68936e-20	0.7853982	70
0	0.9914579	-1.4575087e-08	0	8.02607e-19	-2.646003e-20	0	69
0	0.7063726	0.7063656	0	8.557515e-19	-2.6660157e-20	0.7853982	69
0	0.9915345	-1.0541492e-08	0	8.0099735e-19	-2.6271697e-20	0	68
0	0.70653766	0.706532	0	8.5429306e-19	-2.647457e-20	0.7853982	68
0	0.9915027	-1.6956182e-08	0	7.977116e-19	-2.6112218e-20	0	67
0	0.7066086	0.70660216	0	8.520598e-19	-2.631733e-20	0.7853982	67
0	0.9914572	-7.262943e-09	0	7.9286115e-19	-2.5825475e-20	0	66
0	0.70679426	0.7067883	0	8.4920326e-19	-2.6036377e-20	0.7853982	66
0	0.99161285	-9.0171834e-09	0	7.924653e-19	-2.5655007e-20	0	65
0	0.7068743	0.7068682	0	8.4769107e-19	-2.586338e-20	0.7853982	65
0	0.9917021	-1.0174424e-08	0	7.918981e-19	-2.5498645e-20	0	64
0	0.7069184	0.7069128	0	8.462431e-19	-2.5705048e-20	0.7853982	64
0	0.9919344	-5.0088627e-09	0	7.905493e-19	-2.5218945e-20	0	63
0	0.7069249	0.7069228	0	8.4275105e-19	-2.5417423e-20	0.7853982	63
0	0.9919586	-5.5808353e-09	0	7.869143e-19	-2.498149e-20	0	62
0	0.70690924	0.70690376	0	8.3944315e-19	-2.5176867e-20	0.7853982	62
0	0.9920266	-7.214168e-09	0	7.845305e-19	-2.4760984e-20	0	61
0	0.7068201	0.7068116	0	8.3596724e-19	-2.494973e-20	0.7853982	61
0	0.9922379	-1.2845746e-08	0	7.838249e-19	-2.4544e-20	0	60
0	0.70669353	0.70668274	0	8.326687e-19	-2.4721356e-20	0.7853982	60
0	0.9923548	-6.115421e-09	0	7.8140707e-19	-2.4276972e-20	0	59
0	0.70642483	0.7064145	0	8.285278e-19	-2.4440232e-20	0.7853982	59
0	0.992272	-1.3329516e-08	0	7.7743376e-19	-2.4084428e-20	0	58
0	0.7061898	0.70617473	0	8.2491957e-19	-2.4240265e-20	0.7853982	58
0	0.992342	-1.9272358e-08	0	7.7470386e-19	-2.3832085e-20	0	57
0	0.7057607	0.705742	0	8.2017744e-19	-2.3969965e-20	0.7853982	57
0	0.99273336	-1.0144406e-08	0	7.778364e-19	-2.3634998e-20	0	56
0	0.7051041	0.70508206	0	8.166808e-19	-2.37402e-20	0.7853982	56
0	0.9927269	-1.2032435e-08	0	7.7322274e-19	-2.334894e-20	0	55
0	0.7044373	0.70441335	0	8.1057393e-19	-2.3430807e-20	0.7853982	55
0	0.99275917	-1.2324972e-08	0	7.6920807e-19	-2.3095547e-20	0	54
0	0.7038241	0.7037991	0	8.04864e-19	-2.3155585e-20	0.7853982	54
0	0.99320716	-1.05575815e-08	0	7.7181783e-19	-2.283582e-20	0	53
0	0.7027094	0.7026775	0	7.9886586e-19	-2.2848498e-20	0.7853982	53
0	0.9932205	-1.3220461e-08	0	7.689817e-19	-2.2613648e-20	0	52
0	0.7017397	0.7017018	0	7.929525e-19	-2.259458e-20	0.7853982	52
0	0.99329597	-1.10882485e-08	0	7.6485136e-19	-2.229751e-20	0	51
0	0.7004622	0.7004214	0	7.847581e-19	-2.223641e-20	0.7853982	51
0	0.9936206	-1.1648924e-08	0	7.649214e-19	-2.203453e-20	0	50
0	0.69892836	0.6988978	0	7.774732e-19	-2.191903e-20	0.7853982	50
0	0.9937549	-1.20403785e-08	0	7.6183934e-19	-2.1719508e-20	0	49
0	0.69748557	0.69744897	0	7.684921e-19	-2.1558052e-20	0.7853982	49
0	0.9940913	-1.0406457e-08	0	7.6188246e-19	-2.1408753e-20	0	48
0	0.69542104	0.69539654	0	7.590718e-19	-2.1179722e-20	0.7853982	48
0	0.9943403	-6.731622e-09	0	7.6215295e-19	-2.117547e-20	0	47
0	0.6936516	0.69361734	0	7.517255e-19	-2.0890252e-20	0.7853982	47
0	0.99434155	-1.5452425e-08	0	7.561779e-19	-2.0857307e-20	0	46
0	0.69207513	0.6920383	0	7.4156447e-19	-2.0529545e-20	0.7853982	46
0	0.99467385	-8.110539e-09	0	7.547119e-19	-2.0482323e-20	0	45
0	0.689366	0.6893323	0	7.287539e-19	-2.007487e-20	0.7853982	45
0	0.9949079	-1.25193225e-08	0	7.5422246e-19	-2.0216532e-20	0	44
0	0.68712	0.68708843	0	7.1922057e-19	-1.9745192e-20	0.7853982	44
0	0.99514747	-1.4461493e-08	0	7.544529e-19	-1.996664e-20	0	43
0	0.68467176	0.6846434	0	7.0958453e-19	-1.942701e-20	0.7853982	43
0	0.9954645	-1.42556456e-08	0	7.546158e-19	-1.9670378e-20	0	42
0	0.6817881	0.6817639	0	6.97511e-19	-1.9052134e-20	0.7853982	42
0	0.99555826	-1.260395e-08	0	7.4905583e-19	-1.9321795e-20	0	41
0	0.6800667	0.6800411	0	6.860445e-19	-1.8665476e-20	0.7853982	41
0	0.99596995	-1.1003549e-08	0	7.496647e-19	-1.8947334e-20	0	40
0	0.67612886	0.67610717	0	6.7039127e-19	-1.8190282e-20	0.7853982	40
0	0.9961094	-1.24644135e-08	0	7.4635793e-19	-1.8615294e-20	0	39
0	0.6734946	0.6734744	0	6.564196e-19	-1.7799402e-20	0.7853982	39
0	0.9964113	-1.154516e-08	0	7.4726333e-19	-1.8333972e-20	0	38
0	0.67048454	0.6704671	0	6.450598e-19	-1.7446803e-20	0.7853982	38
0	0.9967222	-7.619461e-09	0	7.4486834e-19	-1.7940998e-20	0	37
0	0.6674603	0.6674456	0	6.292253e-19	-1.6990579e-20	0.7853982	37
