# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)
0	0.99246705	2.4564166e-08	0	8.897735e-19	-3.1203166e-20	0	1	100	1e-09
0	0.70108974	0.7010756	0	8.820569e-19	-3.117215e-20	0.7853982	1	100	1e-09
0	0.9924669	2.5385056e-09	0	8.897736e-19	-3.120316e-20	0	0.999	100	1e-09
0	0.70108896	0.7010759	0	8.820569e-19	-3.1172143e-20	0.7853982	0.999	100	1e-09
0	0.9924671	-2.4797353e-09	0	8.897735e-19	-3.1203166e-20	0	0.998	100	1e-09
0	0.7010871	0.7010707	0	8.820569e-19	-3.1171985e-20	0.7853982	0.998	100	1e-09
0	0.99246716	2.7508378e-09	0	8.897737e-19	-3.120317e-20	0	0.997	100	1e-09
0	0.70108634	0.7010715	0	8.82057e-19	-3.117198e-20	0.7853982	0.997	100	1e-09
0	0.9924671	2.5745264e-09	0	8.897735e-19	-3.120317e-20	0	0.996	100	1e-09
0	0.7010864	0.7010715	0	8.820569e-19	-3.1171985e-20	0.7853982	0.996	100	1e-09
0	0.99246687	1.1962638e-09	0	8.897737e-19	-3.120316e-20	0	0.995	100	1e-09
0	0.70108694	0.7010709	0	8.820569e-19	-3.1171985e-20	0.7853982	0.995	100	1e-09
0	0.9924505	4.581177e-09	0	8.89029e-19	-3.1170886e-20	0	0.994	100	1e-09
0	0.70113885	0.7011258	0	8.821259e-19	-3.114263e-20	0.7853982	0.994	100	1e-09
0	0.992441	-1.5026541e-09	0	8.884223e-19	-3.113883e-20	0	0.993	100	1e-09
0	0.7011645	0.70115346	0	8.819731e-19	-3.1112085e-20	0.7853982	0.993	100	1e-09
0	0.9924541	-9.2799474e-10	0	8.880124e-19	-3.1107484e-20	0	0.992	100	1e-09
0	0.7011522	0.7011411	0	8.812742e-19	-3.1079803e-20	0.7853982	0.992	100	1e-09
0	0.9924544	-4.335713e-09	0	8.880124e-19	-3.110749e-20	0	0.991	100	1e-09
0	0.70114917	0.70113385	0	8.812742e-19	-3.1079576e-20	0.7853982	0.991	100	1e-09
0	0.992452	4.9271196e-09	0	8.880122e-19	-3.1107413e-20	0	0.99	100	1e-09
0	0.70115215	0.7011407	0	8.812742e-19	-3.1079796e-20	0.7853982	0.99	100	1e-09
0	0.992454	-1.4509426e-09	0	8.880122e-19	-3.1107484e-20	0	0.989	100	1e-09
0	0.7011493	0.70113385	0	8.812741e-19	-3.1079576e-20	0.7853982	0.989	100	1e-09
0	0.99244934	1.0039439e-08	0	8.874554e-19	-3.1075576e-20	0	0.988	100	1e-09
0	0.7011579	0.70114607	0	8.808553e-19	-3.1048308e-20	0.7853982	0.988	100	1e-09
0	0.99243957	5.764196e-10	0	8.867778e-19	-3.104351e-20	0	0.987	100	1e-09
0	0.7012117	0.7011983	0	8.809831e-19	-3.1018927e-20	0.7853982	0.987	100	1e-09
0	0.9923592	2.4249711e-09	0	8.848517e-19	-3.097749e-20	0	0.986	100	1e-09
0	0.70123935	0.7012278	0	8.802286e-19	-3.0956724e-20	0.7853982	0.986	100	1e-09
0	0.9923594	-2.4440655e-10	0	8.848519e-19	-3.0977494e-20	0	0.985	100	1e-09
0	0.70123965	0.7012275	0	8.802284e-19	-3.095672e-20	0.7853982	0.985	100	1e-09
0	0.99235916	6.7059043e-09	0	8.848516e-19	-3.097749e-20	0	0.984	100	1e-09
0	0.7012454	0.7012319	0	8.802285e-19	-3.0956944e-20	0.7853982	0.984	100	1e-09
0	0.9923597	4.338216e-09	0	8.848516e-19	-3.09775e-20	0	0.983	100	1e-09
0	0.70124376	0.70123136	0	8.802284e-19	-3.0956898e-20	0.7853982	0.983	100	1e-09
0	0.99234724	8.983512e-09	0	8.841378e-19	-3.0945357e-20	0	0.982	100	1e-09
0	0.7012999	0.7012869	0	8.803655e-19	-3.0927624e-20	0.7853982	0.982	100	1e-09
0	0.9923471	4.889324e-09	0	8.841377e-19	-3.0945353e-20	0	0.981	100	1e-09
0	0.70129603	0.70128196	0	8.803656e-19	-3.092743e-20	0.7853982	0.981	100	1e-09
0	0.9923272	8.0743323e-10	0	8.83329e-19	-3.0912983e-20	0	0.98	100	1e-09
