# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)	Volume (m^3)
0	0.99311703	3.0826066e-09	0	6.088519e-19	-3.1223597e-19	0	1	100	1e-09	3.93e-23
0	0.99266446	0.029740557	0	6.0882597e-19	-3.122292e-19	0.024543693	1	100	1e-09	3.93e-23
0	0.99119425	0.06141287	0	6.087475e-19	-3.1220348e-19	0.049087387	1	100	1e-09	3.93e-23
0	0.9888236	0.09175254	0	6.0861985e-19	-3.1216587e-19	0.07363108	1	100	1e-09	3.93e-23
0	0.9855822	0.12147414	0	6.0844604e-19	-3.1211835e-19	0.09817477	1	100	1e-09	3.93e-23
0	0.98152375	0.15054579	0	6.082302e-19	-3.1206423e-19	0.12271846	1	100	1e-09	3.93e-23
0	0.97670364	0.17893483	0	6.079775e-19	-3.1200666e-19	0.14726216	1	100	1e-09	3.93e-23
0	0.97120947	0.20646515	0	6.0769336e-19	-3.1195033e-19	0.17180584	1	100	1e-09	3.93e-23
0	0.96509236	0.23318619	0	6.0738265e-19	-3.1189763e-19	0.19634955	1	100	1e-09	3.93e-23
0	0.95844203	0.25897726	0	6.070515e-19	-3.1185218e-19	0.22089323	1	100	1e-09	3.93e-23
0	0.9512838	0.28397304	0	6.067044e-19	-3.1181395e-19	0.24543692	1	100	1e-09	3.93e-23
0	0.9436652	0.30818772	0	6.0634614e-19	-3.1178407e-19	0.2699806	1	100	1e-09	3.93e-23
0	0.93570507	0.33142942	0	6.0598197e-19	-3.1176623e-19	0.2945243	1	100	1e-09	3.93e-23
0	0.92717737	0.3544549	0	6.0561465e-19	-3.1174868e-19	0.319068	1	100	1e-09	3.93e-23
0	0.918317	0.37669778	0	6.052484e-19	-3.1174067e-19	0.3436117	1	100	1e-09	3.93e-23
0	0.9090661	0.39839837	0	6.0488704e-19	-3.1173814e-19	0.3681554	1	100	1e-09	3.93e-23
0	0.8994343	0.41959473	0	6.045331e-19	-3.1174046e-19	0.3926991	1	100	1e-09	3.93e-23
0	0.88953084	0.4401156	0	6.0418947e-19	-3.1174987e-19	0.41724277	1	100	1e-09	3.93e-23
0	0.87928236	0.460173	0	6.038586e-19	-3.117626e-19	0.44178647	1	100	1e-09	3.93e-23
0	0.8686664	0.47984374	0	6.0354256e-19	-3.1177704e-19	0.46633017	1	100	1e-09	3.93e-23
0	0.85777175	0.49899805	0	6.0324333e-19	-3.1179464e-19	0.49087384	1	100	1e-09	3.93e-23
0	0.8461591	0.51839095	0	6.0296245e-19	-3.1180493e-19	0.5154175	1	100	1e-09	3.93e-23
0	0.835065	0.5360348	0	6.027021e-19	-3.1183324e-19	0.5399612	1	100	1e-09	3.93e-23
0	0.82330185	0.55389196	0	6.0246283e-19	-3.1185348e-19	0.5645049	1	100	1e-09	3.93e-23
0	0.8111271	0.57153744	0	6.02246e-19	-3.118712e-19	0.5890486	1	100	1e-09	3.93e-23
0	0.7987368	0.58869934	0	6.020525e-19	-3.1188886e-19	0.6135923	1	100	1e-09	3.93e-23
0	0.78539723	0.60635525	0	6.018827e-19	-3.1189814e-19	0.638136	1	100	1e-09	3.93e-23
0	0.7723393	0.62288225	0	6.017386e-19	-3.119124e-19	0.6626797	1	100	1e-09	3.93e-23
0	0.75897765	0.63907963	0	6.0161983e-19	-3.119242e-19	0.6872234	1	100	1e-09	3.93e-23
0	0.74529725	0.6549701	0	6.01527e-19	-3.1193335e-19	0.7117671	1	100	1e-09	3.93e-23
0	0.73130715	0.67054623	0	6.0146065e-19	-3.1193953e-19	0.7363108	1	100	1e-09	3.93e-23
0	0.7170216	0.6857956	0	6.014209e-19	-3.1194284e-19	0.7608545	1	100	1e-09	3.93e-23
0	0.70159644	0.701585	0	6.014074e-19	-3.119474e-19	0.7853982	1	100	1e-09	3.93e-23
0	0.99310213	1.888317e-09	0	6.079523e-19	-3.1127794e-19	0	0.99	100	1e-09	3.918e-23
0	0.9926646	0.029277842	0	6.0793107e-19	-3.112723e-19	0.024543693	0.99	100	1e-09	3.918e-23
0	0.991345	0.058764786	0	6.0786784e-19	-3.1125666e-19	0.049087387	0.99	100	1e-09	3.918e-23
0	0.9891425	0.08819753	0	6.0776413e-19	-3.1123043e-19	0.07363108	0.99	100	1e-09	3.918e-23
0	0.98612636	0.116994776	0	6.076221e-19	-3.1119747e-19	0.09817477	0.99	100	1e-09	3.918e-23
0	0.9823188	0.14533816	0	6.0744505e-19	-3.1115885e-19	0.12271846	0.99	100	1e-09	3.918e-23
0	0.9777656	0.17314492	0	6.07236e-19	-3.111169e-19	0.14726216	0.99	100	1e-09	3.918e-23
0	0.9725058	0.2004031	0	6.0699956e-19	-3.1107337e-19	0.17180584	0.99	100	1e-09	3.918e-23
0	0.96662277	0.22691096	0	6.0673905e-19	-3.11032e-19	0.19634955	0.99	100	1e-09	3.918e-23
0	0.9601717	0.25265604	0	6.064592e-19	-3.1099476e-19	0.22089323	0.99	100	1e-09	3.918e-23
0	0.95318717	0.27769363	0	6.0616374e-19	-3.1096237e-19	0.24543692	0.99	100	1e-09	3.918e-23
0	0.94569	0.3020999	0	6.058569e-19	-3.109347e-19	0.2699806	0.99	100	1e-09	3.918e-23
0	0.9378374	0.325532	0	6.055427e-19	-3.109173e-19	0.2945243	0.99	100	1e-09	3.918e-23
0	0.92937505	0.34883806	0	6.052239e-19	-3.1089857e-19	0.319068	0.99	100	1e-09	3.918e-23
0	0.92059296	0.37128702	0	6.0490436e-19	-3.108891e-19	0.3436117	0.99	100	1e-09	3.918e-23
0	0.91133493	0.39336443	0	6.0458703e-19	-3.10882e-19	0.3681554	0.99	100	1e-09	3.918e-23
0	0.9017	0.41488472	0	6.0427477e-19	-3.1087968e-19	0.3926991	0.99	100	1e-09	3.918e-23
0	0.89172393	0.43583214	0	6.0397027e-19	-3.108823e-19	0.41724277	0.99	100	1e-09	3.918e-23
0	0.881354	0.45636532	0	6.0367574e-19	-3.108873e-19	0.44178647	0.99	100	1e-09	3.918e-23
0	0.8707168	0.47628158	0	6.033932e-19	-3.1089705e-19	0.46633017	0.99	100	1e-09	3.918e-23
0	0.85974985	0.4957462	0	6.031249e-19	-3.109089e-19	0.49087384	0.99	100	1e-09	3.918e-23
0	0.84845686	0.51478297	0	6.0287213e-19	-3.109221e-19	0.5154175	0.99	100	1e-09	3.918e-23
0	0.8368041	0.53347045	0	6.026369e-19	-3.1093543e-19	0.5399612	0.99	100	1e-09	3.918e-23
0	0.8248094	0.55179405	0	6.0242003e-19	-3.1094867e-19	0.5645049	0.99	100	1e-09	3.918e-23
0	0.81204975	0.57036924	0	6.022226e-19	-3.1095596e-19	0.5890486	0.99	100	1e-09	3.918e-23
0	0.79944354	0.58787847	0	6.020465e-19	-3.1096953e-19	0.6135923	0.99	100	1e-09	3.918e-23
0	0.78652173	0.6050327	0	6.018922e-19	-3.109819e-19	0.638136	0.99	100	1e-09	3.918e-23
0	0.7733049	0.621816	0	6.017605e-19	-3.1099295e-19	0.6626797	0.99	100	1e-09	3.918e-23
0	0.7597737	0.6382622	0	6.0165194e-19	-3.110022e-19	0.6872234	0.99	100	1e-09	3.918e-23
0	0.7459273	0.6543783	0	6.01567e-19	-3.110092e-19	0.7117671	0.99	100	1e-09	3.918e-23
0	0.73176306	0.6701713	0	6.0150625e-19	-3.1101404e-19	0.7363108	0.99	100	1e-09	3.918e-23
0	0.7172997	0.6856246	0	6.0146975e-19	-3.1101652e-19	0.7608545	0.99	100	1e-09	3.918e-23
0	0.7016547	0.70164466	0	6.0145755e-19	-3.1102105e-19	0.7853982	0.99	100	1e-09	3.918e-23
0	0.99297583	-1.1824496e-09	0	6.050201e-19	-3.0933184e-19	0	0.98	100	1e-09	3.894e-23
0	0.9926309	0.026014425	0	6.050115e-19	-3.0933008e-19	0.024543693	0.98	100	1e-09	3.894e-23
0	0.99157697	0.052511334	0	6.049852e-19	-3.0932667e-19	0.049087387	0.98	100	1e-09	3.894e-23
0	0.989821	0.07886387	0	6.0494205e-19	-3.0932088e-19	0.07363108	0.98	100	1e-09	3.894e-23
0	0.9873658	0.10512224	0	6.0488296e-19	-3.0931287e-19	0.09817477	0.98	100	1e-09	3.894e-23
0	0.98424655	0.1310401	0	6.048094e-19	-3.0930361e-19	0.12271846	0.98	100	1e-09	3.894e-23
0	0.98047215	0.1566953	0	6.0472207e-19	-3.0929322e-19	0.14726216	0.98	100	1e-09	3.894e-23
0	0.97605056	0.18211696	0	6.0462245e-19	-3.09282e-19	0.17180584	0.98	100	1e-09	3.894e-23
0	0.97101	0.20721959	0	6.0451305e-19	-3.0927045e-19	0.19634955	0.98	100	1e-09	3.894e-23
0	0.9653851	0.23192461	0	6.043949e-19	-3.0925936e-19	0.22089323	0.98	100	1e-09	3.894e-23
