# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)	Volume (m^3)
0	0.9945174	-1.7542423e-08	0	6.3327283e-19	-3.1442658e-19	0	1	100	2e-09	3.952e-23
0	0.9935568	0.043190874	0	6.3319844e-19	-3.143634e-19	0.024543693	1	100	2e-09	3.952e-23
0	0.990795	0.08499023	0	6.3298166e-19	-3.1419098e-19	0.049087387	1	100	2e-09	3.952e-23
0	0.9865759	0.12404766	0	6.3263797e-19	-3.139558e-19	0.07363108	1	100	2e-09	3.952e-23
0	0.981192	0.16052315	0	6.321877e-19	-3.136944e-19	0.09817477	1	100	2e-09	3.952e-23
0	0.9749905	0.19408503	0	6.316522e-19	-3.1344616e-19	0.12271846	1	100	2e-09	3.952e-23
0	0.96815425	0.22520718	0	6.310506e-19	-3.1322608e-19	0.14726216	1	100	2e-09	3.952e-23
0	0.96084565	0.25413734	0	6.3039905e-19	-3.1304506e-19	0.17180584	1	100	2e-09	3.952e-23
0	0.9531385	0.2812709	0	6.2971166e-19	-3.1290278e-19	0.19634955	1	100	2e-09	3.952e-23
0	0.945112	0.3068154	0	6.2900086e-19	-3.127997e-19	0.22089323	1	100	2e-09	3.952e-23
0	0.9368154	0.3309784	0	6.2827614e-19	-3.127333e-19	0.24543692	1	100	2e-09	3.952e-23
0	0.92826396	0.35398442	0	6.2754657e-19	-3.126983e-19	0.2699806	1	100	2e-09	3.952e-23
0	0.9194733	0.37598956	0	6.2681865e-19	-3.1269017e-19	0.2945243	1	100	2e-09	3.952e-23
0	0.91044635	0.39713776	0	6.260991e-19	-3.1270413e-19	0.319068	1	100	2e-09	3.952e-23
0	0.9012451	0.41741076	0	6.2539337e-19	-3.1274027e-19	0.3436117	1	100	2e-09	3.952e-23
0	0.8918149	0.43702936	0	6.247061e-19	-3.1279023e-19	0.3681554	1	100	2e-09	3.952e-23
0	0.8821989	0.45598	0	6.2404113e-19	-3.128534e-19	0.3926991	1	100	2e-09	3.952e-23
0	0.8723262	0.4744615	0	6.234021e-19	-3.1292268e-19	0.41724277	1	100	2e-09	3.952e-23
0	0.86242056	0.4921211	0	6.2279245e-19	-3.1300716e-19	0.44178647	1	100	2e-09	3.952e-23
0	0.85227835	0.50938046	0	6.222147e-19	-3.130929e-19	0.46633017	1	100	2e-09	3.952e-23
0	0.84188175	0.5262934	0	6.216713e-19	-3.1317748e-19	0.49087384	1	100	2e-09	3.952e-23
0	0.8313585	0.54268295	0	6.211642e-19	-3.132645e-19	0.5154175	1	100	2e-09	3.952e-23
0	0.82059443	0.5587547	0	6.2069596e-19	-3.133476e-19	0.5399612	1	100	2e-09	3.952e-23
0	0.8096656	0.57441485	0	6.2026743e-19	-3.1342822e-19	0.5645049	1	100	2e-09	3.952e-23
0	0.79843307	0.5898743	0	6.1988047e-19	-3.135009e-19	0.5890486	1	100	2e-09	3.952e-23
0	0.78711045	0.6048545	0	6.1953626e-19	-3.1357052e-19	0.6135923	1	100	2e-09	3.952e-23
0	0.7755915	0.61951756	0	6.192361e-19	-3.1363295e-19	0.638136	1	100	2e-09	3.952e-23
0	0.7639357	0.63380337	0	6.1898023e-19	-3.1368821e-19	0.6626797	1	100	2e-09	3.952e-23
0	0.7519446	0.64795923	0	6.187703e-19	-3.1373247e-19	0.6872234	1	100	2e-09	3.952e-23
0	0.7398008	0.66177124	0	6.186064e-19	-3.137682e-19	0.7117671	1	100	2e-09	3.952e-23
0	0.72744286	0.6753187	0	6.184889e-19	-3.1379383e-19	0.7363108	1	100	2e-09	3.952e-23
0	0.71486735	0.6886091	0	6.184184e-19	-3.138092e-19	0.7608545	1	100	2e-09	3.952e-23
0	0.70186687	0.7018559	0	6.1839516e-19	-3.138147e-19	0.7853982	1	100	2e-09	3.952e-23
0	0.994544	-1.8631203e-08	0	6.3166055e-19	-3.1188902e-19	0	0.99	100	2e-09	3.92e-23
0	0.9938038	0.038000945	0	6.3160704e-19	-3.1185541e-19	0.024543693	0.99	100	2e-09	3.92e-23
0	0.99162483	0.07544239	0	6.314488e-19	-3.1175985e-19	0.049087387	0.99	100	2e-09	3.92e-23
0	0.9881397	0.11166574	0	6.3119376e-19	-3.116171e-19	0.07363108	0.99	100	2e-09	3.92e-23
0	0.9835559	0.14612834	0	6.3085296e-19	-3.1144958e-19	0.09817477	0.99	100	2e-09	3.92e-23
0	0.97806424	0.17874958	0	6.304385e-19	-3.1127608e-19	0.12271846	0.99	100	2e-09	3.92e-23
0	0.97182333	0.20960373	0	6.299636e-19	-3.111101e-19	0.14726216	0.99	100	2e-09	3.92e-23
0	0.9649782	0.23874639	0	6.2944066e-19	-3.10962e-19	0.17180584	0.99	100	2e-09	3.92e-23
0	0.95763886	0.26630685	0	6.2888045e-19	-3.108378e-19	0.19634955	0.99	100	2e-09	3.92e-23
0	0.949874	0.29247758	0	6.28293e-19	-3.1073885e-19	0.22089323	0.99	100	2e-09	3.92e-23
0	0.94173396	0.31742543	0	6.276879e-19	-3.1066453e-19	0.24543692	0.99	100	2e-09	3.92e-23
0	0.9332957	0.3411839	0	6.270722e-19	-3.1061643e-19	0.2699806	0.99	100	2e-09	3.92e-23
0	0.9245532	0.36398134	0	6.26453e-19	-3.1058962e-19	0.2945243	0.99	100	2e-09	3.92e-23
0	0.91546714	0.38605973	0	6.258367e-19	-3.105774e-19	0.319068	0.99	100	2e-09	3.92e-23
0	0.90627635	0.4069869	0	6.252282e-19	-3.105922e-19	0.3436117	0.99	100	2e-09	3.92e-23
0	0.896769	0.42736548	0	6.2463205e-19	-3.1061635e-19	0.3681554	0.99	100	2e-09	3.92e-23
0	0.8870453	0.44705296	0	6.240528e-19	-3.1065308e-19	0.3926991	0.99	100	2e-09	3.92e-23
0	0.8771162	0.46610326	0	6.2349406e-19	-3.1070005e-19	0.41724277	0.99	100	2e-09	3.92e-23
0	0.8669341	0.48466262	0	6.229585e-19	-3.107523e-19	0.44178647	0.99	100	2e-09	3.92e-23
0	0.85658574	0.5026235	0	6.2244984e-19	-3.108116e-19	0.46633017	0.99	100	2e-09	3.92e-23
0	0.846037	0.5200929	0	6.2196987e-19	-3.1087422e-19	0.49087384	0.99	100	2e-09	3.92e-23
0	0.8352271	0.5372004	0	6.215211e-19	-3.1093603e-19	0.5154175	0.99	100	2e-09	3.92e-23
0	0.8242621	0.55380726	0	6.2110557e-19	-3.109993e-19	0.5399612	0.99	100	2e-09	3.92e-23
0	0.8129219	0.57026076	0	6.2072466e-19	-3.110561e-19	0.5645049	0.99	100	2e-09	3.92e-23
0	0.80150753	0.5861423	0	6.2038013e-19	-3.1111392e-19	0.5890486	0.99	100	2e-09	3.92e-23
0	0.789881	0.60167307	0	6.200735e-19	-3.1116736e-19	0.6135923	0.99	100	2e-09	3.92e-23
0	0.77804226	0.6168677	0	6.1980555e-19	-3.1121567e-19	0.638136	0.99	100	2e-09	3.92e-23
0	0.7659878	0.6317424	0	6.1957715e-19	-3.1125793e-19	0.6626797	0.99	100	2e-09	3.92e-23
0	0.753829	0.64617795	0	6.1938933e-19	-3.1129464e-19	0.6872234	0.99	100	2e-09	3.92e-23
0	0.7411934	0.660614	0	6.1924266e-19	-3.1132119e-19	0.7117671	0.99	100	2e-09	3.92e-23
0	0.7286137	0.6744502	0	6.191379e-19	-3.1134217e-19	0.7363108	0.99	100	2e-09	3.92e-23
0	0.7154763	0.6883632	0	6.190746e-19	-3.1135337e-19	0.7608545	0.99	100	2e-09	3.92e-23
0	0.702056	0.7020462	0	6.190539e-19	-3.113578e-19	0.7853982	0.99	100	2e-09	3.92e-23
0	0.9941507	-1.2665605e-08	0	6.2590157e-19	-3.098569e-19	0	0.98	100	2e-09	3.896e-23
0	0.9936658	0.030822797	0	6.258762e-19	-3.0984823e-19	0.024543693	0.98	100	2e-09	3.896e-23
0	0.9922208	0.06148807	0	6.2580127e-19	-3.0982324e-19	0.049087387	0.98	100	2e-09	3.896e-23
0	0.9898634	0.091608286	0	6.2568e-19	-3.0978508e-19	0.07363108	0.98	100	2e-09	3.896e-23
0	0.9866604	0.12100721	0	6.2551594e-19	-3.0973835e-19	0.09817477	0.98	100	2e-09	3.896e-23
0	0.98269117	0.1495517	0	6.253151e-19	-3.0968758e-19	0.12271846	0.98	100	2e-09	3.896e-23
0	0.9780336	0.17718573	0	6.250831e-19	-3.0963738e-19	0.14726216	0.98	100	2e-09	3.896e-23
0	0.9727546	0.20392378	0	6.248264e-19	-3.0959065e-19	0.17180584	0.98	100	2e-09	3.896e-23
0	0.966908	0.22981498	0	6.2455047e-19	-3.0954926e-19	0.19634955	0.98	100	2e-09	3.896e-23
0	0.96056175	0.25482866	0	6.242611e-19	-3.0951553e-19	0.22089323	0.98	100	2e-09	3.896e-23
0	0.9537569	0.27903128	0	6.239633e-19	-3.094898e-19	0.24543692	0.98	100	2e-09	3.896e-23
0	0.9465091	0.30253837	0	6.2366146e-19	-3.0947135e-19	0.2699806	0.98	100	2e-09	3.896e-23
0	0.93884075	0.3254085	0	6.2335985e-19	-3.094595e-19	0.2945243	0.98	100	2e-09	3.896e-23
0	0.9307799	0.3476662	0	6.2306185e-19	-3.0945403e-19	0.319068	0.98	100	2e-09	3.896e-23
0	0.92233616	0.36937258	0	6.227701e-19	-3.09454e-19	0.3436117	0.98	100	2e-09	3.896e-23
0	0.913409	0.39082882	0	6.2248815e-19	-3.094551e-19	0.3681554	0.98	100	2e-09	3.896e-23
0	0.9042514	0.41149035	0	6.2221756e-19	-3.0946393e-19	0.3926991	0.98	100	2e-09	3.896e-23
0	0.8945751	0.43205076	0	6.2195964e-19	-3.0947148e-19	0.41724277	0.98	100	2e-09	3.896e-23
0	0.8846763	0.45191368	0	6.217167e-19	-3.0948446e-19	0.44178647	0.98	100	2e-09	3.896e-23
0	0.8743098	0.4716059	0	6.2148954e-19	-3.0949642e-19	0.46633017	0.98	100	2e-09	3.896e-23
0	0.8635412	0.4910033	0	6.212788e-19	-3.0950844e-19	0.49087384	0.98	100	2e-09	3.896e-23
0	0.85236824	0.51011753	0	6.2108505e-19	-3.0952026e-19	0.5154175	0.98	100	2e-09	3.896e-23
0	0.84085286	0.52885514	0	6.2090886e-19	-3.0953233e-19	0.5399612	0.98	100	2e-09	3.896e-23
0	0.82885593	0.54744256	0	6.2075035e-19	-3.0954262e-19	0.5645049	0.98	100	2e-09	3.896e-23
0	0.816364	0.5658835	0	6.2060947e-19	-3.0955117e-19	0.5890486	0.98	100	2e-09	3.896e-23
0	0.80371594	0.58369374	0	6.204862e-19	-3.0956102e-19	0.6135923	0.98	100	2e-09	3.896e-23
0	0.7905113	0.60144526	0	6.203801e-19	-3.095684e-19	0.638136	0.98	100	2e-09	3.896e-23
0	0.77673215	0.61912936	0	6.20291e-19	-3.0957364e-19	0.6626797	0.98	100	2e-09	3.896e-23
0	0.76269805	0.6363316	0	6.2021883e-19	-3.0957868e-19	0.6872234	0.98	100	2e-09	3.896e-23
0	0.7482622	0.65324146	0	6.201632e-19	-3.0958253e-19	0.7117671	0.98	100	2e-09	3.896e-23
0	0.73341435	0.66986614	0	6.201236e-19	-3.0958511e-19	0.7363108	0.98	100	2e-09	3.896e-23
0	0.7181968	0.68615484	0	6.201001e-19	-3.0958661e-19	0.7608545	0.98	100	2e-09	3.896e-23
0	0.7023662	0.70235395	0	6.200925e-19	-3.0958775e-19	0.7853982	0.98	100	2e-09	3.896e-23
0	0.9940782	-2.1988814e-08	0	6.2423805e-19	-3.085619e-19	0	0.97	100	2e-09	3.88e-23
0	0.99366546	0.028480453	0	6.2422187e-19	-3.085578e-19	0.024543693	0.97	100	2e-09	3.88e-23
0	0.99242955	0.056923598	0	6.24174e-19	-3.0854605e-19	0.049087387	0.97	100	2e-09	3.88e-23
0	0.99040186	0.08497105	0	6.240958e-19	-3.0852805e-19	0.07363108	0.97	100	2e-09	3.88e-23
0	0.98760235	0.1127093	0	6.2398995e-19	-3.0850476e-19	0.09817477	0.97	100	2e-09	3.88e-23
0	0.9840915	0.13986143	0	6.2385946e-19	-3.0847907e-19	0.12271846	0.97	100	2e-09	3.88e-23
0	0.9799209	0.1663734	0	6.23708e-19	-3.0845283e-19	0.14726216	0.97	100	2e-09	3.88e-23
0	0.9751235	0.19230735	0	6.235395e-19	-3.084273e-19	0.17180584	0.97	100	2e-09	3.88e-23
0	0.96974	0.21765174	0	6.2335747e-19	-3.0840367e-19	0.19634955	0.97	100	2e-09	3.88e-23
0	0.9638145	0.24238113	0	6.23166e-19	-3.08383e-19	0.22089323	0.97	100	2e-09	3.88e-23
0	0.95737875	0.26652062	0	6.229679e-19	-3.083658e-19	0.24543692	0.97	100	2e-09	3.88e-23
0	0.9504737	0.29005143	0	6.2276717e-19	-3.0835274e-19	0.2699806	0.97	100	2e-09	3.88e-23
0	0.94310236	0.3130726	0	6.2256637e-19	-3.0834287e-19	0.2945243	0.97	100	2e-09	3.88e-23
0	0.9352443	0.335715	0	6.223679e-19	-3.0833542e-19	0.319068	0.97	100	2e-09	3.88e-23
0	0.92699015	0.35778642	0	6.221743e-19	-3.0833165e-19	0.3436117	0.97	100	2e-09	3.88e-23
0	0.91826415	0.3795428	0	6.219867e-19	-3.0832948e-19	0.3681554	0.97	100	2e-09	3.88e-23
0	0.9091021	0.40092474	0	6.2180754e-19	-3.08329e-19	0.3926991	0.97	100	2e-09	3.88e-23
0	0.8995417	0.4218803	0	6.216375e-19	-3.083306e-19	0.41724277	0.97	100	2e-09	3.88e-23
0	0.88952655	0.44255725	0	6.214782e-19	-3.083328e-19	0.44178647	0.97	100	2e-09	3.88e-23
0	0.87908924	0.46290186	0	6.2133e-19	-3.0833576e-19	0.46633017	0.97	100	2e-09	3.88e-23
0	0.8682013	0.4829791	0	6.211933e-19	-3.0833894e-19	0.49087384	0.97	100	2e-09	3.88e-23
0	0.8568822	0.5027589	0	6.210686e-19	-3.0834238e-19	0.5154175	0.97	100	2e-09	3.88e-23
0	0.84515315	0.5222121	0	6.2095596e-19	-3.0834605e-19	0.5399612	0.97	100	2e-09	3.88e-23
0	0.8328977	0.5415262	0	6.208555e-19	-3.0834876e-19	0.5645049	0.97	100	2e-09	3.88e-23
0	0.82023925	0.5605	0	6.207669e-19	-3.083517e-19	0.5890486	0.97	100	2e-09	3.88e-23
0	0.80699503	0.57939506	0	6.2068986e-19	-3.0835357e-19	0.6135923	0.97	100	2e-09	3.88e-23
0	0.79341006	0.597854	0	6.206242e-19	-3.083558e-19	0.638136	0.97	100	2e-09	3.88e-23
0	0.77938145	0.6160242	0	6.2056966e-19	-3.083576e-19	0.6626797	0.97	100	2e-09	3.88e-23
0	0.7648987	0.6339126	0	6.205257e-19	-3.0835903e-19	0.6872234	0.97	100	2e-09	3.88e-23
0	0.7501712	0.65127146	0	6.204918e-19	-3.0836045e-19	0.7117671	0.97	100	2e-09	3.88e-23
0	0.7346352	0.668745	0	6.204682e-19	-3.0836078e-19	0.7363108	0.97	100	2e-09	3.88e-23
0	0.7188736	0.68565863	0	6.2045417e-19	-3.0836117e-19	0.7608545	0.97	100	2e-09	3.88e-23
0	0.7024674	0.7024593	0	6.204496e-19	-3.0836164e-19	0.7853982	0.97	100	2e-09	3.88e-23
0	0.993987	-1.8389283e-08	0	6.221967e-19	-3.0726128e-19	0	0.96	100	2e-09	3.864e-23
0	0.99362373	0.026762841	0	6.221868e-19	-3.0725947e-19	0.024543693	0.96	100	2e-09	3.864e-23
0	0.99252963	0.053615525	0	6.2215754e-19	-3.0725448e-19	0.049087387	0.96	100	2e-09	3.864e-23
0	0.9907139	0.08032179	0	6.2211013e-19	-3.0724626e-19	0.07363108	0.96	100	2e-09	3.864e-23
0	0.9881872	0.10686009	0	6.2204515e-19	-3.0723527e-19	0.09817477	0.96	100	2e-09	3.864e-23
0	0.9849874	0.1330164	0	6.2196403e-19	-3.0722269e-19	0.12271846	0.96	100	2e-09	3.864e-23
0	0.98113406	0.15881988	0	6.218685e-19	-3.0720914e-19	0.14726216	0.96	100	2e-09	3.864e-23
0	0.97664005	0.18431357	0	6.2176065e-19	-3.0719487e-19	0.17180584	0.96	100	2e-09	3.864e-23
0	0.97154266	0.20939997	0	6.2164277e-19	-3.071808e-19	0.19634955	0.96	100	2e-09	3.864e-23
0	0.96586764	0.23406668	0	6.215164e-19	-3.0716737e-19	0.22089323	0.96	100	2e-09	3.864e-23
0	0.9596235	0.25836587	0	6.213839e-19	-3.0715478e-19	0.24543692	0.96	100	2e-09	3.864e-23
0	0.95285267	0.282214	0	6.2124707e-19	-3.0714372e-19	0.2699806	0.96	100	2e-09	3.864e-23
0	0.94555545	0.3056811	0	6.2110795e-19	-3.0713382e-19	0.2945243	0.96	100	2e-09	3.864e-23
0	0.93774337	0.32878265	0	6.2096795e-19	-3.0712518e-19	0.319068	0.96	100	2e-09	3.864e-23
0	0.9294539	0.3514573	0	6.20829e-19	-3.0711815e-19	0.3436117	0.96	100	2e-09	3.864e-23
0	0.92060345	0.37395743	0	6.206917e-19	-3.0711125e-19	0.3681554	0.96	100	2e-09	3.864e-23
0	0.91140544	0.395786	0	6.2055844e-19	-3.0710755e-19	0.3926991	0.96	100	2e-09	3.864e-23
0	0.90168744	0.41739696	0	6.204292e-19	-3.0710393e-19	0.41724277	0.96	100	2e-09	3.864e-23
0	0.89151216	0.4386612	0	6.2030574e-19	-3.0710122e-19	0.44178647	0.96	100	2e-09	3.864e-23
0	0.8808614	0.45963138	0	6.201888e-19	-3.0709905e-19	0.46633017	0.96	100	2e-09	3.864e-23
0	0.8697633	0.4802635	0	6.200787e-19	-3.070975e-19	0.49087384	0.96	100	2e-09	3.864e-23
0	0.85820925	0.5005847	0	6.19976e-19	-3.070965e-19	0.5154175	0.96	100	2e-09	3.864e-23
0	0.84627515	0.52047724	0	6.1988165e-19	-3.0709623e-19	0.5399612	0.96	100	2e-09	3.864e-23
0	0.8338336	0.5401603	0	6.197955e-19	-3.070958e-19	0.5645049	0.96	100	2e-09	3.864e-23
0	0.82085156	0.5596698	0	6.197181e-19	-3.0709496e-19	0.5890486	0.96	100	2e-09	3.864e-23
0	0.8075562	0.578671	0	6.1964973e-19	-3.0709502e-19	0.6135923	0.96	100	2e-09	3.864e-23
0	0.7938287	0.5973488	0	6.1959e-19	-3.0709507e-19	0.638136	0.96	100	2e-09	3.864e-23
0	0.7796682	0.61570495	0	6.195397e-19	-3.0709517e-19	0.6626797	0.96	100	2e-09	3.864e-23
0	0.76509964	0.6337082	0	6.194984e-19	-3.0709527e-19	0.6872234	0.96	100	2e-09	3.864e-23
0	0.7501071	0.65137833	0	6.1946646e-19	-3.0709533e-19	0.7117671	0.96	100	2e-09	3.864e-23
0	0.7347088	0.6686935	0	6.194438e-19	-3.070954e-19	0.7363108	0.96	100	2e-09	3.864e-23
0	0.71892285	0.6856342	0	6.1943027e-19	-3.0709535e-19	0.7608545	0.96	100	2e-09	3.864e-23
0	0.702483	0.7024709	0	6.1942614e-19	-3.07096e-19	0.7853982	0.96	100	2e-09	3.864e-23
