# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)
0	0.9939718	-2.4225699e-08	0	9.161811e-19	-3.1425415e-20	0	1	100
0	0.7013767	0.7013633	0	9.007311e-19	-3.1359496e-20	0.7853982	1	100
0	0.9940066	-2.1074499e-08	0	9.122863e-19	-3.1172053e-20	0	0.99	100
0	0.70157987	0.70156753	0	8.99182e-19	-3.1114612e-20	0.7853982	0.99	100
0	0.9935949	-1.9923036e-08	0	9.046964e-19	-3.0968366e-20	0	0.98	100
0	0.70191336	0.7018984	0	8.986326e-19	-3.093875e-20	0.7853982	0.98	100
0	0.99352056	-2.675104e-08	0	9.018676e-19	-3.0838886e-20	0	0.97	100
0	0.702024	0.7020096	0	8.978884e-19	-3.0816565e-20	0.7853982	0.97	100
0	0.99342316	-1.748881e-08	0	8.986551e-19	-3.0708702e-20	0	0.96	100
0	0.7020352	0.7020244	0	8.957258e-19	-3.069005e-20	0.7853982	0.96	100
0	0.9934235	-2.9227717e-08	0	8.986548e-19	-3.0708712e-20	0	0.95	100
0	0.70203817	0.70202136	0	8.957259e-19	-3.0690055e-20	0.7853982	0.95	100
0	0.99337083	-2.0506523e-08	0	8.960312e-19	-3.057993e-20	0	0.94	100
0	0.7021921	0.7021815	0	8.954687e-19	-3.0569813e-20	0.7853982	0.94	100
0	0.99337083	-2.7250382e-08	0	8.960312e-19	-3.057993e-20	0	0.93	100
0	0.70219547	0.7021783	0	8.954689e-19	-3.0569813e-20	0.7853982	0.93	100
0	0.9929598	-2.1651779e-08	0	8.853641e-19	-3.018598e-20	0	0.92	100
0	0.70284027	0.7028261	0	8.951275e-19	-3.0216268e-20	0.7853982	0.92	100
0	0.9929597	-1.7461808e-08	0	8.853642e-19	-3.0185976e-20	0	0.91	100
0	0.7028411	0.7028249	0	8.951277e-19	-3.0216265e-20	0.7853982	0.91	100
0	0.9930912	-2.0870722e-08	0	8.822768e-19	-2.9935744e-20	0	0.9	100
0	0.7029194	0.70290273	0	8.918345e-19	-2.9965138e-20	0.7853982	0.9	100
0	0.9930912	-2.0759991e-08	0	8.822766e-19	-2.9935744e-20	0	0.89	100
0	0.7029182	0.7029039	0	8.918346e-19	-2.9965138e-20	0.7853982	0.89	100
0	0.9930912	-2.2048221e-08	0	8.822767e-19	-2.9935744e-20	0	0.88	100
0	0.7029166	0.7029052	0	8.918344e-19	-2.996513e-20	0.7853982	0.88	100
0	0.9933516	-2.8857952e-08	0	8.774812e-19	-2.949857e-20	0	0.87	100
0	0.70316786	0.7031499	0	8.880041e-19	-2.953021e-20	0.7853982	0.87	100
0	0.99264294	-2.5881821e-08	0	8.6364547e-19	-2.9096356e-20	0	0.86	100
0	0.7037859	0.7037721	0	8.858898e-19	-2.9174056e-20	0.7853982	0.86	100
0	0.9926428	-2.4905761e-08	0	8.636454e-19	-2.909635e-20	0	0.85	100
0	0.703787	0.70377094	0	8.858895e-19	-2.9174056e-20	0.7853982	0.85	100
0	0.99264294	-2.422252e-08	0	8.636456e-19	-2.909635e-20	0	0.84	100
0	0.7037864	0.70377165	0	8.858898e-19	-2.917406e-20	0.7853982	0.84	100
0	0.99264294	-2.7389628e-08	0	8.6364563e-19	-2.9096356e-20	0	0.83	100
0	0.7037854	0.7037724	0	8.858897e-19	-2.917405e-20	0.7853982	0.83	100
0	0.99299616	-2.3057414e-08	0	8.6397593e-19	-2.8852496e-20	0	0.82	100
0	0.7041308	0.7041186	0	8.864905e-19	-2.8933456e-20	0.7853982	0.82	100
0	0.99301594	-2.5541315e-08	0	8.624389e-19	-2.8725963e-20	0	0.81	100
0	0.70435673	0.7043456	0	8.866181e-19	-2.8815266e-20	0.7853982	0.81	100
0	0.99287117	-2.2582494e-08	0	8.5668154e-19	-2.8467605e-20	0	0.8	100
0	0.7046908	0.70468456	0	8.854113e-19	-2.857391e-20	0.7853982	0.8	100
0	0.99259484	-2.2636371e-08	0	8.5093755e-19	-2.82691e-20	0	0.79	100
0	0.7049706	0.7049584	0	8.839198e-19	-2.839372e-20	0.7853982	0.79	100
0	0.99258476	-2.029148e-08	0	8.485145e-19	-2.8141764e-20	0	0.78	100
0	0.70501316	0.7050004	0	8.823413e-19	-2.82678e-20	0.7853982	0.78	100
0	0.9926692	-2.0440524e-08	0	8.480196e-19	-2.80171e-20	0	0.77	100
0	0.70523083	0.70522	0	8.824548e-19	-2.8148908e-20	0.7853982	0.77	100
0	0.9926866	-1.8166094e-08	0	8.453775e-19	-2.7890524e-20	0	0.76	100
0	0.7051771	0.7051635	0	8.794776e-19	-2.8019053e-20	0.7853982	0.76	100
0	0.9926954	-2.1467304e-08	0	8.437884e-19	-2.7763707e-20	0	0.75	100
0	0.70537436	0.7053639	0	8.792141e-19	-2.7899267e-20	0.7853982	0.75	100
0	0.99263835	-1.8693129e-08	0	8.389578e-19	-2.7507998e-20	0	0.74	100
0	0.705627	0.7056198	0	8.774587e-19	-2.7653863e-20	0.7853982	0.74	100
0	0.99236065	-2.1304821e-08	0	8.301402e-19	-2.7119236e-20	0	0.73	100
0	0.7060612	0.7060549	0	8.741171e-19	-2.728747e-20	0.7853982	0.73	100
0	0.99236065	-2.0890417e-08	0	8.3014026e-19	-2.7119236e-20	0	0.72	100
0	0.7060612	0.7060549	0	8.74117e-19	-2.728747e-20	0.7853982	0.72	100
0	0.99274266	-1.6487045e-08	0	8.328642e-19	-2.6939066e-20	0	0.71	100
0	0.7063096	0.7063053	0	8.743909e-19	-2.7105326e-20	0.7853982	0.71	100
0	0.9928672	-2.1085587e-08	0	8.294275e-19	-2.668827e-20	0	0.7	100
0	0.7063757	0.7063722	0	8.701764e-19	-2.685214e-20	0.7853982	0.7	100
0	0.9928672	-2.115211e-08	0	8.2942744e-19	-2.668827e-20	0	0.69	100
0	0.70637685	0.7063712	0	8.701763e-19	-2.6852145e-20	0.7853982	0.69	100
0	0.99295676	-1.2743822e-08	0	8.248493e-19	-2.6309382e-20	0	0.68	100
0	0.7066427	0.70663863	0	8.668279e-19	-2.6478533e-20	0.7853982	0.68	100
0	0.99289894	-1.6026886e-08	0	8.2212726e-19	-2.6180762e-20	0	0.67	100
0	0.706728	0.70672494	0	8.6566343e-19	-2.6353818e-20	0.7853982	0.67	100
0	0.99280274	-1.36321185e-08	0	8.136551e-19	-2.566991e-20	0	0.66	100
0	0.7069471	0.706945	0	8.59379e-19	-2.5850123e-20	0.7853982	0.66	100
0	0.99280274	-9.657861e-09	0	8.136553e-19	-2.566991e-20	0	0.65	100
0	0.7069471	0.7069451	0	8.593791e-19	-2.5850123e-20	0.7853982	0.65	100
0	0.993227	-1.6175603e-08	0	8.1360043e-19	-2.5363047e-20	0	0.64	100
0	0.7069658	0.70696455	0	8.557243e-19	-2.5530888e-20	0.7853982	0.64	100
