# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)
0	0.9951704	-1.7002371e-08	0	9.338471e-19	-3.1565564e-20	0	1	100	3.125e-09
0	0.70171136	0.70170224	0	9.140327e-19	-3.147652e-20	0.7853982	1	100	3.125e-09
0	0.9951704	-1.7002371e-08	0	9.338471e-19	-3.1565564e-20	0	0.99	100	3.125e-09
0	0.70171136	0.70170224	0	9.140326e-19	-3.1476523e-20	0.7853982	0.99	100	3.125e-09
0	0.9951158	-2.7643138e-08	0	9.286382e-19	-3.125286e-20	0	0.98	100	3.125e-09
0	0.70207113	0.7020607	0	9.135552e-19	-3.118236e-20	0.7853982	0.98	100	3.125e-09
0	0.9951158	-2.7643138e-08	0	9.286382e-19	-3.125286e-20	0	0.97	100	3.125e-09
0	0.7020719	0.70205975	0	9.135552e-19	-3.1182357e-20	0.7853982	0.97	100	3.125e-09
0	0.99504805	-2.6170632e-08	0	9.227332e-19	-3.0939776e-20	0	0.96	100	3.125e-09
0	0.70217466	0.70216084	0	9.094286e-19	-3.0876562e-20	0.7853982	0.96	100	3.125e-09
0	0.9949766	-2.008253e-08	0	9.170309e-19	-3.0626624e-20	0	0.95	100	3.125e-09
0	0.70262647	0.7026155	0	9.096489e-19	-3.058598e-20	0.7853982	0.95	100	3.125e-09
0	0.99422294	-2.196966e-08	0	9.040676e-19	-3.0292734e-20	0	0.94	100	3.125e-09
0	0.7031303	0.703118	0	9.073635e-19	-3.029714e-20	0.7853982	0.94	100	3.125e-09
0	0.994223	-2.177862e-08	0	9.040676e-19	-3.0292734e-20	0	0.93	100	3.125e-09
0	0.7031303	0.70311797	0	9.073634e-19	-3.029714e-20	0.7853982	0.93	100	3.125e-09
0	0.99422294	-2.4949893e-08	0	9.040676e-19	-3.0292734e-20	0	0.92	100	3.125e-09
0	0.7031302	0.7031181	0	9.073636e-19	-3.0297144e-20	0.7853982	0.92	100	3.125e-09
0	0.99422294	-2.0575065e-08	0	9.040676e-19	-3.0292734e-20	0	0.91	100	3.125e-09
0	0.7031303	0.70311797	0	9.073635e-19	-3.029714e-20	0.7853982	0.91	100	3.125e-09
0	0.994223	-2.177862e-08	0	9.040676e-19	-3.0292734e-20	0	0.9	100	3.125e-09
0	0.7031302	0.7031181	0	9.073636e-19	-3.0297144e-20	0.7853982	0.9	100	3.125e-09
0	0.994223	-2.177862e-08	0	9.040676e-19	-3.0292734e-20	0	0.89	100	3.125e-09
0	0.7031302	0.7031181	0	9.073635e-19	-3.0297144e-20	0.7853982	0.89	100	3.125e-09
0	0.99453735	-1.1918999e-08	0	9.015946e-19	-2.9991517e-20	0	0.88	100	3.125e-09
0	0.7030877	0.70307773	0	9.018699e-19	-2.998463e-20	0.7853982	0.88	100	3.125e-09
0	0.9945136	-1.969918e-08	0	8.966975e-19	-2.9680016e-20	0	0.87	100	3.125e-09
0	0.7034099	0.7033968	0	9.006026e-19	-2.968744e-20	0.7853982	0.87	100	3.125e-09
0	0.9950955	-1.9175442e-08	0	9.009641e-19	-2.95419e-20	0	0.86	100	3.125e-09
0	0.70369536	0.7036856	0	9.034166e-19	-2.9544067e-20	0.7853982	0.86	100	3.125e-09
0	0.99382627	-1.421018e-08	0	8.774595e-19	-2.8883082e-20	0	0.85	100	3.125e-09
0	0.7045901	0.70458215	0	8.974455e-19	-2.89589e-20	0.7853982	0.85	100	3.125e-09
0	0.99382627	-1.421018e-08	0	8.774595e-19	-2.8883082e-20	0	0.84	100	3.125e-09
0	0.70459026	0.704582	0	8.974454e-19	-2.89589e-20	0.7853982	0.84	100	3.125e-09
0	0.99382627	-1.421018e-08	0	8.774595e-19	-2.8883082e-20	0	0.83	100	3.125e-09
0	0.70458984	0.7045823	0	8.974454e-19	-2.8958895e-20	0.7853982	0.83	100	3.125e-09
0	0.99382627	-8.472031e-09	0	8.774595e-19	-2.8883082e-20	0	0.82	100	3.125e-09
0	0.70458984	0.7045823	0	8.974454e-19	-2.8958895e-20	0.7853982	0.82	100	3.125e-09
0	0.99375075	-1.3321962e-08	0	8.708338e-19	-2.8570337e-20	0	0.81	100	3.125e-09
0	0.70462	0.70460856	0	8.922339e-19	-2.864866e-20	0.7853982	0.81	100	3.125e-09
0	0.9937509	-1.5478177e-08	0	8.708339e-19	-2.8570343e-20	0	0.8	100	3.125e-09
0	0.7046193	0.7046094	0	8.92234e-19	-2.8648664e-20	0.7853982	0.8	100	3.125e-09
0	0.9937509	-1.5478177e-08	0	8.708339e-19	-2.8570343e-20	0	0.79	100	3.125e-09
0	0.7046189	0.70460975	0	8.92234e-19	-2.864866e-20	0.7853982	0.79	100	3.125e-09
0	0.9944344	-1.7899815e-08	0	8.751434e-19	-2.827923e-20	0	0.78	100	3.125e-09
0	0.70515776	0.70515066	0	8.947617e-19	-2.8358973e-20	0.7853982	0.78	100	3.125e-09
0	0.9944344	-1.7899815e-08	0	8.751434e-19	-2.827923e-20	0	0.77	100	3.125e-09
0	0.7051583	0.70515007	0	8.947618e-19	-2.8358973e-20	0.7853982	0.77	100	3.125e-09
0	0.9944012	-1.6784503e-08	0	8.705753e-19	-2.7967536e-20	0	0.76	100	3.125e-09
0	0.7055885	0.70558184	0	8.93793e-19	-2.8064484e-20	0.7853982	0.76	100	3.125e-09
0	0.9931866	-8.709983e-09	0	8.460976e-19	-2.7312635e-20	0	0.75	100	3.125e-09
0	0.7061114	0.70610625	0	8.839637e-19	-2.7461188e-20	0.7853982	0.75	100	3.125e-09
0	0.9931866	-8.709983e-09	0	8.460976e-19	-2.7312635e-20	0	0.74	100	3.125e-09
0	0.7061108	0.7061066	0	8.839637e-19	-2.7461185e-20	0.7853982	0.74	100	3.125e-09
0	0.99377775	-9.834767e-09	0	8.517484e-19	-2.717361e-20	0	0.73	100	3.125e-09
0	0.70631546	0.70631176	0	8.855491e-19	-2.7313077e-20	0.7853982	0.73	100	3.125e-09
