# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)
0	0.9876045	7.640833e-08	0	1.1699265e-18	-5.092879e-20	0	1	128
0	0.69750494	0.69748074	0	1.1565367e-18	-5.0866864e-20	0.7853982	1	128
0	0.98756576	-8.304462e-09	0	1.1664775e-18	-5.073718e-20	0	0.99	128
0	0.6976857	0.6976607	0	1.1571398e-18	-5.069059e-20	0.7853982	0.99	128
0	0.9874202	-5.267474e-09	0	1.1601126e-18	-5.041373e-20	0	0.98	128
0	0.6978393	0.6978126	0	1.1551809e-18	-5.0385885e-20	0.7853982	0.98	128
0	0.98735434	-1.0414438e-08	0	1.1578149e-18	-5.031558e-20	0	0.97	128
0	0.6979054	0.6978775	0	1.1549527e-18	-5.029587e-20	0.7853982	0.97	128
0	0.9871847	-1.1570728e-08	0	1.1516424e-18	-5.007001e-20	0	0.96	128
0	0.6982145	0.69819504	0	1.156172e-18	-5.0081466e-20	0.7853982	0.96	128
0	0.98714674	-4.4510267e-09	0	1.1494213e-18	-4.994173e-20	0	0.95	128
0	0.6982929	0.69826597	0	1.1558921e-18	-4.996042e-20	0.7853982	0.95	128
0	0.9869528	-1.5223656e-09	0	1.1421034e-18	-4.961609e-20	0	0.94	128
0	0.69861937	0.69858664	0	1.1562729e-18	-4.9667427e-20	0.7853982	0.94	128
0	0.986979	-6.679831e-09	0	1.1402166e-18	-4.9459494e-20	0	0.93	128
0	0.69863266	0.69860286	0	1.1543297e-18	-4.951039e-20	0.7853982	0.93	128
0	0.986831	-1.2311528e-08	0	1.1336262e-18	-4.9152087e-20	0	0.92	128
0	0.6990432	0.69901454	0	1.1559018e-18	-4.9238995e-20	0.7853982	0.92	128
0	0.98680776	-8.51769e-09	0	1.132088e-18	-4.905618e-20	0	0.91	128
0	0.6990755	0.69904774	0	1.1553949e-18	-4.91464e-20	0.7853982	0.91	128
0	0.98688245	-1.1536227e-08	0	1.1296602e-18	-4.8807256e-20	0	0.9	128
0	0.6992372	0.6992221	0	1.1547386e-18	-4.8905067e-20	0.7853982	0.9	128
0	0.98660105	-8.072875e-09	0	1.1224234e-18	-4.857234e-20	0	0.89	128
0	0.69952023	0.6994893	0	1.1550586e-18	-4.870271e-20	0.7853982	0.89	128
0	0.9867237	-2.4875797e-09	0	1.1215088e-18	-4.837315e-20	0	0.88	128
0	0.6997293	0.69970167	0	1.155737e-18	-4.851156e-20	0.7853982	0.88	128
0	0.9864474	1.8964002e-08	0	1.1136166e-18	-4.80755e-20	0	0.87	128
0	0.70001596	0.6999851	0	1.1551301e-18	-4.8246214e-20	0.7853982	0.87	128
0	0.9864968	-1.1166041e-08	0	1.1113707e-18	-4.7856935e-20	0	0.86	128
0	0.7001522	0.7001202	0	1.1545726e-18	-4.803377e-20	0.7853982	0.86	128
0	0.98634446	-7.994238e-09	0	1.1055413e-18	-4.758126e-20	0	0.85	128
0	0.7005651	0.70053595	0	1.155801e-18	-4.779272e-20	0.7853982	0.85	128
0	0.98635566	-9.749928e-09	0	1.1041844e-18	-4.745555e-20	0	0.84	128
0	0.7007091	0.70067614	0	1.1561151e-18	-4.7675576e-20	0.7853982	0.84	128
0	0.9864782	-7.4031883e-09	0	1.1018322e-18	-4.714577e-20	0	0.83	128
0	0.7009548	0.70093936	0	1.1557287e-18	-4.737568e-20	0.7853982	0.83	128
0	0.9862061	-8.5020435e-09	0	1.0941188e-18	-4.684873e-20	0	0.82	128
0	0.70126677	0.7012334	0	1.1548841e-18	-4.7110543e-20	0.7853982	0.82	128
0	0.98636454	-8.489169e-09	0	1.0928344e-18	-4.658797e-20	0	0.81	128
0	0.70147485	0.70143944	0	1.1539261e-18	-4.685463e-20	0.7853982	0.81	128
0	0.98607516	-3.1941951e-09	0	1.0843661e-18	-4.625876e-20	0	0.8	128
0	0.7018279	0.7017967	0	1.153591e-18	-4.6560746e-20	0.7853982	0.8	128
0	0.9862481	-3.9547743e-09	0	1.0854305e-18	-4.6109077e-20	0	0.79	128
0	0.7020657	0.70203614	0	1.1543518e-18	-4.6417725e-20	0.7853982	0.79	128
0	0.98626757	-6.457341e-09	0	1.0818028e-18	-4.581016e-20	0	0.78	128
0	0.70231867	0.7022836	0	1.1535698e-18	-4.6132335e-20	0.7853982	0.78	128
0	0.98604476	-9.968087e-09	0	1.0755033e-18	-4.554738e-20	0	0.77	128
0	0.7026663	0.7026514	0	1.1536474e-18	-4.5901435e-20	0.7853982	0.77	128
0	0.9862026	-3.8526284e-09	0	1.073937e-18	-4.523909e-20	0	0.76	128
0	0.70293725	0.70291907	0	1.1524759e-18	-4.560092e-20	0.7853982	0.76	128
0	0.9860627	-5.9704197e-09	0	1.0674927e-18	-4.48698e-20	0	0.75	128
0	0.7033959	0.70336354	0	1.1523175e-18	-4.5264154e-20	0.7853982	0.75	128
0	0.98608226	-8.527361e-09	0	1.0652507e-18	-4.464981e-20	0	0.74	128
0	0.70357513	0.703543	0	1.1510771e-18	-4.5052825e-20	0.7853982	0.74	128
0	0.98620105	-7.4426376e-09	0	1.0644422e-18	-4.4402716e-20	0	0.73	128
0	0.70392686	0.7038995	0	1.1516452e-18	-4.4820655e-20	0.7853982	0.73	128
0	0.9860574	-9.345928e-09	0	1.0582437e-18	-4.403338e-20	0	0.72	128
0	0.70437455	0.7043464	0	1.1509338e-18	-4.4482565e-20	0.7853982	0.72	128
0	0.98608476	-8.062296e-09	0	1.0564128e-18	-4.381372e-20	0	0.71	128
0	0.7046339	0.704605	0	1.1505215e-18	-4.4275705e-20	0.7853982	0.71	128
0	0.98624676	3.5807107e-10	0	1.0556584e-18	-4.350532e-20	0	0.7	128
0	0.70498997	0.7049622	0	1.1500289e-18	-4.3979074e-20	0.7853982	0.7	128
0	0.98611546	-1.11158736e-08	0	1.0487091e-18	-4.3105086e-20	0	0.69	128
0	0.7053076	0.7052778	0	1.1474085e-18	-4.359986e-20	0.7853982	0.69	128
0	0.98622584	-3.376645e-09	0	1.0470207e-18	-4.2825874e-20	0	0.68	128
0	0.7055151	0.7054825	0	1.1450419e-18	-4.332525e-20	0.7853982	0.68	128
0	0.9863035	-8.966752e-09	0	1.0437122e-18	-4.241894e-20	0	0.67	128
0	0.70591515	0.7058864	0	1.1436295e-18	-4.293465e-20	0.7853982	0.67	128
0	0.9862542	-8.10282e-09	0	1.0411399e-18	-4.218012e-20	0	0.66	128
0	0.706147	0.70611745	0	1.1424151e-18	-4.2709054e-20	0.7853982	0.66	128
0	0.98629606	-8.265795e-09	0	1.0390083e-18	-4.189786e-20	0	0.65	128
0	0.70634866	0.70631903	0	1.1406817e-18	-4.2433564e-20	0.7853982	0.65	128
0	0.986386	-3.7537276e-09	0	1.0336464e-18	-4.1349308e-20	0	0.64	128
0	0.7066171	0.70659035	0	1.1364162e-18	-4.189018e-20	0.7853982	0.64	128
0	0.98636085	-6.438491e-09	0	1.0313549e-18	-4.112731e-20	0	0.63	128
0	0.70669574	0.7066699	0	1.1343476e-18	-4.1671004e-20	0.7853982	0.63	128
0	0.9866098	-4.4612153e-07	0	1.0331923e-18	-4.0821974e-20	0	0.62	128
0	0.7067274	0.70671505	0	1.1322979e-18	-4.1353444e-20	0.7853982	0.62	128
0	0.9865986	-3.5690355e-09	0	1.0260373e-18	-4.026901e-20	0	0.61	128
0	0.7066909	0.70666015	0	1.1261457e-18	-4.0791107e-20	0.7853982	0.61	128
0	0.98663443	-5.2261992e-08	0	1.0252947e-18	-4.0049465e-20	0	0.6	128
0	0.7065317	0.7064913	0	1.1234437e-18	-4.0557825e-20	0.7853982	0.6	128
0	0.98683393	-7.882305e-09	0	1.0240684e-18	-3.964704e-20	0	0.59	128
0	0.7062507	0.7061928	0	1.1181476e-18	-4.0125714e-20	0.7853982	0.59	128
0	0.98683804	-9.281706e-09	0	1.0188402e-18	-3.9189316e-20	0	0.58	128
0	0.7057085	0.7056388	0	1.1117406e-18	-3.9631512e-20	0.7853982	0.58	128
