# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)
0	0.9895646	-1.5995205e-08	0	1.2092357e-18	-5.110903e-20	0	1	128
0	0.6980523	0.6980262	0	1.1851939e-18	-5.0985694e-20	0.7853982	1	128
0	0.9894244	-2.1154824e-08	0	1.2037848e-18	-5.0848505e-20	0	0.99	128
0	0.6982182	0.6981977	0	1.1844068e-18	-5.074524e-20	0.7853982	0.99	128
0	0.98908466	-2.7300123e-08	0	1.1946301e-18	-5.051453e-20	0	0.98	128
0	0.6984796	0.69845796	0	1.1827266e-18	-5.04481e-20	0.7853982	0.98	128
0	0.9891737	-1.6674662e-08	0	1.1920236e-18	-5.0265856e-20	0	0.97	128
0	0.69856656	0.6985355	0	1.1805061e-18	-5.020114e-20	0.7853982	0.97	128
0	0.98917395	-2.614741e-08	0	1.1920235e-18	-5.026586e-20	0	0.96	128
0	0.6985656	0.698537	0	1.1805061e-18	-5.020116e-20	0.7853982	0.96	128
0	0.9891695	-3.2229405e-08	0	1.1901411e-18	-5.013902e-20	0	0.95	128
0	0.69871897	0.69869214	0	1.1812484e-18	-5.0085763e-20	0.7853982	0.95	128
0	0.988769	-2.0503352e-08	0	1.1773177e-18	-4.9612474e-20	0	0.94	128
0	0.6993757	0.69935375	0	1.1826986e-18	-4.962663e-20	0.7853982	0.94	128
0	0.9887693	-2.4356936e-08	0	1.1773175e-18	-4.961249e-20	0	0.93	128
0	0.6993752	0.69935435	0	1.1826984e-18	-4.9626636e-20	0.7853982	0.93	128
0	0.9886573	-2.3497986e-08	0	1.1727548e-18	-4.935378e-20	0	0.92	128
0	0.6993625	0.69933265	0	1.1796027e-18	-4.9372214e-20	0.7853982	0.92	128
0	0.9886011	-2.6632474e-08	0	1.1702606e-18	-4.9224426e-20	0	0.91	128
0	0.6994683	0.6994361	0	1.1795819e-18	-4.9252986e-20	0.7853982	0.91	128
0	0.98895776	-2.3720412e-08	0	1.1707722e-18	-4.892572e-20	0	0.9	128
0	0.69993895	0.69992024	0	1.1830595e-18	-4.8969855e-20	0.7853982	0.9	128
0	0.98826087	-1.4557214e-08	0	1.1575763e-18	-4.863825e-20	0	0.89	128
0	0.70031637	0.7002799	0	1.1819744e-18	-4.87421e-20	0.7853982	0.89	128
0	0.9882066	-1.2181262e-08	0	1.1551911e-18	-4.8509086e-20	0	0.88	128
0	0.7003704	0.70035636	0	1.1815647e-18	-4.861987e-20	0.7853982	0.88	128
0	0.98825866	-1.7730434e-08	0	1.154128e-18	-4.8385145e-20	0	0.87	128
0	0.70033723	0.7003071	0	1.1793665e-18	-4.8490235e-20	0.7853982	0.87	128
0	0.9886148	-2.1999284e-08	0	1.1561357e-18	-4.81495e-20	0	0.86	128
0	0.7006767	0.70066047	0	1.181912e-18	-4.8260554e-20	0.7853982	0.86	128
0	0.9878652	-9.81671e-09	0	1.1372087e-18	-4.748076e-20	0	0.85	128
0	0.7014308	0.7013984	0	1.1806021e-18	-4.7677085e-20	0.7853982	0.85	128
0	0.98779166	-1.8810479e-08	0	1.1342705e-18	-4.7350784e-20	0	0.84	128
0	0.70135415	0.70132273	0	1.1780214e-18	-4.7544955e-20	0.7853982	0.84	128
0	0.9880909	-9.5572625e-09	0	1.1380061e-18	-4.730189e-20	0	0.83	128
0	0.7014715	0.70144504	0	1.1795292e-18	-4.748959e-20	0.7853982	0.83	128
0	0.9881295	-1.9798115e-08	0	1.1356409e-18	-4.705078e-20	0	0.82	128
0	0.70176846	0.7017411	0	1.1800719e-18	-4.72556e-20	0.7853982	0.82	128
0	0.9881405	-1.1758261e-08	0	1.1343899e-18	-4.692482e-20	0	0.81	128
0	0.70198613	0.7019645	0	1.1807496e-18	-4.714338e-20	0.7853982	0.81	128
0	0.98741555	-1.4774278e-08	0	1.1173125e-18	-4.6384835e-20	0	0.8	128
0	0.7025832	0.70255226	0	1.1789402e-18	-4.667445e-20	0.7853982	0.8	128
0	0.98788726	-1.0914896e-08	0	1.1191338e-18	-4.602765e-20	0	0.79	128
0	0.70279056	0.7027696	0	1.1772396e-18	-4.6306905e-20	0.7853982	0.79	128
0	0.9879124	-1.7405213e-08	0	1.1183567e-18	-4.5902365e-20	0	0.78	128
0	0.7030157	0.70299315	0	1.1777687e-18	-4.6194425e-20	0.7853982	0.78	128
0	0.98797894	-2.5341237e-08	0	1.117088e-18	-4.5778996e-20	0	0.77	128
0	0.702954	0.702929	0	1.1753289e-18	-4.606305e-20	0.7853982	0.77	128
0	0.9882091	-2.391044e-08	0	1.1147819e-18	-4.5346956e-20	0	0.76	128
0	0.7032659	0.7032371	0	1.1737933e-18	-4.563781e-20	0.7853982	0.76	128
0	0.98755556	-2.0117621e-08	0	1.0976667e-18	-4.468492e-20	0	0.75	128
0	0.70403546	0.7040058	0	1.1715764e-18	-4.505051e-20	0.7853982	0.75	128
0	0.98755574	-2.013343e-08	0	1.0976668e-18	-4.468493e-20	0	0.74	128
0	0.70403296	0.70400816	0	1.1715763e-18	-4.505051e-20	0.7853982	0.74	128
0	0.98755914	-1.847057e-08	0	1.0966357e-18	-4.4558665e-20	0	0.73	128
0	0.70423824	0.7042176	0	1.1717175e-18	-4.4936306e-20	0.7853982	0.73	128
0	0.9878946	-1.8988855e-08	0	1.09797e-18	-4.4194454e-20	0	0.72	128
0	0.70467365	0.7046523	0	1.1720708e-18	-4.4581384e-20	0.7853982	0.72	128
0	0.9879011	-2.7358103e-08	0	1.095905e-18	-4.394184e-20	0	0.71	128
0	0.7050342	0.70500684	0	1.1719201e-18	-4.434877e-20	0.7853982	0.71	128
0	0.9881742	-1.695547e-08	0	1.0963017e-18	-4.363778e-20	0	0.7	128
0	0.70534134	0.70532286	0	1.1721687e-18	-4.404917e-20	0.7853982	0.7	128
0	0.9875433	-1.9143853e-08	0	1.0820589e-18	-4.32307e-20	0	0.69	128
0	0.7056886	0.7056623	0	1.1683393e-18	-4.368739e-20	0.7853982	0.69	128
0	0.9876138	-1.7087984e-08	0	1.079136e-18	-4.2854544e-20	0	0.68	128
0	0.705977	0.70595825	0	1.1661351e-18	-4.33221e-20	0.7853982	0.68	128
0	0.98808014	-2.0655404e-08	0	1.0828785e-18	-4.249535e-20	0	0.67	128
0	0.7061767	0.7061564	0	1.1635761e-18	-4.2950804e-20	0.7853982	0.67	128
0	0.9880145	-1.2585365e-08	0	1.0802997e-18	-4.236607e-20	0	0.66	128
0	0.70628446	0.7062623	0	1.1628161e-18	-4.2829464e-20	0.7853982	0.66	128
0	0.9883384	-2.1193577e-08	0	1.0799487e-18	-4.1810665e-20	0	0.65	128
0	0.70660365	0.70658475	0	1.1599889e-18	-4.2273333e-20	0.7853982	0.65	128
0	0.98779315	-1.605856e-08	0	1.0650913e-18	-4.1408293e-20	0	0.64	128
0	0.7067635	0.7067492	0	1.1551556e-18	-4.1899225e-20	0.7853982	0.64	128
0	0.98784965	-1.4249666e-08	0	1.0638619e-18	-4.1031325e-20	0	0.63	128
0	0.70678157	0.7067791	0	1.1516643e-18	-4.1516822e-20	0.7853982	0.63	128
0	0.9879313	-2.0861625e-08	0	1.0603194e-18	-4.0781804e-20	0	0.62	128
0	0.70679355	0.70679	0	1.1475657e-18	-4.1261604e-20	0.7853982	0.62	128
0	0.98833567	-1.2575041e-08	0	1.0656279e-18	-4.041898e-20	0	0.61	128
0	0.70658195	0.70655704	0	1.1441508e-18	-4.0864923e-20	0.7853982	0.61	128
0	0.98874134	-1.70576e-08	0	1.0678107e-18	-4.011917e-20	0	0.6	128
0	0.7064623	0.7064466	0	1.1419134e-18	-4.053857e-20	0.7853982	0.6	128
0	0.98863244	-1.4731559e-08	0	1.0613508e-18	-3.960857e-20	0	0.59	128
0	0.7059462	0.7059093	0	1.1345106e-18	-3.9997197e-20	0.7853982	0.59	128
0	0.98823214	-1.5480985e-08	0	1.0472785e-18	-3.9213053e-20	0	0.58	128
0	0.7057936	0.70575166	0	1.128264e-18	-3.9605133e-20	0.7853982	0.58	128
0	0.98844934	-2.0601341e-08	0	1.0484256e-18	-3.8842104e-20	0	0.57	128
0	0.70496005	0.70489043	0	1.1226463e-18	-3.917476e-20	0.7853982	0.57	128
0	0.9888457	-1.1669104e-08	0	1.0507929e-18	-3.8477964e-20	0	0.56	128
0	0.7042674	0.7042171	0	1.1160639e-18	-3.875436e-20	0.7853982	0.56	128
0	0.98926735	-1.8163107e-08	0	1.0555697e-18	-3.8177804e-20	0	0.55	128
0	0.7031528	0.70309126	0	1.1110899e-18	-3.8374524e-20	0.7853982	0.55	128
0	0.9891818	-1.8091137e-08	0	1.0491107e-18	-3.7668044e-20	0	0.54	128
0	0.70150524	0.7014089	0	1.1000102e-18	-3.777575e-20	0.7853982	0.54	128
0	0.9892078	-2.0564482e-08	0	1.0484922e-18	-3.754242e-20	0	0.53	128
0	0.7010691	0.7009816	0	1.0973844e-18	-3.7625596e-20	0.7853982	0.53	128
0	0.9893268	-1.54443e-08	0	1.0418149e-18	-3.6913762e-20	0	0.52	128
0	0.69898576	0.69889617	0	1.0841595e-18	-3.688111e-20	0.7853982	0.52	128
0	0.9895381	-1.67378e-08	0	1.036956e-18	-3.628834e-20	0	0.51	128
0	0.6958127	0.6957383	0	1.0681348e-18	-3.608434e-20	0.7853982	0.51	128
0	0.9898579	-1.207593e-08	0	1.0392468e-18	-3.5856612e-20	0	0.5	128
0	0.6928756	0.69280356	0	1.0549779e-18	-3.5493115e-20	0.7853982	0.5	128
0	0.98998153	-1.426254e-08	0	1.0372715e-18	-3.5480937e-20	0	0.49	128
0	0.6908238	0.69075304	0	1.0447671e-18	-3.50129e-20	0.7853982	0.49	128
0	0.99015284	-1.5844252e-08	0	1.0368885e-18	-3.510686e-20	0	0.48	128
0	0.68825394	0.6882029	0	1.0327825e-18	-3.4509397e-20	0.7853982	0.48	128
0	0.99067366	-1.9868782e-08	0	1.0426217e-18	-3.474491e-20	0	0.47	128
0	0.685164	0.6851134	0	1.0210527e-18	-3.3982395e-20	0.7853982	0.47	128
0	0.9910882	-1.4158878e-08	0	1.0395999e-18	-3.4061724e-20	0	0.46	128
0	0.6818263	0.681777	0	1.0015882e-18	-3.313808e-20	0.7853982	0.46	128
0	0.99114114	-1.5576413e-08	0	1.0352987e-18	-3.3682943e-20	0	0.45	128
0	0.6798929	0.679845	0	9.902143e-19	-3.267493e-20	0.7853982	0.45	128
0	0.9912282	-1.8427267e-08	0	1.0206564e-18	-3.292464e-20	0	0.44	128
0	0.6786557	0.6786112	0	9.72476e-19	-3.1878478e-20	0.7853982	0.44	128
0	0.9919369	-2.9282896e-08	0	1.0287333e-18	-3.24403e-20	0	0.43	128
0	0.67357343	0.6735405	0	9.523887e-19	-3.1152304e-20	0.7853982	0.43	128
0	0.9923728	-3.2806113e-08	0	1.0333152e-18	-3.2137004e-20	0	0.42	128
0	0.6707338	0.6707044	0	9.408645e-19	-3.071752e-20	0.7853982	0.42	128
0	0.992438	-1.8848914e-08	0	1.0232045e-18	-3.137692e-20	0	0.41	128
0	0.66718024	0.6671527	0	9.150848e-19	-2.9830204e-20	0.7853982	0.41	128
0	0.9926509	-2.1882263e-08	0	1.0222943e-18	-3.1002477e-20	0	0.4	128
0	0.66478574	0.664759	0	9.023549e-19	-2.9362143e-20	0.7853982	0.4	128
0	0.99351716	-2.8489119e-08	0	1.0305688e-18	-3.0393682e-20	0	0.39	128
0	0.6593118	0.6592918	0	8.791838e-19	-2.8523785e-20	0.7853982	0.39	128
0	0.99386716	-3.274459e-08	0	1.0310109e-18	-2.995913e-20	0	0.38	128
0	0.65611804	0.6561001	0	8.608587e-19	-2.7969965e-20	0.7853982	0.38	128
0	0.99392813	-1.7660934e-08	0	1.0233031e-18	-2.945208e-20	0	0.37	128
0	0.6547723	0.6547547	0	8.4551957e-19	-2.7438502e-20	0.7853982	0.37	128
0	0.99411166	-2.4450847e-08	0	1.0077955e-18	-2.8566792e-20	0	0.36	128
0	0.6526067	0.6525909	0	8.174646e-19	-2.6520855e-20	0.7853982	0.36	128
0	0.994951	-3.0507678e-08	0	1.0183373e-18	-2.80815e-20	0	0.35	128
0	0.6468733	0.6468622	0	7.956037e-19	-2.581957e-20	0.7853982	0.35	128
0	0.9953323	-3.609197e-08	0	1.0194615e-18	-2.7646354e-20	0	0.34	128
0	0.64417243	0.6441623	0	7.791942e-19	-2.5303665e-20	0.7853982	0.34	128
0	0.9954175	-1.8714312e-08	0	1.0098487e-18	-2.701165e-20	0	0.33	128
0	0.642626	0.6426156	0	7.5816035e-19	-2.4661275e-20	0.7853982	0.33	128
0	0.99573773	-2.4794225e-08	0	1.0090081e-18	-2.6510525e-20	0	0.32	128
0	0.63940525	0.63939625	0	7.404065e-19	-2.4074733e-20	0.7853982	0.32	128
0	0.9968144	-2.7190922e-08	0	1.0209436e-18	-2.570984e-20	0	0.31	128
0	0.6315054	0.63150036	0	7.0646627e-19	-2.3034318e-20	0.7853982	0.31	128
0	0.9967738	-4.167138e-08	0	1.009848e-18	-2.519844e-20	0	0.3	128
0	0.631767	0.63176143	0	6.9056605e-19	-2.2586406e-20	0.7853982	0.3	128
0	0.99689114	-2.6240675e-08	0	1.0044691e-18	-2.4691e-20	0	0.29	128
0	0.63012224	0.6301165	0	6.7490866e-19	-2.2071345e-20	0.7853982	0.29	128
0	0.9973642	-2.661635e-08	0	9.998676e-19	-2.380908e-20	0	0.28	128
0	0.6258908	0.6258866	0	6.457926e-19	-2.113007e-20	0.7853982	0.28	128
0	0.99796563	-1.7000495e-08	0	1.0034217e-18	-2.312087e-20	0	0.27	128
0	0.6208294	0.620827	0	6.171556e-19	-2.0341126e-20	0.7853982	0.27	128
