# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Length (nm)
0	0.9999739	-2.0298056e-10	0	-1.0214782e-16	-1.02957305e-16	0	45
0	0.9949786	0.099828355	0	-1.02147846e-16	-1.0295735e-16	0.1	45
0	0.98004234	0.19865978	0	-1.021478e-16	-1.02957384e-16	0.2	45
0	0.9553143	0.29550722	0	-1.02147707e-16	-1.02957404e-16	0.3	45
0	0.9210409	0.3894031	0	-1.0214767e-16	-1.02957483e-16	0.4	45
0	0.87756443	0.4794092	0	-1.02147594e-16	-1.0295755e-16	0.5	45
0	0.8253188	0.564626	0	-1.0214754e-16	-1.0295761e-16	0.6	45
0	0.76482594	0.6442014	0	-1.02147515e-16	-1.0295764e-16	0.7	45
0	0.69669056	0.71733993	0	-1.0214751e-16	-1.0295765e-16	0.8	45
0	0.62159353	0.7833106	0	-1.0214752e-16	-1.0295763e-16	0.9	45
0	0.5402858	0.8414539	0	-1.02147554e-16	-1.02957596e-16	1	45
0	0.45358	0.8911888	0	-1.0214761e-16	-1.0295753e-16	1.1	45
0	0.36234304	0.9320184	0	-1.0214768e-16	-1.02957464e-16	1.2	45
0	0.26748672	0.9635353	0	-1.0214774e-16	-1.02957404e-16	1.3	45
0	0.16995881	0.985425	0	-1.02147786e-16	-1.02957344e-16	1.4	45
0	0.070733584	0.9974691	0	-1.0214782e-16	-1.02957325e-16	1.5	45
0	-0.029198013	0.9995475	0	-1.0214783e-16	-1.0295731e-16	1.6	45
0	-0.12883805	0.9916397	0	-1.02147806e-16	-1.0295733e-16	1.7	45
0	-0.22719142	0.973824	0	-1.0214777e-16	-1.02957384e-16	1.8	45
0	-0.32327577	0.9462785	0	-1.0214771e-16	-1.02957444e-16	1.9	45
0	-0.41613114	0.909278	0	-1.0214764e-16	-1.02957516e-16	2	45
0	-0.5048297	0.8631917	0	-1.0214758e-16	-1.02957556e-16	2.1	45
0	-0.58848464	0.8084797	0	-1.0214755e-16	-1.0295762e-16	2.2	45
0	-0.66625977	0.74568903	0	-1.0214751e-16	-1.0295765e-16	2.3	45
0	-0.7373775	0.675447	0	-1.021475e-16	-1.0295764e-16	2.4	45
0	-0.80112714	0.5984556	0	-1.0214754e-16	-1.0295763e-16	2.5	45
0	-0.8568713	0.51548487	0	-1.0214757e-16	-1.0295757e-16	2.6	45
0	-0.9040529	0.42736405	0	-1.02147634e-16	-1.02957516e-16	2.7	45
0	-0.9422012	0.3349741	0	-1.02147674e-16	-1.02957424e-16	2.8	45
0	-0.97093475	0.2392382	0	-1.02147766e-16	-1.02957384e-16	2.9	45
0	-0.98996735	0.14111298	0	-1.02147786e-16	-1.0295731e-16	3	45
0	-0.9991091	0.04157852	0	-1.02147806e-16	-1.02957305e-16	3.1	45
0	-0.99826884	-0.058371153	0	-1.0214781e-16	-1.02957305e-16	3.2	45
0	-0.98745495	-0.15773791	0	-1.02147786e-16	-1.0295733e-16	3.3	45
0	-0.9667752	-0.2555294	0	-1.02147727e-16	-1.02957384e-16	3.4	45
0	-0.9364357	-0.3507688	0	-1.02147674e-16	-1.02957444e-16	3.5	45
0	-0.8967396	-0.4425044	0	-1.02147634e-16	-1.02957536e-16	3.6	45
0	-0.84808266	-0.5298196	0	-1.0214757e-16	-1.0295759e-16	3.7	45
0	-0.79095125	-0.61184144	0	-1.02147515e-16	-1.0295763e-16	3.8	45
0	-0.7259162	-0.68775	0	-1.021475e-16	-1.0295764e-16	3.9	45
0	-0.65362734	-0.7567864	0	-1.0214751e-16	-1.0295764e-16	4	45
0	-0.5748074	-0.81826043	0	-1.0214754e-16	-1.0295761e-16	4.1	45
0	-0.49024442	-0.87155783	0	-1.0214758e-16	-1.02957556e-16	4.2	45
0	-0.40078378	-0.91614616	0	-1.0214766e-16	-1.0295751e-16	4.3	45
0	-0.30731955	-0.9515801	0	-1.0214771e-16	-1.02957424e-16	4.4	45
0	-0.21078579	-0.97750616	0	-1.0214778e-16	-1.02957364e-16	4.5	45
0	-0.11214687	-0.9936655	0	-1.02147806e-16	-1.02957325e-16	4.6	45
0	-0.012388024	-0.99989706	0	-1.0214783e-16	-1.0295731e-16	4.7	45
0	0.08749453	-0.9961388	0	-1.0214782e-16	-1.02957325e-16	4.8	45
0	0.18650334	-0.98242825	0	-1.0214777e-16	-1.02957344e-16	4.9	45
0	0.28364956	-0.9589019	0	-1.02147746e-16	-1.02957424e-16	5	45
0	0.3779627	-0.92579436	0	-1.02147674e-16	-1.02957483e-16	5.1	45
0	0.46850047	-0.8834362	0	-1.021476e-16	-1.02957536e-16	5.2	45
0	0.55435777	-0.83225054	0	-1.0214756e-16	-1.0295761e-16	5.3	45
0	0.6346765	-0.7727483	0	-1.0214752e-16	-1.0295763e-16	5.4	45
0	0.70865357	-0.7055242	0	-1.0214751e-16	-1.0295765e-16	5.5	45
0	0.7755496	-0.6312503	0	-1.0214752e-16	-1.0295764e-16	5.6	45
0	0.83469576	-0.550669	0	-1.02147535e-16	-1.0295759e-16	5.7	45
0	0.8855011	-0.46458596	0	-1.02147614e-16	-1.02957556e-16	5.8	45
0	0.927458	-0.37386173	0	-1.021477e-16	-1.0295751e-16	5.9	45
0	0.9601478	-0.279403	0	-1.02147746e-16	-1.02957424e-16	6	45
0	0.983244	-0.18215366	0	-1.02147786e-16	-1.02957364e-16	6.1	45
0	0.9965164	-0.083085164	0	-1.0214783e-16	-1.0295733e-16	6.2	45
0	0.999975	-1.7235985e-10	0	-1.02066855e-16	-1.0287742e-16	0	44.9
0	0.9949794	0.09983008	0	-1.0206685e-16	-1.0287743e-16	0.1	44.9
0	0.98004276	0.19866289	0	-1.0206684e-16	-1.0287746e-16	0.2	44.9
0	0.95531374	0.29551113	0	-1.02066835e-16	-1.028775e-16	0.3	44.9
0	0.9210396	0.38940704	0	-1.02066775e-16	-1.028775e-16	0.4	44.9
0	0.8775625	0.4794125	0	-1.0206678e-16	-1.02877565e-16	0.5	44.9
0	0.8253168	0.56462806	0	-1.0206675e-16	-1.02877565e-16	0.6	44.9
0	0.76482475	0.6442022	0	-1.0206674e-16	-1.02877584e-16	0.7	44.9
0	0.6966903	0.7173394	0	-1.0206675e-16	-1.0287759e-16	0.8	44.9
0	0.6215947	0.78330904	0	-1.0206675e-16	-1.02877584e-16	0.9	44.9
0	0.54028827	0.84145194	0	-1.0206677e-16	-1.02877565e-16	1	44.9
0	0.45358363	0.89118695	0	-1.02066775e-16	-1.0287753e-16	1.1	44.9
