# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Length (nm)
0	0.9999883	-1.0960221e-10	0	-1.5623487e-16	-1.5719817e-16	0	100
0	0.99993837	0.009999978	0	-1.5623487e-16	-1.5719817e-16	0.01	100
0	0.99978846	0.019998956	0	-1.5623487e-16	-1.5719817e-16	0.02	100
0	0.9995383	0.029995935	0	-1.5623488e-16	-1.5719817e-16	0.03	100
0	0.9991885	0.039989907	0	-1.5623487e-16	-1.5719818e-16	0.04	100
0	0.9987386	0.04997988	0	-1.562349e-16	-1.571982e-16	0.05	100
0	0.99818885	0.05996486	0	-1.5623487e-16	-1.5719817e-16	0.06	100
0	0.9975392	0.069943845	0	-1.5623486e-16	-1.5719816e-16	0.07	100
0	0.9967899	0.079915814	0	-1.5623487e-16	-1.5719816e-16	0.08	100
0	0.9959409	0.089879796	0	-1.5623487e-16	-1.5719814e-16	0.09	100
0	0.9949923	0.099834785	0	-1.562349e-16	-1.5719817e-16	0.1	100
0	0.99394417	0.10977978	0	-1.5623488e-16	-1.5719814e-16	0.11	100
0	0.9927966	0.11971381	0	-1.5623488e-16	-1.5719814e-16	0.12	100
0	0.99154973	0.12963584	0	-1.5623491e-16	-1.5719816e-16	0.13	100
0	0.99020374	0.13954492	0	-1.5623491e-16	-1.5719814e-16	0.14	100
0	0.9887588	0.14944002	0	-1.5623488e-16	-1.571981e-16	0.15	100
0	0.9872149	0.15932019	0	-1.5623487e-16	-1.571981e-16	0.16	100
0	0.98557234	0.16918439	0	-1.5623492e-16	-1.5719813e-16	0.17	100
0	0.98383117	0.17903167	0	-1.5623494e-16	-1.5719813e-16	0.18	100
0	0.9819916	0.18886106	0	-1.5623495e-16	-1.5719813e-16	0.19	100
0	0.98005384	0.19867155	0	-1.5623496e-16	-1.571981e-16	0.2	100
0	0.97801816	0.20846216	0	-1.5623496e-16	-1.571981e-16	0.21	100
0	0.9758845	0.21823193	0	-1.5623496e-16	-1.571981e-16	0.22	100
0	0.9736533	0.22797982	0	-1.5623496e-16	-1.5719807e-16	0.23	100
0	0.9713249	0.23770495	0	-1.5623496e-16	-1.5719808e-16	0.24	100
0	0.9688992	0.24740626	0	-1.56235e-16	-1.571981e-16	0.25	100
0	0.9663767	0.25708288	0	-1.5623498e-16	-1.5719805e-16	0.26	100
0	0.96375746	0.26673374	0	-1.56235e-16	-1.5719807e-16	0.27	100
0	0.961042	0.27635786	0	-1.5623499e-16	-1.5719804e-16	0.28	100
0	0.9582303	0.28595442	0	-1.56235e-16	-1.5719805e-16	0.29	100
0	0.95532274	0.29552236	0	-1.56235e-16	-1.5719801e-16	0.3	100
0	0.95231974	0.30506074	0	-1.5623503e-16	-1.5719803e-16	0.31	100
0	0.94922155	0.31456858	0	-1.5623506e-16	-1.5719804e-16	0.32	100
0	0.9460285	0.32404494	0	-1.5623507e-16	-1.5719803e-16	0.33	100
0	0.94274056	0.33348888	0	-1.5623507e-16	-1.5719801e-16	0.34	100
0	0.9393586	0.34289944	0	-1.562351e-16	-1.57198e-16	0.35	100
0	0.9358825	0.35227582	0	-1.5623511e-16	-1.5719801e-16	0.36	100
0	0.932313	0.3616169	0	-1.5623511e-16	-1.57198e-16	0.37	100
0	0.9286502	0.37092176	0	-1.5623511e-16	-1.5719797e-16	0.38	100
0	0.92489463	0.38018957	0	-1.562351e-16	-1.5719795e-16	0.39	100
0	0.92104656	0.38941926	0	-1.5623515e-16	-1.5719797e-16	0.4	100
0	0.9171062	0.39861012	0	-1.5623516e-16	-1.5719797e-16	0.41	100
0	0.9130744	0.40776107	0	-1.5623516e-16	-1.5719796e-16	0.42	100
0	0.9089512	0.4168712	0	-1.5623519e-16	-1.5719796e-16	0.43	100
0	0.904737	0.42593962	0	-1.5623517e-16	-1.5719793e-16	0.44	100
0	0.90043247	0.4349655	0	-1.5623519e-16	-1.5719793e-16	0.45	100
0	0.89603776	0.4439479	0	-1.5623517e-16	-1.5719789e-16	0.46	100
0	0.8915536	0.4528858	0	-1.562352e-16	-1.571979e-16	0.47	100
0	0.8869803	0.46177843	0	-1.5623521e-16	-1.5719789e-16	0.48	100
0	0.8823182	0.47062486	0	-1.5623524e-16	-1.571979e-16	0.49	100
0	0.8775679	0.47942427	0	-1.5623524e-16	-1.5719789e-16	0.5	100
0	0.87272984	0.48817578	0	-1.5623523e-16	-1.5719788e-16	0.51	100
0	0.8678045	0.49687836	0	-1.5623528e-16	-1.5719789e-16	0.52	100
0	0.8627925	0.50553125	0	-1.5623527e-16	-1.5719787e-16	0.53	100
0	0.8576942	0.51413363	0	-1.5623525e-16	-1.5719784e-16	0.54	100
0	0.85251015	0.5226845	0	-1.5623529e-16	-1.5719787e-16	0.55	100
0	0.8472408	0.53118324	0	-1.5623528e-16	-1.5719784e-16	0.56	100
0	0.8418868	0.53962874	0	-1.5623527e-16	-1.5719781e-16	0.57	100
0	0.83644843	0.54802036	0	-1.562353e-16	-1.5719784e-16	0.58	100
0	0.83092666	0.55635715	0	-1.5623532e-16	-1.5719784e-16	0.59	100
0	0.8253217	0.56463826	0	-1.5623532e-16	-1.5719783e-16	0.6	100
0	0.8196342	0.5728629	0	-1.5623532e-16	-1.571978e-16	0.61	100
0	0.81386477	0.58103025	0	-1.562353e-16	-1.5719779e-16	0.62	100
0	0.80801404	0.5891396	0	-1.5623536e-16	-1.5719783e-16	0.63	100
0	0.8020825	0.59718996	0	-1.5623532e-16	-1.5719779e-16	0.64	100
0	0.79607064	0.6051806	0	-1.5623535e-16	-1.5719779e-16	0.65	100
0	0.7899793	0.61311066	0	-1.5623535e-16	-1.5719779e-16	0.66	100
0	0.78380877	0.62097955	0	-1.5623535e-16	-1.5719779e-16	0.67	100
0	0.77756006	0.62878615	0	-1.5623533e-16	-1.5719776e-16	0.68	100
0	0.77123356	0.6365301	0	-1.5623539e-16	-1.571978e-16	0.69	100
0	0.7648299	0.6442103	0	-1.5623535e-16	-1.5719776e-16	0.7	100
0	0.7583499	0.65182596	0	-1.5623536e-16	-1.5719776e-16	0.71	100
0	0.751794	0.6593766	0	-1.562354e-16	-1.571978e-16	0.72	100
0	0.7451629	0.66686124	0	-1.5623536e-16	-1.5719775e-16	0.73	100
0	0.73845726	0.67427915	0	-1.5623536e-16	-1.5719776e-16	0.74	100
0	0.73167783	0.6816298	0	-1.5623539e-16	-1.5719776e-16	0.75	100
0	0.7248253	0.68891203	0	-1.5623537e-16	-1.5719779e-16	0.76	100
0	0.71790016	0.69612557	0	-1.5623537e-16	-1.5719776e-16	0.77	100
0	0.71090335	0.7032696	0	-1.5623536e-16	-1.5719775e-16	0.78	100
0	0.7038353	0.7103431	0	-1.5623539e-16	-1.5719776e-16	0.79	100
0	0.69669706	0.7173456	0	-1.562354e-16	-1.5719779e-16	0.8	100
0	0.68948907	0.7242765	0	-1.5623539e-16	-1.5719777e-16	0.81	100
0	0.6822122	0.73113483	0	-1.5623536e-16	-1.5719775e-16	0.82	100
0	0.674867	0.7379202	0	-1.5623537e-16	-1.5719776e-16	0.83	100
0	0.66745436	0.7446316	0	-1.5623537e-16	-1.5719776e-16	0.84	100
0	0.65997505	0.7512686	0	-1.5623539e-16	-1.5719777e-16	0.85	100
0	0.6524296	0.7578306	0	-1.5623537e-16	-1.5719779e-16	0.86	100
0	0.6448191	0.7643167	0	-1.5623539e-16	-1.5719779e-16	0.87	100
0	0.637144	0.7707265	0	-1.5623535e-16	-1.5719777e-16	0.88	100
0	0.62940514	0.7770591	0	-1.5623539e-16	-1.5719779e-16	0.89	100
0	0.6216035	0.783314	0	-1.5623535e-16	-1.5719779e-16	0.9	100
0	0.6137396	0.7894907	0	-1.5623536e-16	-1.5719779e-16	0.91	100
0	0.6058143	0.79558843	0	-1.5623536e-16	-1.5719779e-16	0.92	100
0	0.5978285	0.80160654	0	-1.5623532e-16	-1.5719779e-16	0.93	100
0	0.5897829	0.8075446	0	-1.5623533e-16	-1.5719779e-16	0.94	100
0	0.5816783	0.81340176	0	-1.5623535e-16	-1.5719783e-16	0.95	100
0	0.5735155	0.8191777	0	-1.5623532e-16	-1.5719781e-16	0.96	100
0	0.5652953	0.8248718	0	-1.5623532e-16	-1.5719781e-16	0.97	100
0	0.5570186	0.83048326	0	-1.562353e-16	-1.5719783e-16	0.98	100
0	0.54868627	0.8360118	0	-1.5623529e-16	-1.5719783e-16	0.99	100
0	0.54029906	0.8414567	0	-1.562353e-16	-1.5719784e-16	1	100
0	0.5318578	0.8468175	0	-1.5623528e-16	-1.5719784e-16	1.01	100
0	0.5233633	0.8520936	0	-1.5623527e-16	-1.5719785e-16	1.02	100
0	0.51481646	0.8572844	0	-1.5623527e-16	-1.5719785e-16	1.03	100
0	0.50621814	0.8623897	0	-1.5623525e-16	-1.5719785e-16	1.04	100
0	0.4975692	0.86740863	0	-1.5623525e-16	-1.5719788e-16	1.05	100
0	0.48887053	0.87234086	0	-1.5623523e-16	-1.5719788e-16	1.06	100
0	0.48012298	0.8771858	0	-1.5623523e-16	-1.5719788e-16	1.07	100
0	0.47132736	0.8819431	0	-1.5623521e-16	-1.571979e-16	1.08	100
0	0.46248463	0.8866122	0	-1.562352e-16	-1.571979e-16	1.09	100
0	0.45359564	0.8911927	0	-1.5623519e-16	-1.5719788e-16	1.1	100
0	0.4446612	0.89568394	0	-1.5623517e-16	-1.5719789e-16	1.11	100
0	0.43568242	0.9000858	0	-1.5623519e-16	-1.571979e-16	1.12	100
0	0.42665997	0.9043975	0	-1.5623517e-16	-1.5719795e-16	1.13	100
0	0.41759485	0.90861887	0	-1.5623515e-16	-1.5719795e-16	1.14	100
0	0.40848804	0.91274935	0	-1.5623515e-16	-1.5719795e-16	1.15	100
0	0.3993403	0.9167886	0	-1.5623516e-16	-1.5719797e-16	1.16	100
0	0.39015263	0.92073613	0	-1.5623513e-16	-1.5719797e-16	1.17	100
0	0.3809259	0.9245916	0	-1.5623513e-16	-1.5719797e-16	1.18	100
0	0.37166113	0.9283546	0	-1.5623512e-16	-1.5719799e-16	1.19	100
0	0.36235917	0.9320248	0	-1.5623511e-16	-1.57198e-16	1.2	100
0	0.35302094	0.9356017	0	-1.5623511e-16	-1.57198e-16	1.21	100
0	0.3436474	0.93908525	0	-1.5623507e-16	-1.5719799e-16	1.22	100
0	0.3342395	0.94247466	0	-1.5623508e-16	-1.5719801e-16	1.23	100
0	0.3247982	0.9457701	0	-1.5623506e-16	-1.5719801e-16	1.24	100
0	0.31532437	0.94897074	0	-1.5623506e-16	-1.5719803e-16	1.25	100
0	0.305819	0.95207655	0	-1.5623504e-16	-1.5719803e-16	1.26	100
0	0.296283	0.9550871	0	-1.5623503e-16	-1.5719803e-16	1.27	100
0	0.28671744	0.95800227	0	-1.5623502e-16	-1.5719807e-16	1.28	100
0	0.2771231	0.96082157	0	-1.56235e-16	-1.5719805e-16	1.29	100
0	0.2675011	0.96354485	0	-1.56235e-16	-1.5719807e-16	1.3	100
0	0.2578523	0.9661717	0	-1.56235e-16	-1.5719808e-16	1.31	100
0	0.24817777	0.9687019	0	-1.5623499e-16	-1.5719808e-16	1.32	100
0	0.23847836	0.9711353	0	-1.5623498e-16	-1.5719808e-16	1.33	100
0	0.2287551	0.9734715	0	-1.5623496e-16	-1.5719809e-16	1.34	100
0	0.21900894	0.97571045	0	-1.5623496e-16	-1.571981e-16	1.35	100
0	0.20924093	0.97785187	0	-1.5623496e-16	-1.5719812e-16	1.36	100
0	0.19945191	0.9798954	0	-1.5623495e-16	-1.571981e-16	1.37	100
0	0.189643	0.98184097	0	-1.5623494e-16	-1.571981e-16	1.38	100
0	0.17981508	0.98368824	0	-1.5623495e-16	-1.5719814e-16	1.39	100
0	0.16996919	0.9854373	0	-1.5623492e-16	-1.5719812e-16	1.4	100
0	0.16010629	0.9870878	0	-1.5623491e-16	-1.5719814e-16	1.41	100
0	0.15022737	0.9886395	0	-1.5623491e-16	-1.5719813e-16	1.42	100
