# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)	Volume (m^3)
0	0.9931168	1.5830114e-09	0	6.0885187e-19	-3.1223594e-19	0	1	100	1e-09	3.93e-23
0	0.70159656	0.701585	0	6.014076e-19	-3.1194746e-19	0.7853982	1	100	1e-09	3.93e-23
0	0.99339205	2.3921922e-09	0	6.037625e-19	-3.0469325e-19	0	1	99	1e-09	3.834e-23
0	0.70166636	0.70165646	0	5.948985e-19	-3.0435798e-19	0.7853982	1	99	1e-09	3.834e-23
0	0.99349827	7.251399e-09	0	6.009938e-19	-3.002749e-19	0	1	98	1e-09	3.778e-23
0	0.7017483	0.70173675	0	5.9223836e-19	-2.9994712e-19	0.7853982	1	98	1e-09	3.778e-23
0	0.9937114	-1.4156912e-10	0	5.951347e-19	-2.9286658e-19	0	1	97	1e-09	3.684e-23
0	0.70180833	0.7018014	0	5.85507e-19	-2.9251014e-19	0.7853982	1	97	1e-09	3.684e-23
0	0.9936326	1.0879166e-09	0	5.89381e-19	-2.8743805e-19	0	1	96	1e-09	3.616e-23
0	0.7020567	0.70204717	0	5.8346317e-19	-2.87212e-19	0.7853982	1	96	1e-09	3.616e-23
0	0.9940586	-4.2093677e-12	0	5.867279e-19	-2.8151738e-19	0	1	95	1e-09	3.54e-23
0	0.7019947	0.7019857	0	5.7654546e-19	-2.8115078e-19	0.7853982	1	95	1e-09	3.54e-23
0	0.9939776	5.509655e-09	0	5.8094807e-19	-2.7624625e-19	0	1	94	1e-09	3.474e-23
0	0.7022206	0.7022089	0	5.7423633e-19	-2.7599724e-19	0.7853982	1	94	1e-09	3.474e-23
0	0.99429953	1.775729e-09	0	5.76081e-19	-2.6933588e-19	0	1	93	1e-09	3.386e-23
0	0.7022406	0.7022315	0	5.6698754e-19	-2.690141e-19	0.7853982	1	93	1e-09	3.386e-23
0	0.9943267	2.1900326e-09	0	5.722505e-19	-2.652068e-19	0	1	92	1e-09	3.334e-23
0	0.7024233	0.702416	0	5.651893e-19	-2.6495205e-19	0.7853982	1	92	1e-09	3.334e-23
0	0.9946852	1.6903907e-09	0	5.672329e-19	-2.581407e-19	0	1	91	1e-09	3.244e-23
0	0.7023931	0.7023851	0	5.5689397e-19	-2.577885e-19	0.7853982	1	91	1e-09	3.244e-23
0	0.9945315	6.9527846e-09	0	5.6132233e-19	-2.5364527e-19	0	1	90	1e-09	3.188e-23
0	0.7026712	0.70266336	0	5.55547e-19	-2.534388e-19	0.7853982	1	90	1e-09	3.188e-23
0	0.99480903	3.7252903e-09	0	5.545766e-19	-2.4591682e-19	0	1	89	1e-09	3.09e-23
0	0.7027151	0.70270663	0	5.4713593e-19	-2.4566323e-19	0.7853982	1	89	1e-09	3.09e-23
0	0.99487764	5.4766414e-09	0	5.5157024e-19	-2.4243177e-19	0	1	88	1e-09	3.046e-23
0	0.70282924	0.7028215	0	5.449372e-19	-2.4220456e-19	0.7853982	1	88	1e-09	3.046e-23
0	0.9951667	4.3818065e-09	0	5.4576777e-19	-2.358147e-19	0	1	87	1e-09	2.962e-23
0	0.7028502	0.7028421	0	5.371632e-19	-2.355322e-19	0.7853982	1	87	1e-09	2.962e-23
0	0.995056	2.083289e-09	0	5.3970655e-19	-2.3117144e-19	0	1	86	1e-09	2.904e-23
0	0.7031033	0.7030948	0	5.3481616e-19	-2.3100327e-19	0.7853982	1	86	1e-09	2.904e-23
0	0.9954925	7.5768614e-10	0	5.360836e-19	-2.255388e-19	0	1	85	1e-09	2.832e-23
0	0.70303625	0.70302945	0	5.27208e-19	-2.252547e-19	0.7853982	1	85	1e-09	2.832e-23
0	0.9954408	-2.588351e-09	0	5.3014874e-19	-2.2074894e-19	0	1	84	1e-09	2.772e-23
0	0.70325893	0.70325154	0	5.2408773e-19	-2.2055207e-19	0.7853982	1	84	1e-09	2.772e-23
0	0.99567354	1.3606851e-09	0	5.239555e-19	-2.1458756e-19	0	1	83	1e-09	2.694e-23
0	0.70331424	0.7033089	0	5.1684793e-19	-2.1436326e-19	0.7853982	1	83	1e-09	2.694e-23
0	0.9956261	7.42238e-09	0	5.185505e-19	-2.1043552e-19	0	1	82	1e-09	2.642e-23
0	0.7035208	0.70351386	0	5.1398987e-19	-2.1028704e-19	0.7853982	1	82	1e-09	2.642e-23
0	0.99600446	2.087322e-09	0	5.1397596e-19	-2.0477853e-19	0	1	81	1e-09	2.57e-23
0	0.7034829	0.7034769	0	5.0634564e-19	-2.0454542e-19	0.7853982	1	81	1e-09	2.57e-23
0	0.9959043	-6.1396105e-10	0	5.0733913e-19	-2.0013694e-19	0	1	80	1e-09	2.512e-23
0	0.70369804	0.7036922	0	5.026678e-19	-1.9999038e-19	0.7853982	1	80	1e-09	2.512e-23
0	0.99614537	1.1760051e-09	0	5.0077845e-19	-1.9412878e-19	0	1	79	1e-09	2.436e-23
0	0.7037311	0.7037264	0	4.9478667e-19	-1.93949e-19	0.7853982	1	79	1e-09	2.436e-23
0	0.99623436	3.1080365e-09	0	4.9744316e-19	-1.909582e-19	0	1	78	1e-09	2.396e-23
0	0.7038406	0.70383525	0	4.919482e-19	-1.9079393e-19	0.7853982	1	78	1e-09	2.396e-23
0	0.99647343	4.4472457e-09	0	4.907901e-19	-1.8510491e-19	0	1	77	1e-09	2.322e-23
0	0.7038649	0.70385903	0	4.8393426e-19	-1.8490757e-19	0.7853982	1	77	1e-09	2.322e-23
0	0.9963829	2.4573155e-09	0	4.8493877e-19	-1.8126196e-19	0	1	76	1e-09	2.274e-23
0	0.7040942	0.7040895	0	4.8100056e-19	-1.8114433e-19	0.7853982	1	76	1e-09	2.274e-23
0	0.99671686	5.469511e-09	0	4.7903275e-19	-1.7558162e-19	0	1	75	1e-09	2.202e-23
