# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Field (T)
0	0.9999986	-1.4875292e-11	0	-5.391737e-16	-5.3999933e-16	0	25
0	0.9996976	0.024541117	0	-5.391738e-16	-5.3999933e-16	0.024543693	25
0	0.99879414	0.04906745	0	-5.3917374e-16	-5.3999933e-16	0.049087387	25
0	0.99728924	0.07356423	0	-5.3917374e-16	-5.3999933e-16	0.07363108	25
0	0.9951836	0.09801671	0	-5.3917374e-16	-5.3999933e-16	0.09817477	25
0	0.9924783	0.12241014	0	-5.391738e-16	-5.399994e-16	0.12271846	25
0	0.9891753	0.14672984	0	-5.391737e-16	-5.3999933e-16	0.14726216	25
0	0.9852765	0.17096117	0	-5.391737e-16	-5.3999933e-16	0.17180584	25
0	0.98078424	0.19508949	0	-5.391738e-16	-5.3999944e-16	0.19634955	25
0	0.97570103	0.21910037	0	-5.391737e-16	-5.3999933e-16	0.22089323	25
0	0.9700303	0.24297924	0	-5.391737e-16	-5.399994e-16	0.24543692	25
0	0.96377516	0.2667117	0	-5.391736e-16	-5.3999933e-16	0.2699806	25
0	0.9569394	0.29028362	0	-5.391737e-16	-5.3999944e-16	0.2945243	25
0	0.9495274	0.31368065	0	-5.391736e-16	-5.3999933e-16	0.319068	25
0	0.9415432	0.3368887	0	-5.391735e-16	-5.399993e-16	0.3436117	25
0	0.9329921	0.35989386	0	-5.3917363e-16	-5.3999933e-16	0.3681554	25
0	0.92387885	0.3826823	0	-5.3917363e-16	-5.3999944e-16	0.3926991	25
0	0.9142092	0.40524015	0	-5.391736e-16	-5.399994e-16	0.41724277	25
0	0.9039887	0.42755395	0	-5.3917363e-16	-5.399995e-16	0.44178647	25
0	0.8932238	0.44961014	0	-5.391736e-16	-5.3999933e-16	0.46633017	25
0	0.88192075	0.4713956	0	-5.3917353e-16	-5.3999944e-16	0.49087384	25
0	0.87008643	0.49289703	0	-5.391735e-16	-5.399994e-16	0.5154175	25
0	0.8577281	0.51410174	0	-5.391735e-16	-5.3999944e-16	0.5399612	25
0	0.84485304	0.5349966	0	-5.391736e-16	-5.3999954e-16	0.5645049	25
0	0.8314692	0.55556923	0	-5.3917353e-16	-5.3999954e-16	0.5890486	25
0	0.8175843	0.5758072	0	-5.3917353e-16	-5.3999954e-16	0.6135923	25
0	0.80320704	0.5956984	0	-5.3917353e-16	-5.3999954e-16	0.638136	25
0	0.7883459	0.61523074	0	-5.391735e-16	-5.3999954e-16	0.6626797	25
0	0.77300996	0.63439244	0	-5.3917353e-16	-5.3999954e-16	0.6872234	25
0	0.75720835	0.653172	0	-5.391735e-16	-5.3999954e-16	0.7117671	25
0	0.7409506	0.67155826	0	-5.391734e-16	-5.3999944e-16	0.7363108	25
0	0.7242465	0.6895399	0	-5.391734e-16	-5.3999954e-16	0.7608545	25
0	0.70710623	0.70710623	0	-5.3917353e-16	-5.3999954e-16	0.7853982	25
0	0.68953985	0.7242465	0	-5.391735e-16	-5.3999954e-16	0.8099418	25
0	0.67155826	0.74095064	0	-5.391736e-16	-5.3999954e-16	0.83448553	25
0	0.65317214	0.7572083	0	-5.3917353e-16	-5.3999954e-16	0.85902923	25
0	0.6343924	0.77300996	0	-5.391735e-16	-5.3999954e-16	0.88357294	25
0	0.61523074	0.788346	0	-5.391734e-16	-5.3999944e-16	0.90811664	25
0	0.5956984	0.80320704	0	-5.3917353e-16	-5.3999954e-16	0.93266034	25
0	0.5758072	0.81758434	0	-5.3917353e-16	-5.3999954e-16	0.957204	25
0	0.55556923	0.8314692	0	-5.391735e-16	-5.3999944e-16	0.9817477	25
0	0.5349966	0.84485316	0	-5.391736e-16	-5.399995e-16	1.0062914	25
0	0.5141017	0.8577281	0	-5.3917353e-16	-5.3999954e-16	1.030835	25
0	0.4928971	0.87008643	0	-5.3917353e-16	-5.3999944e-16	1.0553788	25
0	0.4713956	0.88192075	0	-5.3917353e-16	-5.399995e-16	1.0799224	25
0	0.4496102	0.89322376	0	-5.3917363e-16	-5.3999954e-16	1.1044662	25
0	0.42755395	0.9039887	0	-5.391736e-16	-5.3999933e-16	1.1290098	25
0	0.40524015	0.9142092	0	-5.391736e-16	-5.3999944e-16	1.1535536	25
0	0.3826823	0.92387897	0	-5.3917363e-16	-5.3999944e-16	1.1780972	25
0	0.35989386	0.9329921	0	-5.391736e-16	-5.399994e-16	1.2026409	25
0	0.3368887	0.94154334	0	-5.3917363e-16	-5.399994e-16	1.2271847	25
0	0.3136806	0.9495274	0	-5.391737e-16	-5.399994e-16	1.2517283	25
0	0.29028362	0.95693946	0	-5.3917363e-16	-5.3999933e-16	1.276272	25
0	0.26671174	0.96377516	0	-5.3917363e-16	-5.399994e-16	1.3008157	25
0	0.2429792	0.9700303	0	-5.391737e-16	-5.3999944e-16	1.3253593	25
0	0.21910034	0.97570115	0	-5.391736e-16	-5.3999933e-16	1.3499031	25
0	0.19508952	0.98078424	0	-5.3917363e-16	-5.3999933e-16	1.3744467	25
0	0.17096117	0.9852766	0	-5.391737e-16	-5.3999933e-16	1.3989905	25
0	0.14672986	0.9891753	0	-5.3917363e-16	-5.399993e-16	1.4235342	25
0	0.12241014	0.9924783	0	-5.3917374e-16	-5.3999933e-16	1.4480779	25
0	0.098016694	0.9951836	0	-5.391737e-16	-5.399993e-16	1.4726216	25
0	0.07356423	0.9972891	0	-5.391737e-16	-5.399993e-16	1.4971652	25
0	0.04906745	0.9987942	0	-5.3917374e-16	-5.399993e-16	1.521709	25
0	0.024541117	0.99969745	0	-5.391737e-16	-5.399993e-16	1.5462526	25
0	-2.6387474e-11	0.9999986	0	-5.391737e-16	-5.399993e-16	1.5707964	25
0	0.9997996	-3.8494666e-10	0	-3.293171e-17	-3.3743235e-17	0	1.5625
0	0.99949914	0.024517257	0	-3.2931705e-17	-3.3743248e-17	0.024543693	1.5625
0	0.9985981	0.04901993	0	-3.2931685e-17	-3.374327e-17	0.049087387	1.5625
0	0.99709654	0.07349374	0	-3.2931635e-17	-3.3743295e-17	0.07363108	1.5625
0	0.9949958	0.097923845	0	-3.2931582e-17	-3.374334e-17	0.09817477	1.5625
0	0.99229676	0.122296184	0	-3.2931516e-17	-3.3743407e-17	0.12271846	1.5625
0	0.9890012	0.14659552	0	-3.2931433e-17	-3.3743477e-17	0.14726216	1.5625
0	0.9851107	0.17080833	0	-3.2931337e-17	-3.374356e-17	0.17180584	1.5625
0	0.9806274	0.19491957	0	-3.2931225e-17	-3.3743645e-17	0.19634955	1.5625
0	0.9755543	0.2189153	0	-3.2931106e-17	-3.3743754e-17	0.22089323	1.5625
0	0.9698939	0.24278098	0	-3.2930983e-17	-3.374387e-17	0.24543692	1.5625
0	0.96364933	0.2665021	0	-3.293084e-17	-3.3743983e-17	0.2699806	1.5625
0	0.9568247	0.29006445	0	-3.29307e-17	-3.3744102e-17	0.2945243	1.5625
0	0.9494234	0.31345415	0	-3.293055e-17	-3.3744234e-17	0.319068	1.5625
0	0.94145	0.33665723	0	-3.2930394e-17	-3.3744367e-17	0.3436117	1.5625
0	0.9329089	0.35965952	0	-3.2930236e-17	-3.3744496e-17	0.3681554	1.5625
0	0.92380524	0.382447	0	-3.2930083e-17	-3.3744635e-17	0.3926991	1.5625
0	0.9141445	0.40500593	0	-3.2929925e-17	-3.3744767e-17	0.41724277	1.5625
0	0.9039319	0.4273226	0	-3.2929762e-17	-3.37449e-17	0.44178647	1.5625
0	0.8931738	0.4493835	0	-3.292962e-17	-3.3745028e-17	0.46633017	1.5625
0	0.88187647	0.47117534	0	-3.2929468e-17	-3.374515e-17	0.49087384	1.5625
0	0.8700465	0.4926848	0	-3.2929326e-17	-3.3745263e-17	0.5154175	1.5625
0	0.85769117	0.51389855	0	-3.292919e-17	-3.3745376e-17	0.5399612	1.5625
