# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Field (T)
0	0.9915526	-1.3795324e-08	0	8.181197e-19	-0	0	0
0	0.9915505	0.0004273444	0	8.181196e-19	-0	0.0061359233	0
0	0.9915505	0.00046261091	0	8.181196e-19	-0	0.012271847	0
0	0.9915505	0.0004544358	0	8.181196e-19	-0	0.01840777	0
0	0.9915505	0.0004261202	0	8.1811973e-19	-0	0.024543693	0
0	0.9915502	0.00088391604	0	8.1811957e-19	-0	0.030679615	0
0	0.9915505	0.00043074408	0	8.1811973e-19	-0	0.03681554	0
0	0.9915505	0.0004567338	0	8.181196e-19	-0	0.04295146	0
0	0.9915505	0.00042227108	0	8.1811973e-19	-0	0.049087387	0
0	0.9915505	0.0004261274	0	8.181196e-19	-0	0.05522331	0
0	0.9915505	0.00044648617	0	8.1811973e-19	-0	0.06135923	0
0	0.9915505	0.00039727756	0	8.181196e-19	-0	0.06749515	0
0	0.9915505	0.0004255136	0	8.1811973e-19	-0	0.07363108	0
0	0.9915505	0.0004547207	0	8.1811973e-19	-0	0.079767	0
0	0.9915505	0.0004009977	0	8.1811973e-19	-0	0.08590292	0
0	0.99155027	0.00086115435	0	8.181197e-19	-0	0.09203885	0
0	0.9915505	0.00044462184	0	8.181196e-19	-0	0.09817477	0
0	0.9915505	0.0004251088	0	8.1811973e-19	-0	0.10431069	0
0	0.9915505	0.00046219424	0	8.181196e-19	-0	0.11044662	0
0	0.9915505	0.0004227533	0	8.1811973e-19	-0	0.11658254	0
0	0.9915505	0.0004533999	0	8.181196e-19	-0	0.12271846	0
0	0.9915505	0.00044551425	0	8.1811973e-19	-0	0.12885438	0
0	0.9915505	0.00041979394	0	8.181196e-19	-0	0.1349903	0
0	0.99154985	0.001270825	0	8.181198e-19	-0	0.14112623	0
0	0.9915505	0.00045535935	0	8.181196e-19	-0	0.14726216	0
0	0.99155	0.0010974341	0	8.181198e-19	-0	0.15339808	0
0	0.9915505	0.00045100233	0	8.181196e-19	-0	0.159534	0
0	0.9915505	0.00041630695	0	8.181196e-19	-0	0.16566992	0
0	0.9915505	0.0004600415	0	8.181196e-19	-0	0.17180584	0
0	0.99155027	0.00075011636	0	8.181198e-19	-0	0.17794177	0
0	0.9915505	0.00045218307	0	8.1811973e-19	-0	0.1840777	0
0	0.9915505	0.00045229826	0	8.181196e-19	-0	0.19021362	0
0	0.9915505	0.00042505632	0	8.1811973e-19	-0	0.19634955	0
0	0.9915505	0.000423578	0	8.181196e-19	-0	0.20248546	0
0	0.9915505	0.00045130242	0	8.181196e-19	-0	0.20862138	0
0	0.9915505	0.00042858752	0	8.181196e-19	-0	0.21475731	0
0	0.9915505	0.00042017733	0	8.181196e-19	-0	0.22089323	0
0	0.9915505	0.00041568608	0	8.1811973e-19	-0	0.22702916	0
0	0.9915505	0.00039846945	0	8.181196e-19	-0	0.23316509	0
0	0.9915505	0.00041331194	0	8.181196e-19	-0	0.239301	0
0	0.9915505	0.00040201296	0	8.181196e-19	-0	0.24543692	0
0	0.9915505	0.00047049316	0	8.1811973e-19	-0	0.25157285	0
0	0.9915505	0.00042467416	0	8.1811973e-19	-0	0.25770876	0
0	0.99155027	0.00084032456	0	8.181196e-19	-0	0.2638447	0
0	0.9915505	0.00037970673	0	8.1811973e-19	-0	0.2699806	0
0	0.9915505	0.00045549773	0	8.181196e-19	-0	0.27611655	0
0	0.9915505	0.00045457997	0	8.181196e-19	-0	0.28225246	0
0	0.9915505	0.00045991992	0	8.181196e-19	-0	0.2883884	0
0	0.9915505	0.00036728143	0	8.1811973e-19	-0	0.2945243	0
0	0.9915505	0.00041816797	0	8.1811973e-19	-0	0.30066022	0
0	0.9915502	0.0008603161	0	8.1811957e-19	-0	0.30679616	0
0	0.9915505	0.00045334772	0	8.181196e-19	-0	0.31293207	0
0	0.9915505	0.00038833026	0	8.1811973e-19	-0	0.319068	0
0	0.9915505	0.0004611953	0	8.1811973e-19	-0	0.32520393	0
0	0.9915505	0.00042063152	0	8.181196e-19	-0	0.33133984	0
0	0.9915505	0.0004290176	0	8.1811973e-19	-0	0.33747578	0
0	0.9915505	0.00041893945	0	8.1811973e-19	-0	0.3436117	0
0	0.9915505	0.00042079334	0	8.1811973e-19	-0	0.34974763	0
0	0.9915505	0.0003929189	0	8.1811973e-19	-0	0.35588354	0
0	0.99154997	0.0011312742	0	8.181199e-19	-0	0.36201948	0
0	0.9915505	0.00041874647	0	8.1811973e-19	-0	0.3681554	0
0	0.9915505	0.00041803945	0	8.1811973e-19	-0	0.3742913	0
0	0.9915505	0.00042265985	0	8.181196e-19	-0	0.38042724	0
0	0.9915505	0.0004413308	0	8.1811973e-19	-0	0.38656315	0
0	0.9915505	0.00045574768	0	8.181196e-19	-0	0.3926991	0
0	0.9915505	0.00043854653	0	8.1811973e-19	-0	0.398835	0
0	0.9915505	0.0004532015	0	8.1811973e-19	-0	0.4049709	0
0	0.9915505	0.00042900466	0	8.181196e-19	-0	0.41110685	0
0	0.9915505	0.00044686583	0	8.181196e-19	-0	0.41724277	0
0	0.9915505	0.00042427462	0	8.181196e-19	-0	0.4233787	0
0	0.9915505	0.0003953225	0	8.1811973e-19	-0	0.42951462	0
0	0.9915505	0.0004249171	0	8.181196e-19	-0	0.43565056	0
0	0.9915505	0.00043313781	0	8.181196e-19	-0	0.44178647	0
0	0.9915505	0.0004510936	0	8.1811973e-19	-0	0.44792238	0
0	0.9915505	0.00045296206	0	8.181196e-19	-0	0.45405832	0
0	0.99155045	0.0006739444	0	8.181197e-19	-0	0.46019423	0
0	0.9915505	0.00043526344	0	8.181196e-19	-0	0.46633017	0
0	0.9915505	0.00046113777	0	8.181196e-19	-0	0.47246608	0
0	0.99155027	0.0008268227	0	8.181197e-19	-0	0.478602	0
0	0.9915505	0.000453059	0	8.181196e-19	-0	0.48473793	0
0	0.9915505	0.00042875475	0	8.181196e-19	-0	0.49087384	0
0	0.9915505	0.00041775184	0	8.181196e-19	-0	0.49700978	0
0	0.9915505	0.000430802	0	8.181196e-19	-0	0.5031457	0
0	0.9915505	0.0004515118	0	8.1811973e-19	-0	0.50928164	0
0	0.9915505	0.00046814966	0	8.1811973e-19	-0	0.5154175	0
0	0.9915505	0.00045159046	0	8.181196e-19	-0	0.52155346	0
0	0.9915505	0.00037218168	0	8.1811973e-19	-0	0.5276894	0
0	0.9915505	0.0004281349	0	8.181196e-19	-0	0.53382534	0
0	0.9915505	0.0004558103	0	8.181196e-19	-0	0.5399612	0
0	0.99155027	0.0007334602	0	8.181197e-19	-0	0.54609716	0
0	0.9915505	0.00041712957	0	8.1811973e-19	-0	0.5522331	0
0	0.9915505	0.00045147675	0	8.181196e-19	-0	0.558369	0
0	0.99155	0.0010909536	0	8.1811973e-19	-0	0.5645049	0
0	0.9915505	0.0004118528	0	8.1811973e-19	-0	0.57064086	0
0	0.9915505	0.00040712353	0	8.1811973e-19	-0	0.5767768	0
0	0.9915505	0.00038510328	0	8.181196e-19	-0	0.5829127	0
0	0.9915505	0.00043119784	0	8.1811973e-19	-0	0.5890486	0
0	0.9915502	0.00083525386	0	8.181196e-19	-0	0.59518456	0
0	0.9915505	0.00036443502	0	8.1811973e-19	-0	0.60132045	0
0	0.9915502	0.00087982457	0	8.1811957e-19	-0	0.6074564	0
0	0.9915505	0.00039777314	0	8.1811973e-19	-0	0.6135923	0
0	0.9915505	0.00042765375	0	8.1811973e-19	-0	0.61972827	0
0	0.9915505	0.0004614716	0	8.1811973e-19	-0	0.62586415	0
0	0.9915505	0.00037545784	0	8.181196e-19	-0	0.6320001	0
0	0.9915505	0.00042362683	0	8.181196e-19	-0	0.638136	0
0	0.9915505	0.00037576948	0	8.1811973e-19	-0	0.6442719	0
0	0.99155045	-0.00066810276	0	8.181197e-19	-0	0.65040785	0
0	0.9915505	0.00042645205	0	8.1811973e-19	-0	0.6565438	0
0	0.9915505	0.000421732	0	8.181196e-19	-0	0.6626797	0
0	0.9915505	0.00042016018	0	8.181196e-19	-0	0.6688156	0
0	0.9915505	0.00042952903	0	8.1811973e-19	-0	0.67495155	0
0	0.9915505	0.000412763	0	8.181196e-19	-0	0.6810875	0
0	0.9915505	0.00044233204	0	8.181196e-19	-0	0.6872234	0
0	0.9915505	0.0004631644	0	8.181196e-19	-0	0.6933593	0
0	0.9915505	-0.0004240439	0	8.181196e-19	-0	0.69949526	0
0	0.9915505	0.00042226055	0	8.1811973e-19	-0	0.70563114	0
0	0.9915505	0.00039792486	0	8.181196e-19	-0	0.7117671	0
0	0.9915505	0.0003986672	0	8.181196e-19	-0	0.717903	0
0	0.99155027	0.0008037867	0	8.181197e-19	-0	0.72403896	0
0	0.9915505	0.00042418262	0	8.1811973e-19	-0	0.73017484	0
0	0.9915505	0.0003725899	0	8.1811973e-19	-0	0.7363108	0
0	0.9915505	0.00037928595	0	8.1811973e-19	-0	0.7424467	0
0	0.9915505	0.0004249159	0	8.1811973e-19	-0	0.7485826	0
0	0.9915496	0.0014127658	0	8.1811993e-19	-0	0.75471854	0
0	0.9915505	0.00040207512	0	8.1811973e-19	-0	0.7608545	0
0	-0.00037874177	-0.9915505	0	8.181188e-19	-0	0.7669904	0
0	0.99155045	0.00066331873	0	8.181198e-19	-0	0.7731263	0
0	0.99155015	0.0009334469	0	8.1811973e-19	-0	0.77926224	0
0	0.7068727	0.70686644	0	8.735544e-19	-0	0.7853982	0
0	0.0004307937	0.9915505	0	8.1811885e-19	-0	0.79153407	0
0	0.0004186746	0.9915505	0	8.1811885e-19	-0	0.79767	0
0	-0.9915505	0.00045523437	0	8.181196e-19	-0	0.80380595	0
0	0.9915505	-0.00045033317	0	8.1811973e-19	-0	0.8099418	0
0	0.0004565785	0.9915505	0	8.1811885e-19	-0	0.81607777	0
0	0.0004487756	0.9915505	0	8.1811885e-19	-0	0.8222137	0
0	0.0004185468	0.9915505	0	8.1811885e-19	-0	0.82834965	0
0	0.00045653465	0.9915505	0	8.1811885e-19	-0	0.83448553	0
