# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Field (T)
0	1	-4.42767e-12	0	-2.5863215e-15	-2.5871999e-15	0	100
0	0.92387944	0.38268334	0	-2.5863213e-15	-2.5871999e-15	0.3926991	100
0	0.7071068	0.7071068	0	-2.5863217e-15	-2.5872003e-15	0.7853982	100
0	0.3826833	0.9238796	0	-2.5863215e-15	-2.5872e-15	1.1780972	100
0	-5.0396243e-13	1	0	-2.5863217e-15	-2.5871999e-15	1.5707964	100
0	-0.38268334	0.9238796	0	-2.5863215e-15	-2.5872e-15	1.9634954	100
0	-0.7071068	0.7071069	0	-2.5863215e-15	-2.5872e-15	2.3561945	100
0	-0.92387956	0.38268334	0	-2.5863213e-15	-2.5871997e-15	2.7488935	100
0	-1	4.049698e-12	0	-2.5863215e-15	-2.5871999e-15	3.1415927	100
0	-0.92387944	-0.38268334	0	-2.5863213e-15	-2.5872e-15	3.5342917	100
0	-0.70710677	-0.7071068	0	-2.5863217e-15	-2.5872e-15	3.9269907	100
0	-0.3826833	-0.9238796	0	-2.5863215e-15	-2.5872e-15	4.3196898	100
0	5.3995975e-14	-1	0	-2.5863215e-15	-2.5871999e-15	4.712389	100
0	0.3826833	-0.9238796	0	-2.5863215e-15	-2.5872e-15	5.105088	100
0	0.70710677	-0.7071068	0	-2.5863217e-15	-2.5872e-15	5.497787	100
0	0.9238796	-0.38268334	0	-2.5863215e-15	-2.5871997e-15	5.8904862	100
0	0.9999997	-1.18071195e-11	0	-1.2927218e-15	-1.2935995e-15	0	50
0	0.92387956	0.38268295	0	-1.2927215e-15	-1.2935997e-15	0.3926991	50
0	0.70710677	0.70710677	0	-1.2927216e-15	-1.2936002e-15	0.7853982	50
0	0.38268298	0.92387956	0	-1.2927216e-15	-1.2935998e-15	1.1780972	50
0	-5.255608e-12	0.9999997	0	-1.2927217e-15	-1.2935995e-15	1.5707964	50
0	-0.38268298	0.9238796	0	-1.2927216e-15	-1.2935998e-15	1.9634954	50
0	-0.70710677	0.70710677	0	-1.2927217e-15	-1.2936002e-15	2.3561945	50
0	-0.92387956	0.38268295	0	-1.2927215e-15	-1.2935997e-15	2.7488935	50
0	-0.9999997	3.4197452e-12	0	-1.2927218e-15	-1.2935996e-15	3.1415927	50
0	-0.92387944	-0.38268295	0	-1.2927215e-15	-1.2935997e-15	3.5342917	50
0	-0.70710677	-0.70710677	0	-1.2927217e-15	-1.2936e-15	3.9269907	50
0	-0.38268298	-0.9238796	0	-1.2927217e-15	-1.2935998e-15	4.3196898	50
0	8.171391e-12	-0.9999997	0	-1.2927216e-15	-1.2935995e-15	4.712389	50
0	0.38268298	-0.9238796	0	-1.2927216e-15	-1.2935998e-15	5.105088	50
0	0.70710677	-0.70710677	0	-1.2927217e-15	-1.2936002e-15	5.497787	50
0	0.92387956	-0.38268295	0	-1.2927215e-15	-1.2935996e-15	5.8904862	50
0	0.9999988	-5.1620153e-11	0	-6.4592207e-16	-6.4679923e-16	0	25
0	0.9238796	0.38268155	0	-6.4592186e-16	-6.4679955e-16	0.3926991	25
0	0.7071066	0.7071066	0	-6.4592144e-16	-6.4679976e-16	0.7853982	25
0	0.38268155	0.92387956	0	-6.4592186e-16	-6.467996e-16	1.1780972	25
0	-2.843788e-11	0.9999988	0	-6.4592207e-16	-6.4679923e-16	1.5707964	25
0	-0.38268155	0.92387944	0	-6.4592186e-16	-6.467996e-16	1.9634954	25
0	-0.7071066	0.7071066	0	-6.4592144e-16	-6.4679976e-16	2.3561945	25
0	-0.92387944	0.38268155	0	-6.4592186e-16	-6.4679955e-16	2.7488935	25
0	-0.99999887	4.938832e-11	0	-6.4592207e-16	-6.4679923e-16	3.1415927	25
0	-0.92387944	-0.38268155	0	-6.4592186e-16	-6.467996e-16	3.5342917	25
0	-0.7071066	-0.7071066	0	-6.4592144e-16	-6.4679976e-16	3.9269907	25
0	-0.38268155	-0.92387956	0	-6.459218e-16	-6.467996e-16	4.3196898	25
0	2.7429956e-11	-0.9999988	0	-6.4592207e-16	-6.4679923e-16	4.712389	25
0	0.38268155	-0.9238796	0	-6.4592186e-16	-6.467996e-16	5.105088	25
0	0.7071066	-0.7071066	0	-6.4592144e-16	-6.4679976e-16	5.497787	25
0	0.92387944	-0.38268155	0	-6.4592186e-16	-6.467996e-16	5.8904862	25
0	0.99999565	-7.631431e-12	0	-3.225228e-16	-3.2339858e-16	0	12.5
0	0.9238797	0.382676	0	-3.2252222e-16	-3.2339909e-16	0.3926991	12.5
0	0.7071061	0.70710605	0	-3.2252166e-16	-3.2339964e-16	0.7853982	12.5
0	0.382676	0.9238797	0	-3.225223e-16	-3.2339914e-16	1.1780972	12.5
0	-3.6861254e-11	0.99999565	0	-3.225228e-16	-3.2339858e-16	1.5707964	12.5
0	-0.382676	0.9238797	0	-3.225223e-16	-3.2339914e-16	1.9634954	12.5
0	-0.7071061	0.7071061	0	-3.225217e-16	-3.2339964e-16	2.3561945	12.5
0	-0.9238797	0.382676	0	-3.2252222e-16	-3.233991e-16	2.7488935	12.5
0	-0.99999565	1.4830895e-11	0	-3.225228e-16	-3.2339858e-16	3.1415927	12.5
0	-0.92387974	-0.382676	0	-3.2252222e-16	-3.233991e-16	3.5342917	12.5
0	-0.7071061	-0.70710605	0	-3.225217e-16	-3.2339964e-16	3.9269907	12.5
0	-0.382676	-0.9238797	0	-3.2252227e-16	-3.2339914e-16	4.3196898	12.5
0	3.729322e-11	-0.99999565	0	-3.225228e-16	-3.2339858e-16	4.712389	12.5
0	0.382676	-0.9238797	0	-3.2252227e-16	-3.2339916e-16	5.105088	12.5
0	0.7071061	-0.70710605	0	-3.2252166e-16	-3.2339967e-16	5.497787	12.5
0	0.92387974	-0.382676	0	-3.2252222e-16	-3.233991e-16	5.8904862	12.5
0	0.9999836	-5.09722e-11	0	-1.6082417e-16	-1.6169735e-16	0	6.25
0	0.9238808	0.38265464	0	-1.608231e-16	-1.6169842e-16	0.3926991	6.25
0	0.7071045	0.7071045	0	-1.6082199e-16	-1.6169945e-16	0.7853982	6.25
0	0.3826547	0.9238807	0	-1.608231e-16	-1.6169842e-16	1.1780972	6.25
0	-7.429846e-11	0.99998367	0	-1.6082419e-16	-1.6169737e-16	1.5707964	6.25
0	-0.3826547	0.9238808	0	-1.6082309e-16	-1.6169842e-16	1.9634954	6.25
0	-0.7071044	0.7071044	0	-1.6082199e-16	-1.6169945e-16	2.3561945	6.25
0	-0.9238808	0.38265464	0	-1.608231e-16	-1.6169843e-16	2.7488935	6.25
0	-0.9999836	5.4715923e-11	0	-1.6082419e-16	-1.6169735e-16	3.1415927	6.25
0	-0.92388076	-0.38265464	0	-1.608231e-16	-1.6169843e-16	3.5342917	6.25
0	-0.7071044	-0.7071045	0	-1.6082199e-16	-1.6169945e-16	3.9269907	6.25
0	-0.3826547	-0.9238807	0	-1.608231e-16	-1.616984e-16	4.3196898	6.25
0	5.4139963e-11	-0.99998367	0	-1.6082419e-16	-1.6169737e-16	4.712389	6.25
0	0.3826547	-0.9238807	0	-1.608231e-16	-1.616984e-16	5.105088	6.25
0	0.7071044	-0.7071044	0	-1.6082199e-16	-1.6169946e-16	5.497787	6.25
0	0.9238808	-0.38265464	0	-1.608231e-16	-1.6169843e-16	5.8904862	6.25
0	0.9999421	-2.0964837e-10	0	-7.9976666e-17	-8.0845324e-17	0	3.125
0	0.9238876	0.38257477	0	-7.9974574e-17	-8.0847257e-17	0.3926991	3.125
0	0.70709956	0.7070996	0	-7.9972464e-17	-8.084918e-17	0.7853982	3.125
0	0.38257468	0.92388767	0	-7.997456e-17	-8.084725e-17	1.1780972	3.125
0	-2.079205e-10	0.9999422	0	-7.9976666e-17	-8.0845324e-17	1.5707964	3.125
0	-0.38257486	0.92388767	0	-7.997457e-17	-8.084725e-17	1.9634954	3.125
0	-0.70709956	0.7070996	0	-7.9972464e-17	-8.084918e-17	2.3561945	3.125
0	-0.92388767	0.3825747	0	-7.997459e-17	-8.0847257e-17	2.7488935	3.125
0	-0.9999421	1.8718604e-10	0	-7.9976666e-17	-8.084532e-17	3.1415927	3.125
0	-0.9238876	-0.38257486	0	-7.997458e-17	-8.0847257e-17	3.5342917	3.125
0	-0.70709956	-0.7070996	0	-7.9972464e-17	-8.0849176e-17	3.9269907	3.125
0	-0.38257468	-0.92388767	0	-7.997457e-17	-8.0847243e-17	4.3196898	3.125
0	2.8625066e-10	-0.9999421	0	-7.9976666e-17	-8.0845324e-17	4.712389	3.125
0	0.38257477	-0.92388767	0	-7.997457e-17	-8.084725e-17	5.105088	3.125
0	0.70709956	-0.7070996	0	-7.9972464e-17	-8.084918e-17	5.497787	3.125
0	0.92388767	-0.3825747	0	-7.997458e-17	-8.0847257e-17	5.8904862	3.125
0	0.99980855	-3.5133382e-10	0	-3.9555913e-17	-4.0417262e-17	0	1.5625
0	0.9239246	0.38228709	0	-3.9552028e-17	-4.042055e-17	0.3926991	1.5625
0	0.70708793	0.707088	0	-3.954812e-17	-4.042393e-17	0.7853982	1.5625
0	0.38228756	0.9239245	0	-3.9552035e-17	-4.0420558e-17	1.1780972	1.5625
0	-3.743721e-10	0.99980855	0	-3.9555913e-17	-4.0417262e-17	1.5707964	1.5625
0	-0.38228709	0.9239247	0	-3.9552035e-17	-4.0420558e-17	1.9634954	1.5625
0	-0.707088	0.707088	0	-3.954812e-17	-4.0423926e-17	2.3561945	1.5625
0	-0.92392445	0.38228765	0	-3.9552035e-17	-4.0420558e-17	2.7488935	1.5625
0	-0.99980855	3.432704e-10	0	-3.9555913e-17	-4.0417266e-17	3.1415927	1.5625
