# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Field (T)
0	0.9999988	-1.6702755e-11	0	-6.4592207e-16	-6.4679923e-16	0	25
0	0.9996976	0.024541028	0	-6.45922e-16	-6.467993e-16	0.024543693	25
0	0.9987944	0.049067274	0	-6.459222e-16	-6.4679933e-16	0.049087387	25
0	0.9972894	0.07356397	0	-6.4592207e-16	-6.467993e-16	0.07363108	25
0	0.99518365	0.09801637	0	-6.459221e-16	-6.4679933e-16	0.09817477	25
0	0.9924786	0.12240973	0	-6.45922e-16	-6.467992e-16	0.12271846	25
0	0.9891757	0.14672935	0	-6.4592207e-16	-6.4679933e-16	0.14726216	25
0	0.98527676	0.17096062	0	-6.4592207e-16	-6.4679933e-16	0.17180584	25
0	0.98078454	0.1950889	0	-6.459219e-16	-6.467993e-16	0.19634955	25
0	0.97570145	0.21909972	0	-6.459219e-16	-6.4679933e-16	0.22089323	25
0	0.97003067	0.24297853	0	-6.4592207e-16	-6.467995e-16	0.24543692	25
0	0.96377563	0.26671103	0	-6.4592207e-16	-6.4679955e-16	0.2699806	25
0	0.9569399	0.29028288	0	-6.459219e-16	-6.4679944e-16	0.2945243	25
0	0.949528	0.31367987	0	-6.459218e-16	-6.467994e-16	0.319068	25
0	0.94154394	0.336888	0	-6.459219e-16	-6.467995e-16	0.3436117	25
0	0.9329927	0.3598931	0	-6.459218e-16	-6.467995e-16	0.3681554	25
0	0.92387956	0.38268155	0	-6.459218e-16	-6.467996e-16	0.3926991	25
0	0.91420984	0.40523946	0	-6.459218e-16	-6.467996e-16	0.41724277	25
0	0.9039895	0.42755327	0	-6.459217e-16	-6.4679955e-16	0.44178647	25
0	0.89322466	0.44960958	0	-6.4592186e-16	-6.467997e-16	0.46633017	25
0	0.88192147	0.47139508	0	-6.459217e-16	-6.467996e-16	0.49087384	25
0	0.8700874	0.4928966	0	-6.459217e-16	-6.467997e-16	0.5154175	25
0	0.85772896	0.51410127	0	-6.459216e-16	-6.4679965e-16	0.5399612	25
0	0.8448538	0.5349963	0	-6.4592165e-16	-6.4679976e-16	0.5645049	25
0	0.83146995	0.555569	0	-6.4592165e-16	-6.4679976e-16	0.5890486	25
0	0.8175851	0.57580703	0	-6.4592165e-16	-6.467998e-16	0.6135923	25
0	0.8032079	0.5956983	0	-6.459216e-16	-6.467998e-16	0.638136	25
0	0.78834677	0.61523074	0	-6.459216e-16	-6.467998e-16	0.6626797	25
0	0.7730107	0.63439256	0	-6.459216e-16	-6.4679986e-16	0.6872234	25
0	0.757209	0.65317225	0	-6.459216e-16	-6.4679986e-16	0.7117671	25
0	0.74095124	0.6715586	0	-6.459216e-16	-6.467999e-16	0.7363108	25
0	0.72424704	0.68954027	0	-6.459216e-16	-6.467998e-16	0.7608545	25
0	0.7071066	0.7071066	0	-6.4592144e-16	-6.4679976e-16	0.7853982	25
0	0.68954027	0.7242469	0	-6.4592154e-16	-6.4679976e-16	0.8099418	25
0	0.67155856	0.7409511	0	-6.4592154e-16	-6.4679986e-16	0.83448553	25
0	0.6531724	0.757209	0	-6.459216e-16	-6.4679976e-16	0.85902923	25
0	0.6343926	0.7730107	0	-6.459216e-16	-6.467999e-16	0.88357294	25
0	0.61523074	0.7883466	0	-6.459216e-16	-6.467998e-16	0.90811664	25
0	0.5956983	0.8032079	0	-6.4592165e-16	-6.467998e-16	0.93266034	25
0	0.57580703	0.8175851	0	-6.4592165e-16	-6.467998e-16	0.957204	25
0	0.555569	0.83146995	0	-6.4592165e-16	-6.467998e-16	0.9817477	25
0	0.5349963	0.8448538	0	-6.459217e-16	-6.467998e-16	1.0062914	25
0	0.51410127	0.85772896	0	-6.4592165e-16	-6.467997e-16	1.030835	25
0	0.4928966	0.87008727	0	-6.459217e-16	-6.467997e-16	1.0553788	25
0	0.47139508	0.8819215	0	-6.4592165e-16	-6.467996e-16	1.0799224	25
0	0.44960958	0.89322454	0	-6.4592176e-16	-6.4679965e-16	1.1044662	25
0	0.4275533	0.90398955	0	-6.459217e-16	-6.467996e-16	1.1290098	25
0	0.40523943	0.91420984	0	-6.459218e-16	-6.4679965e-16	1.1535536	25
0	0.38268155	0.92387956	0	-6.4592186e-16	-6.467996e-16	1.1780972	25
0	0.35989305	0.9329927	0	-6.459218e-16	-6.4679944e-16	1.2026409	25
0	0.33688796	0.94154394	0	-6.459218e-16	-6.4679944e-16	1.2271847	25
0	0.31367987	0.949528	0	-6.459219e-16	-6.467995e-16	1.2517283	25
0	0.29028288	0.95694005	0	-6.459219e-16	-6.467994e-16	1.276272	25
0	0.26671103	0.96377563	0	-6.45922e-16	-6.467995e-16	1.3008157	25
0	0.2429785	0.9700307	0	-6.4592197e-16	-6.467995e-16	1.3253593	25
0	0.2190997	0.97570145	0	-6.4592197e-16	-6.4679933e-16	1.3499031	25
0	0.1950889	0.98078454	0	-6.45922e-16	-6.4679933e-16	1.3744467	25
0	0.17096062	0.98527676	0	-6.4592207e-16	-6.4679933e-16	1.3989905	25
0	0.14672935	0.9891756	0	-6.45922e-16	-6.467993e-16	1.4235342	25
0	0.12240972	0.99247855	0	-6.459221e-16	-6.4679933e-16	1.4480779	25
0	0.09801637	0.9951837	0	-6.4592207e-16	-6.467993e-16	1.4726216	25
0	0.07356398	0.9972894	0	-6.4592207e-16	-6.467993e-16	1.4971652	25
0	0.049067277	0.99879426	0	-6.4592207e-16	-6.467993e-16	1.521709	25
0	0.024541028	0.99969774	0	-6.4592207e-16	-6.4679923e-16	1.5462526	25
0	-3.045373e-11	0.9999988	0	-6.4592207e-16	-6.4679923e-16	1.5707964	25
0	0.99980855	-3.3059935e-10	0	-3.9555913e-17	-4.0417262e-17	0	1.5625
0	0.9995087	0.024499116	0	-3.9555896e-17	-4.0417276e-17	0.024543693	1.5625
0	0.99860936	0.048984002	0	-3.9555843e-17	-4.041733e-17	0.049087387	1.5625
0	0.99711114	0.073440306	0	-3.9555747e-17	-4.04174e-17	0.07363108	1.5625
0	0.9950146	0.09785374	0	-3.9555618e-17	-4.041751e-17	0.09817477	1.5625
0	0.99232113	0.12220969	0	-3.955546e-17	-4.041765e-17	0.12271846	1.5625
0	0.98903173	0.146495	0	-3.9555264e-17	-4.0417815e-17	0.14726216	1.5625
0	0.98514855	0.17069371	0	-3.9555036e-17	-4.0418003e-17	0.17180584	1.5625
0	0.98067343	0.19479264	0	-3.955478e-17	-4.041822e-17	0.19634955	1.5625
0	0.9756089	0.21877797	0	-3.9554493e-17	-4.0418453e-17	0.22089323	1.5625
0	0.96995777	0.24263382	0	-3.955419e-17	-4.0418715e-17	0.24543692	1.5625
0	0.96372247	0.26634908	0	-3.9553868e-17	-4.0418996e-17	0.2699806	1.5625
0	0.95690775	0.28990528	0	-3.955352e-17	-4.0419284e-17	0.2945243	1.5625
