# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Field (T)
0	1	2.5558095e-12	0	-2.5863215e-15	-2.5871999e-15	0	100
0	0.9999811	0.0061358814	0	-2.5863217e-15	-2.5872e-15	0.0061359233	100
0	0.99992466	0.012271531	0	-2.5863215e-15	-2.5871999e-15	0.012271847	100
0	0.99983054	0.018406723	0	-2.586321e-15	-2.5871997e-15	0.01840777	100
0	0.99969876	0.024541214	0	-2.5863217e-15	-2.5871999e-15	0.024543693	100
0	0.99952936	0.030674787	0	-2.586322e-15	-2.5872003e-15	0.030679615	100
0	0.9993224	0.036807206	0	-2.5863217e-15	-2.5871999e-15	0.03681554	100
0	0.99907774	0.042938232	0	-2.5863215e-15	-2.5871999e-15	0.04295146	100
0	0.9987954	0.04906765	0	-2.5863213e-15	-2.5871997e-15	0.049087387	100
0	0.9984755	0.055195224	0	-2.5863217e-15	-2.5872e-15	0.05522331	100
0	0.998118	0.0613207	0	-2.5863215e-15	-2.5872e-15	0.06135923	100
0	0.99772304	0.06744389	0	-2.5863217e-15	-2.5872e-15	0.06749515	100
0	0.99729055	0.07356452	0	-2.5863215e-15	-2.5871999e-15	0.07363108	100
0	0.9968202	0.079682395	0	-2.5863217e-15	-2.5871999e-15	0.079767	100
0	0.9963126	0.08579727	0	-2.5863217e-15	-2.5872e-15	0.08590292	100
0	0.9957673	0.091908924	0	-2.5863217e-15	-2.5872e-15	0.09203885	100
0	0.99518466	0.09801708	0	-2.5863217e-15	-2.5872e-15	0.09817477	100
0	0.9945646	0.10412159	0	-2.5863215e-15	-2.5871999e-15	0.10431069	100
0	0.993907	0.11022217	0	-2.5863215e-15	-2.5871997e-15	0.11044662	100
0	0.993212	0.11631857	0	-2.586322e-15	-2.5872e-15	0.11658254	100
0	0.9924795	0.12241062	0	-2.5863221e-15	-2.5872003e-15	0.12271846	100
0	0.99170977	0.12849806	0	-2.586321e-15	-2.5871995e-15	0.12885438	100
0	0.9909026	0.13458066	0	-2.5863215e-15	-2.5871997e-15	0.1349903	100
0	0.9900582	0.14065816	0	-2.5863213e-15	-2.5871997e-15	0.14112623	100
0	0.9891765	0.14673041	0	-2.5863221e-15	-2.5872003e-15	0.14726216	100
0	0.98825765	0.15279713	0	-2.5863217e-15	-2.5872003e-15	0.15339808	100
0	0.98730147	0.15885808	0	-2.5863217e-15	-2.5872e-15	0.159534	100
0	0.98630804	0.16491304	0	-2.586321e-15	-2.5871995e-15	0.16566992	100
0	0.9852776	0.17096183	0	-2.5863213e-15	-2.5871997e-15	0.17180584	100
0	0.9842101	0.17700414	0	-2.5863221e-15	-2.5872003e-15	0.17794177	100
0	0.98310554	0.18303983	0	-2.5863221e-15	-2.5872003e-15	0.1840777	100
0	0.9819639	0.18906857	0	-2.5863213e-15	-2.5871997e-15	0.19021362	100
0	0.9807853	0.19509022	0	-2.5863213e-15	-2.5871995e-15	0.19634955	100
0	0.9795698	0.20110454	0	-2.586321e-15	-2.5871997e-15	0.20248546	100
0	0.9783174	0.20711131	0	-2.5863217e-15	-2.5871999e-15	0.20862138	100
0	0.97702813	0.21311021	0	-2.5863213e-15	-2.5871997e-15	0.21475731	100
0	0.9757021	0.21910115	0	-2.5863217e-15	-2.5872e-15	0.22089323	100
0	0.9743394	0.22508384	0	-2.5863215e-15	-2.5871999e-15	0.22702916	100
0	0.97293985	0.23105802	0	-2.5863217e-15	-2.5872e-15	0.23316509	100
0	0.9715038	0.2370235	0	-2.5863217e-15	-2.5872e-15	0.239301	100
0	0.97003126	0.2429801	0	-2.5863217e-15	-2.5872003e-15	0.24543692	100
0	0.9685221	0.24892752	0	-2.5863217e-15	-2.5872e-15	0.25157285	100
0	0.96697646	0.25486556	0	-2.5863213e-15	-2.5871997e-15	0.25770876	100
0	0.96539456	0.26079404	0	-2.5863215e-15	-2.5871999e-15	0.2638447	100
0	0.963776	0.26671264	0	-2.586321e-15	-2.5871997e-15	0.2699806	100
0	0.96212137	0.27262127	0	-2.5863213e-15	-2.5871997e-15	0.27611655	100
0	0.96043056	0.27851957	0	-2.5863217e-15	-2.5872e-15	0.28225246	100
0	0.9587034	0.28440747	0	-2.5863213e-15	-2.5871997e-15	0.2883884	100
0	0.9569403	0.29028457	0	-2.5863213e-15	-2.5871997e-15	0.2945243	100
0	0.95514125	0.2961508	0	-2.5863213e-15	-2.5871997e-15	0.30066022	100
0	0.953306	0.30200583	0	-2.5863217e-15	-2.5872e-15	0.30679616	100
0	0.95143497	0.30784956	0	-2.586321e-15	-2.5871997e-15	0.31293207	100
0	0.9495282	0.31368163	0	-2.5863217e-15	-2.5872e-15	0.319068	100
0	0.94758564	0.31950194	0	-2.5863215e-15	-2.5871999e-15	0.32520393	100
0	0.9456073	0.32531017	0	-2.5863215e-15	-2.5871997e-15	0.33133984	100
0	0.9435934	0.3311062	0	-2.5863217e-15	-2.5872e-15	0.33747578	100
0	0.9415441	0.33688974	0	-2.5863215e-15	-2.5871999e-15	0.3436117	100
0	0.93945926	0.3426606	0	-2.5863217e-15	-2.5872e-15	0.34974763	100
0	0.93733907	0.34841856	0	-2.5863213e-15	-2.5871999e-15	0.35588354	100
0	0.93518347	0.3541634	0	-2.5863215e-15	-2.5871999e-15	0.36201948	100
0	0.9329928	0.3598949	0	-2.5863217e-15	-2.5872e-15	0.3681554	100
0	0.93076706	0.3656129	0	-2.586322e-15	-2.5872003e-15	0.3742913	100
0	0.92850614	0.37131706	0	-2.5863215e-15	-2.5871999e-15	0.38042724	100
0	0.9262103	0.37700734	0	-2.5863217e-15	-2.5872003e-15	0.38656315	100
0	0.9238796	0.38268334	0	-2.5863213e-15	-2.5872e-15	0.3926991	100
0	0.92151415	0.3883449	0	-2.5863215e-15	-2.5871999e-15	0.398835	100
0	0.9191138	0.39399195	0	-2.5863215e-15	-2.5871997e-15	0.4049709	100
0	0.91667914	0.39962408	0	-2.5863215e-15	-2.5871999e-15	0.41110685	100
0	0.9142098	0.4052412	0	-2.586322e-15	-2.5872003e-15	0.41724277	100
0	0.91170603	0.4108431	0	-2.5863215e-15	-2.5872e-15	0.4233787	100
0	0.90916806	0.41642943	0	-2.5863215e-15	-2.5871999e-15	0.42951462	100
0	0.90659577	0.42200017	0	-2.5863215e-15	-2.5872e-15	0.43565056	100
0	0.9039893	0.427555	0	-2.5863213e-15	-2.5871995e-15	0.44178647	100
0	0.9013488	0.4330937	0	-2.5863213e-15	-2.5871997e-15	0.44792238	100
0	0.8986745	0.43861616	0	-2.5863215e-15	-2.5871999e-15	0.45405832	100
0	0.8959663	0.44412208	0	-2.5863215e-15	-2.5871999e-15	0.46019423	100
0	0.89322436	0.4496112	0	-2.5863215e-15	-2.5872e-15	0.46633017	100
0	0.89044875	0.4550835	0	-2.5863215e-15	-2.5871997e-15	0.47246608	100
0	0.8876396	0.4605386	0	-2.5863217e-15	-2.5872003e-15	0.478602	100
0	0.88479716	0.4659764	0	-2.5863215e-15	-2.5872003e-15	0.48473793	100
0	0.88192123	0.47139665	0	-2.5863213e-15	-2.5871997e-15	0.49087384	100
0	0.8790122	0.47679913	0	-2.5863213e-15	-2.5871999e-15	0.49700978	100
0	0.8760702	0.48218367	0	-2.5863213e-15	-2.5872e-15	0.5031457	100
0	0.87309504	0.48755005	0	-2.586322e-15	-2.5872003e-15	0.50928164	100
0	0.8700871	0.49289808	0	-2.5863215e-15	-2.5872003e-15	0.5154175	100
0	0.86704636	0.4982276	0	-2.5863213e-15	-2.5871999e-15	0.52155346	100
0	0.86397284	0.5035383	0	-2.5863215e-15	-2.5871999e-15	0.5276894	100
0	0.86086684	0.5088301	0	-2.5863217e-15	-2.5872e-15	0.53382534	100
0	0.85772866	0.5141027	0	-2.5863215e-15	-2.5872003e-15	0.5399612	100
0	0.8545581	0.51935595	0	-2.5863215e-15	-2.5871999e-15	0.54609716	100
0	0.8513554	0.5245896	0	-2.5863215e-15	-2.5872e-15	0.5522331	100
