# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Field (T)
0	1	-3.6357289e-12	0	-2.5863215e-15	-2.5871999e-15	0	100
0	0.9950041	0.09983337	0	-2.5863215e-15	-2.5871997e-15	0.1	100
0	0.9800666	0.19866924	0	-2.586322e-15	-2.5872007e-15	0.2	100
0	0.95533645	0.29552013	0	-2.5863215e-15	-2.5871999e-15	0.3	100
0	0.92106104	0.38941818	0	-2.5863213e-15	-2.5871997e-15	0.4	100
0	0.87758255	0.4794255	0	-2.5863217e-15	-2.5872e-15	0.5	100
0	0.8253357	0.56464237	0	-2.586322e-15	-2.5872003e-15	0.6	100
0	0.7648422	0.64421767	0	-2.5863217e-15	-2.5872003e-15	0.7	100
0	0.6967068	0.71735615	0	-2.5863217e-15	-2.5872003e-15	0.8	100
0	0.62161	0.7833269	0	-2.5863213e-15	-2.5872e-15	0.9	100
0	0.5403022	0.8414711	0	-2.5863213e-15	-2.5871999e-15	1	100
0	0.453596	0.89120734	0	-2.5863213e-15	-2.5872e-15	1.1	100
0	0.36235765	0.93203914	0	-2.5863215e-15	-2.5871999e-15	1.2	100
0	0.26749873	0.9635582	0	-2.5863217e-15	-2.5872e-15	1.3	100
0	0.16996706	0.98544973	0	-2.5863215e-15	-2.5871999e-15	1.4	100
0	0.07073717	0.9974949	0	-2.5863215e-15	-2.5871997e-15	1.5	100
0	-0.029199507	0.99957365	0	-2.5863215e-15	-2.5871997e-15	1.6	100
0	-0.12884443	0.99166477	0	-2.5863215e-15	-2.5871997e-15	1.7	100
0	-0.227202	0.9738477	0	-2.5863217e-15	-2.5872e-15	1.8	100
0	-0.32328945	0.9463001	0	-2.5863217e-15	-2.5872e-15	1.9	100
0	-0.41614676	0.9092974	0	-2.586322e-15	-2.5872003e-15	2	100
0	-0.50484604	0.86320937	0	-2.5863215e-15	-2.5872e-15	2.1	100
0	-0.58850104	0.8084964	0	-2.5863215e-15	-2.5872e-15	2.2	100
0	-0.6662761	0.74570525	0	-2.586321e-15	-2.5871997e-15	2.3	100
0	-0.73739386	0.6754632	0	-2.5863217e-15	-2.5872e-15	2.4	100
0	-0.80114377	0.59847206	0	-2.5863217e-15	-2.5872003e-15	2.5	100
0	-0.8568888	0.5155013	0	-2.5863217e-15	-2.5872003e-15	2.6	100
0	-0.90407217	0.4273798	0	-2.5863215e-15	-2.5872e-15	2.7	100
0	-0.9422223	0.33498803	0	-2.5863217e-15	-2.5872003e-15	2.8	100
0	-0.9709581	0.23924923	0	-2.5863213e-15	-2.5871997e-15	2.9	100
0	-0.9899925	0.14111994	0	-2.5863217e-15	-2.5871999e-15	3	100
0	-0.9991351	0.041580644	0	-2.586322e-15	-2.5872003e-15	3.1	100
0	-0.9982948	-0.058374114	0	-2.5863213e-15	-2.5871997e-15	3.2	100
0	-0.9874798	-0.15774563	0	-2.5863215e-15	-2.5871999e-15	3.3	100
0	-0.9667982	-0.25554103	0	-2.5863215e-15	-2.5871997e-15	3.4	100
0	-0.9364567	-0.35078317	0	-2.5863215e-15	-2.5871999e-15	3.5	100
0	-0.89675844	-0.44252035	0	-2.5863215e-15	-2.5872e-15	3.6	100
0	-0.8481001	-0.52983606	0	-2.586322e-15	-2.5872003e-15	3.7	100
0	-0.79096776	-0.61185783	0	-2.5863215e-15	-2.5872e-15	3.8	100
