# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	E_custom (J)	Angle_bias (rad)	Field_bias (T)	Field_ext (T)	Angle_ext (rad)
0	0.99545085	-4.3772737e-09	0	8.22413e-19	-0	0	0	0.1	0	0.7853982
0	0.995211	0.022071669	0	8.2249494e-19	-0	0	0.024543693	0.1	0	0.7853982
0	0.9944957	0.044100393	0	8.2274584e-19	-0	0	0.049087387	0.1	0	0.7853982
0	0.9933023	0.06613571	0	8.231633e-19	-0	0	0.07363108	0.1	0	0.7853982
0	0.99162954	0.08817159	0	8.237462e-19	-0	0	0.09817477	0.1	0	0.7853982
0	0.9894748	0.11021062	0	8.244933e-19	-0	0	0.12271846	0.1	0	0.7853982
0	0.986832	0.13227266	0	8.25404e-19	-0	0	0.14726216	0.1	0	0.7853982
0	0.9837012	0.15432398	0	8.2647436e-19	-0	0	0.17180584	0.1	0	0.7853982
0	0.9800708	0.17640787	0	8.2770344e-19	-0	0	0.19634955	0.1	0	0.7853982
0	0.97593766	0.19850212	0	8.290872e-19	-0	0	0.22089323	0.1	0	0.7853982
0	0.97129846	0.22059098	0	8.3062065e-19	-0	0	0.24543692	0.1	0	0.7853982
0	0.966135	0.24271749	0	8.3230003e-19	-0	0	0.2699806	0.1	0	0.7853982
0	0.96043867	0.26487657	0	8.341215e-19	-0	0	0.2945243	0.1	0	0.7853982
0	0.9541958	0.2870721	0	8.3607704e-19	-0	0	0.319068	0.1	0	0.7853982
0	0.9474178	0.30922532	0	8.3815063e-19	-0	0	0.3436117	0.1	0	0.7853982
0	0.9400584	0.3314465	0	8.4034343e-19	-0	0	0.3681554	0.1	0	0.7853982
0	0.93211114	0.35370034	0	8.426405e-19	-0	0	0.3926991	0.1	0	0.7853982
0	0.92355245	0.37600064	0	8.450294e-19	-0	0	0.41724277	0.1	0	0.7853982
0	0.91436505	0.3983374	0	8.4749327e-19	-0	0	0.44178647	0.1	0	0.7853982
0	0.90452003	0.42072302	0	8.5001586e-19	-0	0	0.46633017	0.1	0	0.7853982
0	0.89397496	0.44318956	0	8.525799e-19	-0	0	0.49087384	0.1	0	0.7853982
0	0.8827332	0.465665	0	8.5515214e-19	-0	0	0.5154175	0.1	0	0.7853982
0	0.87079865	0.48808658	0	8.5769727e-19	-0	0	0.5399612	0.1	0	0.7853982
0	0.8580177	0.5106714	0	8.602117e-19	-0	0	0.5645049	0.1	0	0.7853982
0	0.8444868	0.5331714	0	8.6263026e-19	-0	0	0.5890486	0.1	0	0.7853982
0	0.830145	0.5556281	0	8.6492093e-19	-0	0	0.6135923	0.1	0	0.7853982
0	0.8150326	0.57791895	0	8.670315e-19	-0	0	0.638136	0.1	0	0.7853982
0	0.7990168	0.6001764	0	8.689348e-19	-0	0	0.6626797	0.1	0	0.7853982
0	0.78215575	0.62225014	0	8.705744e-19	-0	0	0.6872234	0.1	0	0.7853982
0	0.7644683	0.6440623	0	8.719048e-19	-0	0	0.7117671	0.1	0	0.7853982
0	0.74599415	0.6655206	0	8.728859e-19	-0	0	0.7363108	0.1	0	0.7853982
0	0.7267662	0.6865545	0	8.734875e-19	-0	0	0.7608545	0.1	0	0.7853982
0	0.7069614	0.7069606	0	8.736898e-19	-0	0	0.7853982	0.1	0	0.7853982
0	0.68655664	0.72676414	0	8.734876e-19	-0	0	0.8099418	0.1	0	0.7853982
0	0.6655217	0.7459932	0	8.728862e-19	-0	0	0.83448553	0.1	0	0.7853982
0	0.6440624	0.76446825	0	8.719052e-19	-0	0	0.85902923	0.1	0	0.7853982
0	0.62224954	0.78215635	0	8.705748e-19	-0	0	0.88357294	0.1	0	0.7853982
0	0.60026926	0.79894847	0	8.689438e-19	-0	0	0.90811664	0.1	0	0.7853982
0	0.5780058	0.8149725	0	8.67041e-19	-0	0	0.93266034	0.1	0	0.7853982
0	0.5556358	0.8301402	0	8.6492243e-19	-0	0	0.957204	0.1	0	0.7853982
0	0.5331683	0.84448874	0	8.6263037e-19	-0	0	0.9817477	0.1	0	0.7853982
0	0.51068306	0.8580109	0	8.6021376e-19	-0	0	1.0062914	0.1	0	0.7853982
0	0.4881714	0.8707527	0	8.5770854e-19	-0	0	1.030835	0.1	0	0.7853982
0	0.46560436	0.8827643	0	8.55145e-19	-0	0	1.0553788	0.1	0	0.7853982
0	0.4431462	0.89399576	0	8.525749e-19	-0	0	1.0799224	0.1	0	0.7853982
0	0.42072392	0.9045197	0	8.500164e-19	-0	0	1.1044662	0.1	0	0.7853982
0	0.39834005	0.9143638	0	8.4749405e-19	-0	0	1.1290098	0.1	0	0.7853982
0	0.37608168	0.9235206	0	8.450393e-19	-0	0	1.1535536	0.1	0	0.7853982
0	0.35376093	0.932089	0	8.4264755e-19	-0	0	1.1780972	0.1	0	0.7853982
0	0.33151504	0.9400351	0	8.403512e-19	-0	0	1.2026409	0.1	0	0.7853982
0	0.309279	0.94740105	0	8.381563e-19	-0	0	1.2271847	0.1	0	0.7853982
0	0.28707823	0.9541939	0	8.360775e-19	-0	0	1.2517283	0.1	0	0.7853982
0	0.2648674	0.960441	0	8.341202e-19	-0	0	1.276272	0.1	0	0.7853982
0	0.24273281	0.9661314	0	8.323011e-19	-0	0	1.3008157	0.1	0	0.7853982
