# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	E_custom (J)	Angle_bias (rad)	Field_bias (T)	Field_ext (T)	Angle_ext (rad)
0	0.9994482	0.0027370623	0	1.4933403e-20	-8.842992e-22	-3.8239032e-19	0	0.1	0.0003	1.1780972
0	0.9990891	0.02694857	0	-3.6723094e-19	-9.353612e-22	-7.6450726e-19	0.024543693	0.1	0.0003	1.1780972
0	0.9981443	0.051144764	0	-7.4867533e-19	-9.858759e-22	-1.1459108e-18	0.049087387	0.1	0.0003	1.1780972
0	0.9966144	0.07531446	0	-1.128961e-18	-1.03582e-21	-1.5261619e-18	0.07363108	0.1	0.0003	1.1780972
0	0.99449927	0.09944694	0	-1.507651e-18	-1.0851709e-21	-1.9048239e-18	0.09817477	0.1	0.0003	1.1780972
0	0.99179983	0.12352813	0	-1.884311e-18	-1.1338993e-21	-2.2814617e-18	0.12271846	0.1	0.0003	1.1780972
0	0.98851657	0.14754757	0	-2.2585093e-18	-1.1819835e-21	-2.6556441e-18	0.14726216	0.1	0.0003	1.1780972
0	0.9846499	0.1714952	0	-2.6298173e-18	-1.2294026e-21	-3.0269417e-18	0.17180584	0.1	0.0003	1.1780972
0	0.9802009	0.19535695	0	-2.9978115e-18	-1.2761275e-21	-3.3949312e-18	0.19634955	0.1	0.0003	1.1780972
0	0.9751688	0.21912847	0	-3.3620667e-18	-1.3221483e-21	-3.759187e-18	0.22089323	0.1	0.0003	1.1780972
0	0.96955824	0.24278162	0	-3.722182e-18	-1.3674096e-21	-4.119307e-18	0.24543692	0.1	0.0003	1.1780972
0	0.96336776	0.26631588	0	-4.07774e-18	-1.4119091e-21	-4.4748742e-18	0.2699806	0.1	0.0003	1.1780972
0	0.956601	0.28971124	0	-4.4283495e-18	-1.4556071e-21	-4.825497e-18	0.2945243	0.1	0.0003	1.1780972
0	0.94925916	0.31295788	0	-4.7736155e-18	-1.4984838e-21	-5.1707796e-18	0.319068	0.1	0.0003	1.1780972
0	0.94134414	0.33604318	0	-5.1131553e-18	-1.5405145e-21	-5.510339e-18	0.3436117	0.1	0.0003	1.1780972
0	0.9328583	0.35895345	0	-5.446599e-18	-1.5816721e-21	-5.843805e-18	0.3681554	0.1	0.0003	1.1780972
0	0.92380494	0.3816747	0	-5.7735863e-18	-1.6219297e-21	-6.1708158e-18	0.3926991	0.1	0.0003	1.1780972
0	0.9141882	0.40419054	0	-6.093777e-18	-1.6612565e-21	-6.4910314e-18	0.41724277	0.1	0.0003	1.1780972
0	0.90400976	0.4264922	0	-6.4068232e-18	-1.6996348e-21	-6.804103e-18	0.44178647	0.1	0.0003	1.1780972
0	0.8932758	0.44856006	0	-6.712423e-18	-1.7370286e-21	-7.109728e-18	0.46633017	0.1	0.0003	1.1780972
0	0.88198775	0.47038704	0	-7.010248e-18	-1.7734243e-21	-7.407578e-18	0.49087384	0.1	0.0003	1.1780972
0	0.8701544	0.4919506	0	-7.300043e-18	-1.8087817e-21	-7.697397e-18	0.5154175	0.1	0.0003	1.1780972
0	0.85777736	0.5132437	0	-7.58151e-18	-1.843087e-21	-7.978886e-18	0.5399612	0.1	0.0003	1.1780972
0	0.8448701	0.5342391	0	-7.854465e-18	-1.876295e-21	-8.251861e-18	0.5645049	0.1	0.0003	1.1780972
0	0.8314323	0.5549346	0	-8.118621e-18	-1.9084e-21	-8.5160345e-18	0.5890486	0.1	0.0003	1.1780972
0	0.81747496	0.57530874	0	-8.373816e-18	-1.9393665e-21	-8.771242e-18	0.6135923	0.1	0.0003	1.1780972
0	0.80300903	0.59534365	0	-8.619897e-18	-1.9691663e-21	-9.0173324e-18	0.638136	0.1	0.0003	1.1780972
0	0.7880383	0.6150314	0	-8.856669e-18	-1.9977854e-21	-9.254111e-18	0.6626797	0.1	0.0003	1.1780972
0	0.77259594	0.6343281	0	-9.08425e-18	-2.0251603e-21	-9.481692e-18	0.6872234	0.1	0.0003	1.1780972
0	0.75665486	0.6532664	0	-9.302172e-18	-2.051336e-21	-9.699611e-18	0.7117671	0.1	0.0003	1.1780972
0	0.7402396	0.6718138	0	-9.510506e-18	-2.0762657e-21	-9.907936e-18	0.7363108	0.1	0.0003	1.1780972
0	0.72336686	0.68995047	0	-9.709268e-18	-2.0999218e-21	-1.0106685e-17	0.7608545	0.1	0.0003	1.1780972
0	0.7060483	0.7076639	0	-9.8984485e-18	-2.1222874e-21	-1.0295845e-17	0.7853982	0.1	0.0003	1.1780972
0	0.688295	0.7249421	0	-1.00780534e-17	-2.143348e-21	-1.0475425e-17	0.8099418	0.1	0.0003	1.1780972
0	0.67011863	0.74177426	0	-1.0248111e-17	-2.1630898e-21	-1.0645453e-17	0.83448553	0.1	0.0003	1.1780972
0	0.65154207	0.7581398	0	-1.0408815e-17	-2.1814895e-21	-1.0806122e-17	0.85902923	0.1	0.0003	1.1780972
0	0.632572	0.774034	0	-1.0560186e-17	-2.1985433e-21	-1.0957453e-17	0.88357294	0.1	0.0003	1.1780972
0	0.613221	0.78944737	0	-1.0702335e-17	-2.2142421e-21	-1.1099557e-17	0.90811664	0.1	0.0003	1.1780972
0	0.59350425	0.8043688	0	-1.0835425e-17	-2.2285756e-21	-1.1232598e-17	0.93266034	0.1	0.0003	1.1780972
0	0.5734415	0.8187852	0	-1.0959703e-17	-2.2415328e-21	-1.1356823e-17	0.957204	0.1	0.0003	1.1780972
0	0.5530466	0.8326886	0	-1.1075363e-17	-2.2531095e-21	-1.1472427e-17	0.9817477	0.1	0.0003	1.1780972
0	0.5323348	0.8460706	0	-1.1182633e-17	-2.2633017e-21	-1.1579638e-17	1.0062914	0.1	0.0003	1.1780972
0	0.511321	0.8589241	0	-1.1281764e-17	-2.2721068e-21	-1.1678707e-17	1.030835	0.1	0.0003	1.1780972
0	0.4900171	0.87124383	0	-1.1372978e-17	-2.2795242e-21	-1.1769856e-17	1.0553788	0.1	0.0003	1.1780972
0	0.4684438	0.8830205	0	-1.1456634e-17	-2.2855521e-21	-1.1853447e-17	1.0799224	0.1	0.0003	1.1780972
0	0.4466098	0.89425176	0	-1.1532945e-17	-2.2901935e-21	-1.1929692e-17	1.1044662	0.1	0.0003	1.1780972
0	0.42453566	0.9049294	0	-1.1602309e-17	-2.2934493e-21	-1.199899e-17	1.1290098	0.1	0.0003	1.1780972
0	0.40223336	0.91505027	0	-1.16650135e-17	-2.2953232e-21	-1.2061628e-17	1.1535536	0.1	0.0003	1.1780972
0	0.37971723	0.92461056	0	-1.17213925e-17	-2.2958192e-21	-1.2117942e-17	1.1780972	0.1	0.0003	1.1780972
0	0.3570025	0.933606	0	-1.177181e-17	-2.2949421e-21	-1.2168297e-17	1.2026409	0.1	0.0003	1.1780972
0	0.3340978	0.9420356	0	-1.1816542e-17	-2.2926973e-21	-1.22129685e-17	1.2271847	0.1	0.0003	1.1780972
0	0.31102052	0.94989514	0	-1.1856004e-17	-2.289091e-21	-1.2252373e-17	1.2517283	0.1	0.0003	1.1780972
0	0.2877869	0.9571812	0	-1.1890607e-17	-2.2841306e-21	-1.2286922e-17	1.276272	0.1	0.0003	1.1780972
0	0.2644033	0.96389395	0	-1.1920625e-17	-2.2778216e-21	-1.2316889e-17	1.3008157	0.1	0.0003	1.1780972
0	0.24088833	0.9700299	0	-1.194652e-17	-2.2701734e-21	-1.23427375e-17	1.3253593	0.1	0.0003	1.1780972
0	0.21725285	0.97558796	0	-1.1968645e-17	-2.2611927e-21	-1.23648215e-17	1.3499031	0.1	0.0003	1.1780972
0	0.19351141	0.9805665	0	-1.198742e-17	-2.2508893e-21	-1.2383562e-17	1.3744467	0.1	0.0003	1.1780972
0	0.16967349	0.9849651	0	-1.2003191e-17	-2.2392704e-21	-1.2399303e-17	1.3989905	0.1	0.0003	1.1780972
0	0.1457516	0.98878276	0	-1.2016358e-17	-2.226345e-21	-1.2412446e-17	1.4235342	0.1	0.0003	1.1780972
0	0.1217577	0.9920186	0	-1.2027308e-17	-2.2121213e-21	-1.24233785e-17	1.4480779	0.1	0.0003	1.1780972
0	0.0977045	0.9946719	0	-1.2036455e-17	-2.1966094e-21	-1.2432514e-17	1.4726216	0.1	0.0003	1.1780972
0	0.07360544	0.996742	0	-1.2044221e-17	-2.1798198e-21	-1.2440277e-17	1.4971652	0.1	0.0003	1.1780972
0	0.0494648	0.9982292	0	-1.205089e-17	-2.1617566e-21	-1.2446948e-17	1.521709	0.1	0.0003	1.1780972
0	0.025305169	0.9991323	0	-1.2057029e-17	-2.1424368e-21	-1.2453098e-17	1.5462526	0.1	0.0003	1.1780972
0	0.0011291886	0.9994515	0	-1.20629014e-17	-2.1218647e-21	-1.2458988e-17	1.5707964	0.1	0.0003	1.1780972
0	-0.023047227	0.99918675	0	-1.2068972e-17	-2.1000522e-21	-1.24650824e-17	1.59534	0.1	0.0003	1.1780972
0	-0.047214244	0.998338	0	-1.2075614e-17	-2.077009e-21	-1.2471757e-17	1.6198837	0.1	0.0003	1.1780972
