# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	E_custom (J)	Angle_bias (rad)	Field_bias (T)	Field_ext (T)	Angle_ext (rad)
0	0.9922778	0.081070304	0	-5.6773345e-19	-1.176212e-19	-1.2738008e-18	0	0.1	0.01	1.1780972
0	0.99038655	0.10211635	0	-1.8416887e-18	-1.2246452e-19	-2.543592e-18	0.024543693	0.1	0.01	1.1780972
0	0.9880502	0.12319197	0	-3.1104948e-18	-1.2727085e-19	-3.8084198e-18	0.049087387	0.1	0.01	1.1780972
0	0.9852781	0.1441984	0	-4.373267e-18	-1.3201746e-19	-5.0674164e-18	0.07363108	0.1	0.01	1.1780972
0	0.9820619	0.16518861	0	-5.629056e-18	-1.3671626e-19	-6.3196185e-18	0.09817477	0.1	0.01	1.1780972
0	0.9783977	0.18616782	0	-6.876901e-18	-1.4136802e-19	-7.564063e-18	0.12271846	0.1	0.01	1.1780972
0	0.97427964	0.20714165	0	-8.115809e-18	-1.459736e-19	-8.799751e-18	0.14726216	0.1	0.01	1.1780972
0	0.9697129	0.22806472	0	-9.344902e-18	-1.5052262e-19	-1.0025809e-17	0.17180584	0.1	0.01	1.1780972
0	0.9646811	0.24898939	0	-1.0563042e-17	-1.5502598e-19	-1.1241084e-17	0.19634955	0.1	0.01	1.1780972
0	0.9591759	0.26991874	0	-1.1769141e-17	-1.5948358e-19	-1.2444482e-17	0.22089323	0.1	0.01	1.1780972
0	0.95321286	0.2907706	0	-1.2962446e-17	-1.6387734e-19	-1.3635262e-17	0.24543692	0.1	0.01	1.1780972
0	0.946749	0.3116682	0	-1.4141313e-17	-1.682324e-19	-1.4811748e-17	0.2699806	0.1	0.01	1.1780972
0	0.9397675	0.33261985	0	-1.5304377e-17	-1.725492e-19	-1.5972571e-17	0.2945243	0.1	0.01	1.1780972
0	0.9322945	0.35351223	0	-1.6451008e-17	-1.7680316e-19	-1.7117105e-17	0.319068	0.1	0.01	1.1780972
0	0.92430115	0.37439668	0	-1.7579606e-17	-1.8100366e-19	-1.8243733e-17	0.3436117	0.1	0.01	1.1780972
0	0.9157739	0.39527234	0	-1.8688774e-17	-1.8514922e-19	-1.9351047e-17	0.3681554	0.1	0.01	1.1780972
0	0.90669584	0.4161418	0	-1.9776988e-17	-1.8923877e-19	-2.0437505e-17	0.3926991	0.1	0.01	1.1780972
0	0.89705336	0.4369971	0	-2.084273e-17	-1.9326904e-19	-2.1501579e-17	0.41724277	0.1	0.01	1.1780972
0	0.88683206	0.4578284	0	-2.188442e-17	-1.9723628e-19	-2.2541671e-17	0.44178647	0.1	0.01	1.1780972
0	0.8760388	0.47858417	0	-2.2900949e-17	-2.0112884e-19	-2.3556655e-17	0.46633017	0.1	0.01	1.1780972
0	0.86457485	0.49940774	0	-2.3888455e-17	-2.049712e-19	-2.4542646e-17	0.49087384	0.1	0.01	1.1780972
0	0.85256255	0.5200345	0	-2.4848782e-17	-2.0871222e-19	-2.5501474e-17	0.5154175	0.1	0.01	1.1780972
0	0.83985615	0.54067737	0	-2.5776606e-17	-2.1238838e-19	-2.6427779e-17	0.5399612	0.1	0.01	1.1780972
0	0.8265057	0.56120574	0	-2.6671823e-17	-2.1597338e-19	-2.7321446e-17	0.5645049	0.1	0.01	1.1780972
0	0.81243265	0.5816933	0	-2.7530617e-17	-2.194771e-19	-2.8178616e-17	0.5890486	0.1	0.01	1.1780972
0	0.797757	0.6019248	0	-2.8355235e-17	-2.2285996e-19	-2.9001535e-17	0.6135923	0.1	0.01	1.1780972
0	0.782428	0.62194246	0	-2.9142817e-17	-2.26127e-19	-2.9787307e-17	0.638136	0.1	0.01	1.1780972
0	0.7664619	0.6416948	0	-2.989263e-17	-2.2926753e-19	-3.0535187e-17	0.6626797	0.1	0.01	1.1780972
0	0.74987274	0.6611388	0	-3.060402e-17	-2.3227273e-19	-3.1244494e-17	0.6872234	0.1	0.01	1.1780972
0	0.73269975	0.6802093	0	-3.1277363e-17	-2.351308e-19	-3.19156e-17	0.7117671	0.1	0.01	1.1780972
0	0.71498966	0.69884366	0	-3.1913528e-17	-2.3783149e-19	-3.2549372e-17	0.7363108	0.1	0.01	1.1780972
0	0.69686097	0.71692014	0	-3.2516447e-17	-2.4035736e-19	-3.3149746e-17	0.7608545	0.1	0.01	1.1780972
0	0.6781304	0.73461777	0	-3.307863e-17	-2.427331e-19	-3.3709208e-17	0.7853982	0.1	0.01	1.1780972
0	0.6591009	0.75165486	0	-3.3611597e-17	-2.449213e-19	-3.4239338e-17	0.8099418	0.1	0.01	1.1780972
0	0.63974285	0.7680803	0	-3.4114308e-17	-2.4693078e-19	-3.4739094e-17	0.83448553	0.1	0.01	1.1780972
0	0.6201064	0.7838719	0	-3.4588987e-17	-2.4876126e-19	-3.5210726e-17	0.85902923	0.1	0.01	1.1780972
