# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	E_custom (J)	Angle_bias (rad)	Field_bias (T)	Field_ext (T)	Angle_ext (rad)
0	0.99136096	0.09077318	0	-4.7122686e-19	-2.3484837e-20	-1.2714675e-18	0	0.1	0.01	1.5707964
0	0.98918974	0.11252628	0	-1.7427651e-18	-2.9112796e-20	-2.5381561e-18	0.024543693	0.1	0.01	1.5707964
0	0.9865502	0.13424473	0	-3.0083556e-18	-3.473179e-20	-3.799062e-18	0.049087387	0.1	0.01	1.5707964
0	0.98344207	0.15592062	0	-4.266999e-18	-4.0339786e-20	-5.0531835e-18	0.07363108	0.1	0.01	1.5707964
0	0.97986084	0.17756982	0	-5.5176653e-18	-4.594086e-20	-6.2994837e-18	0.09817477	0.1	0.01	1.5707964
0	0.97580594	0.19917889	0	-6.7593357e-18	-5.153156e-20	-7.536943e-18	0.12271846	0.1	0.01	1.5707964
0	0.9712619	0.2208015	0	-7.990846e-18	-5.7125765e-20	-8.7643814e-18	0.14726216	0.1	0.01	1.5707964
0	0.9662361	0.2423757	0	-9.211222e-18	-6.270744e-20	-9.9808316e-18	0.17180584	0.1	0.01	1.5707964
0	0.960714	0.26394007	0	-1.04192505e-17	-6.828656e-20	-1.1185065e-17	0.19634955	0.1	0.01	1.5707964
0	0.95469546	0.2854665	0	-1.1613861e-17	-7.385588e-20	-1.237601e-17	0.22089323	0.1	0.01	1.5707964
0	0.9481584	0.30700228	0	-1.27936485e-17	-7.942763e-20	-1.3552246e-17	0.24543692	0.1	0.01	1.5707964
0	0.94107753	0.32858762	0	-1.3957048e-17	-8.501219e-20	-1.4712191e-17	0.2699806	0.1	0.01	1.5707964
0	0.93346834	0.3501369	0	-1.5103137e-17	-9.058743e-20	-1.5854925e-17	0.2945243	0.1	0.01	1.5707964
0	0.9253433	0.3715846	0	-1.6231e-17	-9.613636e-20	-1.6979528e-17	0.319068	0.1	0.01	1.5707964
0	0.9166064	0.39314684	0	-1.7337577e-17	-1.0171495e-19	-1.8082898e-17	0.3436117	0.1	0.01	1.5707964
0	0.90731186	0.41464	0	-1.842263e-17	-1.0727565e-19	-1.9164804e-17	0.3681554	0.1	0.01	1.5707964
0	0.89744246	0.43607038	0	-1.9484547e-17	-1.1282012e-19	-2.0223615e-17	0.3926991	0.1	0.01	1.5707964
0	0.88691413	0.45757347	0	-2.0520028e-17	-1.1838341e-19	-2.125599e-17	0.41724277	0.1	0.01	1.5707964
0	0.87580866	0.47893608	0	-2.1529602e-17	-1.2391034e-19	-2.2262466e-17	0.44178647	0.1	0.01	1.5707964
0	0.86401033	0.50033814	0	-2.250896e-17	-1.2944748e-19	-2.3238691e-17	0.46633017	0.1	0.01	1.5707964
0	0.85157865	0.5216215	0	-2.3458113e-17	-1.3495394e-19	-2.4184658e-17	0.49087384	0.1	0.01	1.5707964
0	0.8384571	0.5428398	0	-2.437405e-17	-1.4044352e-19	-2.5097326e-17	0.5154175	0.1	0.01	1.5707964
0	0.824632	0.5639659	0	-2.5254795e-17	-1.4590924e-19	-2.5974692e-17	0.5399612	0.1	0.01	1.5707964
0	0.8101234	0.58492494	0	-2.6099391e-17	-1.5133178e-19	-2.6815778e-17	0.5645049	0.1	0.01	1.5707964
