# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	E_custom (J)	Angle_bias (rad)	Field_bias (T)	Field_ext (T)	Angle_ext (rad)
0	0.99542475	-4.8196087e-09	0	-4.59482e-19	-0	-1.2818279e-18	0	0.1	0	1.5707964
0	0.99518603	0.022026617	0	-1.7406231e-18	-0	-2.563051e-18	0.024543693	0.1	0	1.5707964
0	0.99447334	0.04401021	0	-3.0199665e-18	-0	-3.842644e-18	0.049087387	0.1	0	1.5707964
0	0.993285	0.06600028	0	-4.2964766e-18	-0	-5.11957e-18	0.07363108	0.1	0	1.5707964
0	0.9916189	0.08799405	0	-5.5691118e-18	-0	-6.392786e-18	0.09817477	0.1	0	1.5707964
0	0.98947155	0.11000065	0	-6.8368157e-18	-0	-7.661234e-18	0.12271846	0.1	0	1.5707964
0	0.9868416	0.13199934	0	-8.098537e-18	-0	-8.923861e-18	0.14726216	0.1	0	1.5707964
0	0.9837182	0.15404384	0	-9.353132e-18	-0	-1.0179526e-17	0.17180584	0.1	0	1.5707964
0	0.98010176	0.1760845	0	-1.0599543e-17	-0	-1.1427163e-17	0.19634955	0.1	0	1.5707964
0	0.9759844	0.19813766	0	-1.1836609e-17	-0	-1.26656076e-17	0.22089323	0.1	0	1.5707964
0	0.97135615	0.22021598	0	-1.30631266e-17	-0	-1.3893656e-17	0.24543692	0.1	0	1.5707964
0	0.9662032	0.2423386	0	-1.4277799e-17	-0	-1.5110009e-17	0.2699806	0.1	0	1.5707964
0	0.9605289	0.26445073	0	-1.5479524e-17	-0	-1.6313549e-17	0.2945243	0.1	0	1.5707964
0	0.9542935	0.28665963	0	-1.6666541e-17	-0	-1.7502525e-17	0.319068	0.1	0	1.5707964
0	0.94752395	0.30882207	0	-1.7838042e-17	-0	-1.86761e-17	0.3436117	0.1	0	1.5707964
0	0.94018805	0.33100766	0	-1.8992284e-17	-0	-1.9832532e-17	0.3681554	0.1	0	1.5707964
0	0.9322489	0.35327458	0	-2.0127298e-17	-0	-2.0969847e-17	0.3926991	0.1	0	1.5707964
0	0.9236998	0.3755836	0	-2.124156e-17	-0	-2.20865e-17	0.41724277	0.1	0	1.5707964
0	0.9145151	0.39794537	0	-2.2333102e-17	-0	-2.3180514e-17	0.44178647	0.1	0	1.5707964
