# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Roundness ()	Size (nm)	Temp (K)	alpha ()	Cell_size (m)
0	1	0	0	8.3613536e-19	-0	0.49	100	300	0.009999999	2e-09
1.0018519734196383e-11	0.989319	-0.0014265438	0.002746431	4.394761e-18	-0	0.49	100	300	0.009999999	2e-09
2.001137449761321e-11	0.9866709	-0.0074430685	0.001224292	5.6602782e-18	-0	0.49	100	300	0.009999999	2e-09
3.0044542782538804e-11	0.9846732	-0.007122701	0.0020311584	5.7795614e-18	-0	0.49	100	300	0.009999999	2e-09
4.002044313497936e-11	0.9839724	-0.005775914	-0.0010845354	6.289786e-18	-0	0.49	100	300	0.009999999	2e-09
5.002474350120426e-11	0.9828441	-0.0022413959	-0.0018952438	6.2493053e-18	-0	0.49	100	300	0.009999999	2e-09
6.000902734264027e-11	0.98079556	0.003905911	-0.004049083	5.7753664e-18	-0	0.49	100	300	0.009999999	2e-09
7.001939595457241e-11	0.9800881	0.011963089	-0.0017034526	5.712621e-18	-0	0.49	100	300	0.009999999	2e-09
8.004527214373642e-11	0.9823907	0.010187522	0.0009858767	6.4002992e-18	-0	0.49	100	300	0.009999999	2e-09
9.002991948935121e-11	0.9834238	0.007537712	0.005900127	6.117847e-18	-0	0.49	100	300	0.009999999	2e-09
1.0002550047480129e-10	0.9823471	0.00068411545	0.0043292907	5.337756e-18	-0	0.49	100	300	0.009999999	2e-09
1.100088483534587e-10	0.9794079	-0.004350305	0.0013391024	5.7371944e-18	-0	0.49	100	300	0.009999999	2e-09
1.2002819567424598e-10	0.9777731	-0.008879253	0.0012547584	5.813937e-18	-0	0.49	100	300	0.009999999	2e-09
1.3003541818745795e-10	0.9776964	-0.011695956	0.0061153416	5.8149577e-18	-0	0.49	100	300	0.009999999	2e-09
1.4003361504248142e-10	0.97893107	-0.016144227	0.0069245067	5.9704122e-18	-0	0.49	100	300	0.009999999	2e-09
1.5003475482236912e-10	0.98044324	-0.028131858	0.006290943	6.0302724e-18	-0	0.49	100	300	0.009999999	2e-09
1.6004962917197922e-10	0.9820656	-0.029766332	0.0030396536	5.585674e-18	-0	0.49	100	300	0.009999999	2e-09
1.7002032342904177e-10	0.98125774	-0.03415728	0.005281189	7.279293e-18	-0	0.49	100	300	0.009999999	2e-09
1.8002103143465771e-10	0.9783245	-0.04370948	0.0075625987	6.7063408e-18	-0	0.49	100	300	0.009999999	2e-09
1.90041213254668e-10	0.9753392	-0.0494683	0.006380976	6.2130404e-18	-0	0.49	100	300	0.009999999	2e-09
2.000165810113316e-10	0.9741543	-0.056191213	0.003348398	6.6259396e-18	-0	0.49	100	300	0.009999999	2e-09
2.1003292988706578e-10	0.97520363	-0.05521336	-0.00019329629	6.3848314e-18	-0	0.49	100	300	0.009999999	2e-09
2.2005028410956717e-10	0.97652954	-0.05523783	-0.00041213536	6.6571752e-18	-0	0.49	100	300	0.009999999	2e-09
2.3004211637834574e-10	0.97827256	-0.06463147	0.0010844553	6.6162765e-18	-0	0.49	100	300	0.009999999	2e-09
2.400351304049172e-10	0.97807926	-0.060582034	-0.0009102353	6.969083e-18	-0	0.49	100	300	0.009999999	2e-09
2.5001932405763337e-10	0.9765547	-0.06078837	-0.0020159092	7.292089e-18	-0	0.49	100	300	0.009999999	2e-09
2.6001807339201854e-10	0.9745782	-0.05943152	0.0014628193	6.1173414e-18	-0	0.49	100	300	0.009999999	2e-09
2.700047167669843e-10	0.97184247	-0.06005718	0.0037581536	6.2939557e-18	-0	0.49	100	300	0.009999999	2e-09
2.8004555906945686e-10	0.97300494	-0.06848777	0.0072395867	6.3876926e-18	-0	0.49	100	300	0.009999999	2e-09
2.90004538365499e-10	0.9754175	-0.08258658	0.00789882	6.914886e-18	-0	0.49	100	300	0.009999999	2e-09
3.0002964026113854e-10	0.97717035	-0.09519294	0.002751989	6.198272e-18	-0	0.49	100	300	0.009999999	2e-09
3.100440947240516e-10	0.9768223	-0.0959981	0.0004618722	6.009279e-18	-0	0.49	100	300	0.009999999	2e-09
3.2002403558216013e-10	0.9760073	-0.097926825	-0.00058811414	6.394813e-18	-0	0.49	100	300	0.009999999	2e-09
3.30011513735535e-10	0.9734675	-0.09558892	-0.0037072964	7.322411e-18	-0	0.49	100	300	0.009999999	2e-09
3.4000671657485707e-10	0.97181606	-0.091007344	-0.0060508302	5.779667e-18	-0	0.49	100	300	0.009999999	2e-09
3.500030793557066e-10	0.9719897	-0.089986056	-0.005357985	6.0740183e-18	-0	0.49	100	300	0.009999999	2e-09
3.6001656176464373e-10	0.975129	-0.07987626	-0.0010793495	5.5702185e-18	-0	0.49	100	300	0.009999999	2e-09
3.7001545350050503e-10	0.9781535	-0.0780712	0.0015851441	6.995386e-18	-0	0.49	100	300	0.009999999	2e-09
3.80022602726678e-10	0.9790837	-0.07862	-0.002239743	6.925954e-18	-0	0.49	100	300	0.009999999	2e-09
3.9004434360381725e-10	0.97778654	-0.07547146	0.0031845903	6.500971e-18	-0	0.49	100	300	0.009999999	2e-09
4.0003572550521103e-10	0.974263	-0.07755799	0.0076417993	5.523652e-18	-0	0.49	100	300	0.009999999	2e-09
4.1004078956262915e-10	0.9701486	-0.07908957	0.003596776	6.9279276e-18	-0	0.49	100	300	0.009999999	2e-09
4.2002121787699915e-10	0.9687502	-0.089567065	0.0051521864	6.085533e-18	-0	0.49	100	300	0.009999999	2e-09
4.300501746791284e-10	0.9726687	-0.10188762	0.0074699437	6.4411467e-18	-0	0.49	100	300	0.009999999	2e-09
4.400245737882395e-10	0.97435325	-0.113890305	0.0053114505	7.257985e-18	-0	0.49	100	300	0.009999999	2e-09
4.500036052954329e-10	0.97324646	-0.12403359	0.008191258	7.014898e-18	-0	0.49	100	300	0.009999999	2e-09
4.600335481433645e-10	0.9691059	-0.1391967	0.010132265	7.207668e-18	-0	0.49	100	300	0.009999999	2e-09
