# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Length (nm)
0	1	0	0	8.81875e-19	-0	65
1.0154703315278714e-11	0.9862997	0.032689705	-0.02370036	2.554617e-18	-0	65
2.0087923858408408e-11	0.98399186	0.044586603	-0.010818516	1.5023389e-18	-0	65
3.019430446523301e-11	0.98167616	0.056730397	-0.009150781	2.2433965e-18	-0	65
4.0016007919568606e-11	0.982718	0.06785331	0.0008788659	2.8253777e-18	-0	65
5.018407361429548e-11	0.9790058	0.06540278	0.00025859536	1.822849e-18	-0	65
6.004645227353109e-11	0.9802836	0.049096495	0.006645445	2.5657583e-18	-0	65
7.003133101818645e-11	0.98129696	0.04858127	0.009228285	3.0757437e-18	-0	65
8.013922871429252e-11	0.9785945	0.039455645	0.005783405	1.0951418e-18	-0	65
9.016567727129962e-11	0.98101556	0.018209366	0.010500001	1.9635121e-18	-0	65
1.0014158281686968e-10	0.9825674	0.011262943	0.0062804325	2.0696195e-18	-0	65
1.1007056755234937e-10	0.9814954	-0.0059283157	0.013598322	2.2768167e-18	-0	65
1.201655333748022e-10	0.9798434	-0.026770988	0.014640026	1.9217273e-18	-0	65
1.3002670145586096e-10	0.97963756	-0.030087072	0.004677989	2.9709925e-18	-0	65
1.4014225911584715e-10	0.97844213	-0.028824016	0.0067540756	1.8643756e-18	-0	65
1.5000918355233797e-10	0.9766292	-0.026801117	0.00064506027	3.9040365e-18	-0	65
1.6008673374266817e-10	0.97486246	-0.036965135	-0.0028736829	2.5010449e-18	-0	65
1.7015773385481523e-10	0.9749601	-0.032201264	0.00087424606	2.3300524e-18	-0	65
1.8017841171864116e-10	0.97369933	-0.04281594	-0.003303897	1.7723887e-18	-0	65
1.9008603230829954e-10	0.9778162	-0.017897254	-0.022922624	2.7937002e-18	-0	65
2.0016043117550566e-10	0.9800451	0.009725734	-0.009291695	1.840528e-18	-0	65
2.1009379880288474e-10	0.9778658	0.030110626	-0.0069225603	3.4177333e-18	-0	65
2.2014672537642588e-10	0.9771248	0.027996672	-0.0040033683	2.1380003e-18	-0	65
2.3005194516817125e-10	0.9766901	0.027465697	0.00019650001	6.3884296e-19	-0	65
2.4001092910848944e-10	0.97711957	0.024767783	-0.005495717	3.9295393e-18	-0	65
2.500760108349713e-10	0.9780514	0.019928101	0.0050085946	2.9951497e-19	-0	65
2.600387233270288e-10	0.9794539	0.026768468	0.0050549507	2.294061e-18	-0	65
2.700189917987337e-10	0.97648203	0.024105273	0.0083255535	3.5717345e-18	-0	65
2.8016654831559326e-10	0.97321415	0.036878895	0.004312204	1.5716691e-18	-0	65
2.901612869836066e-10	0.9761892	0.0408672	-0.011526444	2.9286383e-18	-0	65
3.0007666987969854e-10	0.9799145	0.06495064	-0.011635249	2.7079087e-18	-0	65
3.100161037285235e-10	0.98319715	0.056922823	-0.004199819	3.5953414e-18	-0	65
3.201357562441867e-10	0.98043275	0.054384626	0.0006307718	3.4329522e-18	-0	65
3.3013535628862683e-10	0.9796695	0.04837268	0.013952108	2.1974928e-18	-0	65
3.400626071355421e-10	0.9728417	0.048508566	0.0075289053	1.7115781e-18	-0	65
3.5014748879008153e-10	0.96983457	0.04461847	0.0047178017	2.9141674e-18	-0	65
3.6002386216614686e-10	0.97389174	0.03688107	0.0002639856	2.5326473e-18	-0	65
3.701347159039082e-10	0.9780527	0.023808416	-0.0018963239	1.3540632e-18	-0	65
3.8019766802032286e-10	0.97668004	0.02610352	-0.0050610816	3.0623473e-18	-0	65
3.9015505404482355e-10	0.9780552	0.029702827	-0.0035563696	1.6421877e-18	-0	65
4.0018066645171896e-10	0.9768877	0.042480793	-0.01328775	2.9616952e-18	-0	65
4.1013924301848847e-10	0.97369677	0.05484164	-0.015838945	1.7692541e-18	-0	65
4.2014894802826536e-10	0.9744505	0.07085657	-0.009774814	3.218448e-18	-0	65
4.3017237608442846e-10	0.97688144	0.08204333	0.0037960585	3.782241e-18	-0	65
4.400079244022896e-10	0.9768082	0.07249822	0.0042964	2.1047853e-18	-0	65
4.5000288000637907e-10	0.97676265	0.07379558	0.008869339	2.4618556e-18	-0	65
4.601177614955174e-10	0.97755927	0.057031423	0.009949662	1.7096578e-18	-0	65
4.70157114233329e-10	0.9800952	0.049475487	0.004277276	1.496725e-18	-0	65
4.800687105865872e-10	0.97998905	0.057360936	0.0030712036	2.0761917e-18	-0	65
4.901642548424682e-10	0.9783478	0.057093695	0.0077235247	1.5521275e-18	-0	65
5.001034028835453e-10	0.9761869	0.052878834	-0.0054656575	1.8746314e-18	-0	65
5.101078170928923e-10	0.9740026	0.06123263	0.002596566	1.8854714e-18	-0	65
5.201470995070169e-10	0.97143954	0.050990887	0.0034234237	1.6003765e-18	-0	65
5.301321876185823e-10	0.97764546	0.038007315	0.008145855	2.9426148e-18	-0	65
5.401828993307599e-10	0.98236954	0.027091704	0.01609344	2.4538513e-18	-0	65
5.500329095957855e-10	0.98312354	0.002599779	0.012547408	3.2986259e-18	-0	65
5.600929801697669e-10	0.98273987	-0.017267691	0.013470259	2.7175898e-18	-0	65
5.700122011836949e-10	0.9801808	-0.035570014	0.008784306	2.65051e-18	-0	65
5.800187542212668e-10	0.97635907	-0.02775655	0.0009582816	2.9338035e-18	-0	65
5.900084403101832e-10	0.973271	-0.026973475	-0.008194277	2.644797e-18	-0	65
6.001002473678696e-10	0.97674793	-0.029973358	0.002906691	2.933605e-18	-0	65
6.100537078552971e-10	0.98079294	-0.03920036	0.0068571805	3.8290612e-18	-0	65
6.201361810259873e-10	0.98205566	-0.054540522	0.012988713	2.806858e-18	-0	65
6.300200877745315e-10	0.9827846	-0.060503587	-0.005827413	2.9534153e-18	-0	65
6.401651946320661e-10	0.9795758	-0.07329873	0.002311468	3.6261083e-18	-0	65
6.500518866254657e-10	0.97416836	-0.09663348	0.0078668995	2.2860466e-18	-0	65
6.601861862690357e-10	0.9692521	-0.10764569	0.0014681183	4.402328e-18	-0	65
6.701466178654519e-10	0.9660017	-0.11462053	-0.009841527	1.9114587e-18	-0	65
6.800693017884204e-10	0.9700677	-0.10111716	-0.012028238	1.722544e-18	-0	65
6.901540575735502e-10	0.9729949	-0.059892155	-0.021845521	3.0770525e-18	-0	65
7.001884676758593e-10	0.9755922	-0.036068648	-0.017388102	3.1246632e-18	-0	65
7.101409131814756e-10	0.9803709	-0.017639646	-0.010795441	1.0483764e-18	-0	65
