# t (s)	mx ()	my ()	mz ()	Jx (A/m2)	Jy (A/m2)	Jz (A/m2)	ext_bubbleposx (m)	ext_bubbleposy (m)	ext_bubbleposz (m)
0	1.9013738e-05	9.313226e-10	-0.96599066	-7.1e+11	0	0	-2.9139716e-08	-4.9921606e-10	0
1.0026710344476722e-11	-5.957246e-05	-1.8938445e-05	-0.9659889	-7.1e+11	0	0	-2.8935807e-08	-5.222073e-10	0
2.0008891265358604e-11	7.731678e-06	3.430061e-06	-0.965986	-7.1e+11	0	0	-2.8744438e-08	-5.431824e-10	0
3.002064703360501e-11	-4.406921e-05	-1.2095086e-05	-0.96598446	-7.1e+11	0	0	-2.8544022e-08	-5.6632043e-10	0
4.003317624696732e-11	-3.8464323e-06	-6.6673383e-06	-0.9659854	-7.1e+11	0	0	-2.8346992e-08	-5.892525e-10	0
5.0005965919256795e-11	-2.8809292e-05	-9.8524615e-06	-0.9659877	-7.1e+11	0	0	-2.8147301e-08	-6.110344e-10	0
6.001164127674455e-11	-9.542273e-06	-9.348616e-06	-0.96599007	-7.1e+11	0	0	-2.7947419e-08	-6.3360023e-10	0
7.001724808201685e-11	-1.9948171e-05	-1.0878779e-05	-0.9659914	-7.1e+11	0	0	-2.7746704e-08	-6.5574074e-10	0
8.002267022289626e-11	-9.907875e-06	-1.14375725e-05	-0.96599185	-7.1e+11	0	0	-2.7546479e-08	-6.779213e-10	0
9.002778037538372e-11	-1.3610829e-05	-1.2124889e-05	-0.9659922	-7.1e+11	0	0	-2.7345084e-08	-6.99894e-10	0
1.0003232707768816e-10	-7.98916e-06	-1.3031997e-05	-0.9659934	-7.1e+11	0	0	-2.7143585e-08	-7.2197726e-10	0
1.1003638286658657e-10	-8.29256e-06	-1.3737008e-05	-0.96599543	-7.1e+11	0	0	-2.6940919e-08	-7.4370005e-10	0
1.2000337929183655e-10	-4.4795456e-06	-1.4459714e-05	-0.96599793	-7.1e+11	0	0	-2.6738396e-08	-7.652588e-10	0
1.300070330890776e-10	-3.228969e-06	-1.52485445e-05	-0.96600056	-7.1e+11	0	0	-2.6534934e-08	-7.869091e-10	0
1.400106301732e-10	3.270361e-08	-1.594238e-05	-0.9660032	-7.1e+11	0	0	-2.633062e-08	-8.082504e-10	0
1.5001418994689848e-10	2.1666115e-06	-1.6693957e-05	-0.9660058	-7.1e+11	0	0	-2.6126076e-08	-8.2946017e-10	0
1.600177645606698e-10	5.3572617e-06	-1.7361715e-05	-0.9660088	-7.1e+11	0	0	-2.5920714e-08	-8.5069657e-10	0
1.700213317832124e-10	8.099835e-06	-1.8080696e-05	-0.9660123	-7.1e+11	0	0	-2.5715133e-08	-8.71521e-10	0
1.8002491776893586e-10	1.1490878e-05	-1.8740073e-05	-0.9660165	-7.1e+11	0	0	-2.550878e-08	-8.922577e-10	0
1.9002853714945307e-10	1.4760186e-05	-1.9391999e-05	-0.9660212	-7.1e+11	0	0	-2.5301933e-08	-9.128628e-10	0
2.0003216834908704e-10	1.8477498e-05	-2.003368e-05	-0.96602625	-7.1e+11	0	0	-2.509423e-08	-9.331074e-10	0
2.1003583546968712e-10	2.2286516e-05	-2.063252e-05	-0.96603185	-7.1e+11	0	0	-2.488649e-08	-9.531136e-10	0
2.2000270945610175e-10	2.6427944e-05	-2.1222979e-05	-0.96603805	-7.1e+11	0	0	-2.4678398e-08	-9.726391e-10	0
2.3000638387836733e-10	3.0795418e-05	-2.1778978e-05	-0.966045	-7.1e+11	0	0	-2.4469323e-08	-9.921226e-10	0
2.400100729451209e-10	3.5499077e-05	-2.2307038e-05	-0.96605283	-7.1e+11	0	0	-2.4259819e-08	-1.0111351e-09	0
2.5001377275598557e-10	4.048578e-05	-2.2797845e-05	-0.9660616	-7.1e+11	0	0	-2.4049225e-08	-1.0296765e-09	0
2.6001746954215165e-10	4.5826477e-05	-2.3253262e-05	-0.96607137	-7.1e+11	0	0	-2.383831e-08	-1.0479316e-09	0
2.700211770780383e-10	5.1514635e-05	-2.3661181e-05	-0.9660822	-7.1e+11	0	0	-2.36269e-08	-1.065485e-09	0
2.8002488249048387e-10	5.7592522e-05	-2.402626e-05	-0.9660943	-7.1e+11	0	0	-2.3414925e-08	-1.0825901e-09	0
2.9002859205909404e-10	6.407284e-05	-2.4337322e-05	-0.96610785	-7.1e+11	0	0	-2.3202004e-08	-1.0991211e-09	0
3.0003231147679626e-10	7.098998e-05	-2.4587847e-05	-0.966123	-7.1e+11	0	0	-2.2989212e-08	-1.1149197e-09	0
3.100360429768039e-10	7.836672e-05	-2.4775974e-05	-0.9661398	-7.1e+11	0	0	-2.2775506e-08	-1.1298523e-09	0
3.2000301170274643e-10	8.619933e-05	-2.489239e-05	-0.9661585	-7.1e+11	0	0	-2.2561927e-08	-1.1439686e-09	0
3.300067828319288e-10	9.4578565e-05	-2.4931505e-05	-0.96617955	-7.1e+11	0	0	-2.2346656e-08	-1.1570778e-09	0
3.400105616881514e-10	0.000103492006	-2.4887733e-05	-0.9662028	-7.1e+11	0	0	-2.213121e-08	-1.1690483e-09	0
3.5001433858607336e-10	0.00011297827	-2.4747103e-05	-0.9662287	-7.1e+11	0	0	-2.1914962e-08	-1.1797753e-09	0
3.6001813976592893e-10	0.00012304833	-2.450496e-05	-0.96625745	-7.1e+11	0	0	-2.1698364e-08	-1.189148e-09	0
3.700219770624568e-10	0.0001337348	-2.4154782e-05	-0.96628934	-7.1e+11	0	0	-2.1481284e-08	-1.1969928e-09	0
