# t (s)	mx ()	my ()	mz ()	Jx (A/m2)	Jy (A/m2)	Jz (A/m2)	ext_bubbleposx (m)	ext_bubbleposy (m)	ext_bubbleposz (m)
0	1.900766e-05	2.7939677e-09	-0.9659947	-4e+11	0	0	-2.9138779e-08	-4.9922944e-10	0
1.001656289078169e-11	-2.5295685e-05	-1.0746531e-05	-0.9659914	-4e+11	0	0	-2.9024559e-08	-5.1218224e-10	0
2.0030400804245204e-11	1.265283e-05	1.8086284e-06	-0.9659856	-4e+11	0	0	-2.8917816e-08	-5.239563e-10	0
3.003492701171877e-11	-1.664322e-05	-6.781891e-06	-0.96598214	-4e+11	0	0	-2.8805756e-08	-5.370674e-10	0
4.000164157265996e-11	5.995274e-06	-3.6805868e-06	-0.9659829	-4e+11	0	0	-2.8695213e-08	-5.4992677e-10	0
5.000565600403007e-11	-8.181761e-06	-5.5935234e-06	-0.9659861	-4e+11	0	0	-2.8581702e-08	-5.6233407e-10	0
6.001010524681277e-11	2.579348e-06	-5.3029507e-06	-0.9659892	-4e+11	0	0	-2.846875e-08	-5.750656e-10	0
7.001447396086364e-11	-3.4229552e-06	-6.193295e-06	-0.9659901	-4e+11	0	0	-2.8355277e-08	-5.875778e-10	0
8.00185223424883e-11	2.0817706e-06	-6.493181e-06	-0.96598923	-4e+11	0	0	-2.8242706e-08	-6.000729e-10	0
9.002234700226218e-11	-2.073482e-07	-6.9215894e-06	-0.96598786	-4e+11	0	0	-2.8130135e-08	-6.1247446e-10	0
1.0002610194048398e-10	2.7440933e-06	-7.42916e-06	-0.96598756	-4e+11	0	0	-2.8016839e-08	-6.2502287e-10	0
1.1002985834931503e-10	2.3012244e-06	-7.856637e-06	-0.9659884	-4e+11	0	0	-2.7902566e-08	-6.372757e-10	0
1.2003362910628022e-10	4.1505427e-06	-8.283183e-06	-0.96599	-4e+11	0	0	-2.7788246e-08	-6.4956857e-10	0
1.300006555808346e-10	4.500688e-06	-8.753501e-06	-0.9659913	-4e+11	0	0	-2.7673751e-08	-6.6176226e-10	0
1.400044943980446e-10	5.941877e-06	-9.157695e-06	-0.9659921	-4e+11	0	0	-2.7558633e-08	-6.739674e-10	0
1.5000837050336674e-10	6.690036e-06	-9.619631e-06	-0.9659925	-4e+11	0	0	-2.7444e-08	-6.861229e-10	0
1.6001224162058778e-10	7.979352e-06	-1.00284815e-05	-0.9659927	-4e+11	0	0	-2.7328667e-08	-6.982155e-10	0
1.700161175231395e-10	8.949048e-06	-1.0477379e-05	-0.96599346	-4e+11	0	0	-2.7212723e-08	-7.1031186e-10	0
1.800199746225747e-10	1.0213453e-05	-1.0890886e-05	-0.9659946	-4e+11	0	0	-2.7096764e-08	-7.221565e-10	0
1.90023799027956e-10	1.1336919e-05	-1.1315569e-05	-0.9659959	-4e+11	0	0	-2.6980416e-08	-7.341175e-10	0
2.0002759545769485e-10	1.2628333e-05	-1.1732802e-05	-0.9659972	-4e+11	0	0	-2.6863678e-08	-7.458458e-10	0
2.100313558204362e-10	1.387846e-05	-1.2144446e-05	-0.96599835	-4e+11	0	0	-2.6746621e-08	-7.5764844e-10	0
2.2003508930051927e-10	1.5235591e-05	-1.2557954e-05	-0.9659994	-4e+11	0	0	-2.6629792e-08	-7.693615e-10	0
2.3000200347725605e-10	1.6593676e-05	-1.2960285e-05	-0.9660006	-4e+11	0	0	-2.6512597e-08	-7.809429e-10	0
2.400056952281638e-10	1.803261e-05	-1.3366342e-05	-0.9660021	-4e+11	0	0	-2.6394874e-08	-7.923832e-10	0
2.500093568203098e-10	1.9509156e-05	-1.3758428e-05	-0.9660037	-4e+11	0	0	-2.6276787e-08	-8.039074e-10	0
2.600130137505549e-10	2.1047597e-05	-1.41514465e-05	-0.96600544	-4e+11	0	0	-2.6158485e-08	-8.152332e-10	0
