# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	roundness ()	size (m)	Cell_size (m)	var1-d (nm)	var2-s (nm)
0	0.6609074	0.36443946	0	-2.338679e-17	-2.584777e-17	0	0	1.5707964	0.99162775	0.045445148	0	0.9916408	0.048191525	0	-0.0005462885	0.99968165	0	0.66	100	2e-09	-170	-60
0	0.44304675	0.62817234	0	-2.3324237e-17	-2.5847793e-17	0	1.5707964	1.5707964	0.9913801	-0.05032257	0	0.33765486	0.9351569	0	0.000105168125	0.99968266	0	0.66	100	2e-09	-170	-60
0	0.00037054144	0.3895456	0	-2.318943e-17	-2.5847818e-17	0	3.1415927	1.5707964	0.9897102	0.07811858	0	-0.9886528	0.09083472	0	5.4295488e-05	0.99968356	0	0.66	100	2e-09	-170	-60
0	0.66090596	0.36447108	0	-2.3386791e-17	-2.5847773e-17	0	4.712389	1.5707964	0.99162686	0.045462478	0	0.9916371	0.048269197	0	-0.0005462597	0.9996818	0	0.66	100	2e-09	-170	-60
0	0.40921518	0.6395726	0	-2.3338894e-17	-2.5847761e-17	1.5707964	0	1.5707964	0.2367769	0.9647349	0	0.99171567	-0.045698684	0	-0.00084704167	0.99968135	0	0.66	100	2e-09	-170	-60
0	-0.00084734964	0.9945251	0	-2.3304872e-17	-2.5847794e-17	1.5707964	1.5707964	1.5707964	-0.03482206	0.99190515	0	0.03229907	0.99198735	0	-1.9056966e-05	0.9996827	0	0.66	100	2e-09	-170	-60
0	-0.4457686	0.6294905	0	-2.33229e-17	-2.5847801e-17	1.5707964	3.1415927	1.5707964	-0.3455357	0.93232924	0	-0.991688	-0.04354079	0	-8.217718e-05	0.9996829	0	0.66	100	2e-09	-170	-60
0	0.00059453415	0.33325177	0	-2.3331994e-17	-2.5847765e-17	1.5707964	4.712389	1.5707964	-0.0286315	0.9925334	0	0.031364135	-0.99245954	0	-0.0009490351	0.9996815	0	0.66	100	2e-09	-170	-60
0	-0.00031882533	0.38508794	0	-2.3236774e-17	-2.5847738e-17	3.1415927	0	1.5707964	-0.99027586	0.07187197	0	0.98936576	0.083711475	0	-4.633715e-05	0.9996804	0	0.66	100	2e-09	-170	-60
0	-0.4090983	0.6375972	0	-2.334164e-17	-2.5847756e-17	3.1415927	1.5707964	1.5707964	-0.99143356	-0.051642768	0	-0.23665614	0.96475315	0	0.00079482264	0.99968123	0	0.66	100	2e-09	-170	-60
0	-0.66089493	0.364522	0	-2.3387822e-17	-2.5847778e-17	3.1415927	3.1415927	1.5707964	-0.99188995	0.042544432	0	-0.9913448	0.051339727	0	0.00054991944	0.99968183	0	0.66	100	2e-09	-170	-60
0	-0.4167001	0.06975041	0	-2.3304955e-17	-2.584776e-17	3.1415927	4.712389	1.5707964	-0.97916055	0.16564277	0	-0.27074343	-0.9560727	0	-0.00019619075	0.99968123	0	0.66	100	2e-09	-170	-60
0	0.41421112	0.07155858	0	-2.3306646e-17	-2.584775e-17	4.712389	0	1.5707964	0.2644893	-0.95778215	0	0.977963	0.17277706	0	0.00018108373	0.9996809	0	0.66	100	2e-09	-170	-60
0	-0.0019089899	0.33329004	0	-2.3336137e-17	-2.5847755e-17	4.712389	1.5707964	1.5707964	-0.033231515	-0.99239945	0	0.026558034	0.9925885	0	0.00094651687	0.99968106	0	0.66	100	2e-09	-170	-60
0	-0.6608918	0.36458007	0	-2.3387819e-17	-2.5847778e-17	4.712389	3.1415927	1.5707964	-0.99189305	0.04246767	0	-0.9913322	0.051590614	0	0.0005500702	0.99968183	0	0.66	100	2e-09	-170	-60
0	-0.00072174694	-0.32785115	0	-2.3225011e-17	-2.5847755e-17	4.712389	4.712389	1.5707964	-0.038850363	-0.99157745	0	0.0366688	-0.9916569	0	1.6327596e-05	0.999681	0	0.66	100	2e-09	-170	-60
