# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	roundness ()	size (m)	Cell_size (m)	var1-d (nm)	var2-s (nm)
0	0.66223353	0.31734756	0	-2.3354229e-17	-2.5847485e-17	0	0	1.5707964	0.9926979	-0.004707525	0	0.9918132	-0.042920344	0	0.002189603	0.9996706	0	0.66	100	2e-09	-50	130
0	0.39465737	0.6151755	0	-2.3290749e-17	-2.5847733e-17	0	1.5707964	1.5707964	0.98473954	-0.12682024	0	0.19966854	0.9726665	0	-0.00043597256	0.99968016	0	0.66	100	2e-09	-50	130
0	0.00014007877	0.31125823	0	-2.3240268e-17	-2.5847937e-17	0	3.1415927	1.5707964	0.9927583	-0.0039887377	0	-0.9908422	-0.061924823	0	-0.0014959786	0.99968815	0	0.66	100	2e-09	-50	130
0	0.3889097	0.042846795	0	-2.3319586e-17	-2.584769e-17	0	4.712389	1.5707964	0.98715913	0.10578111	0	0.17790093	-0.97691935	0	0.0016690312	0.9996787	0	0.66	100	2e-09	-50	130
0	0.42445555	0.591389	0	-2.3282168e-17	-2.584749e-17	1.5707964	0	1.5707964	0.29367036	0.94949794	0	0.97765774	-0.17500207	0	0.002038601	0.999671	0	0.66	100	2e-09	-50	130
0	-0.06043616	0.99158067	0	-2.3248082e-17	-2.5847761e-17	1.5707964	1.5707964	1.5707964	-0.047154106	0.99131805	0	-0.1327024	0.9837424	0	-0.0014519995	0.99968153	0	0.66	100	2e-09	-50	130
0	-0.43466473	0.5998157	0	-2.334363e-17	-2.5847923e-17	1.5707964	3.1415927	1.5707964	-0.3193795	0.94136566	0	-0.9827703	-0.14160596	0	-0.001844459	0.99968755	0	0.66	100	2e-09	-50	130
0	-0.039568108	0.33442745	0	-2.334685e-17	-2.5847773e-17	1.5707964	4.712389	1.5707964	-0.028580347	0.9925359	0	-0.09095749	-0.9889354	0	0.0008335121	0.99968183	0	0.66	100	2e-09	-50	130
0	-0.00059789175	0.30521256	0	-2.3183786e-17	-2.5847521e-17	3.1415927	0	1.5707964	-0.9927707	0.00054088066	0	0.9893075	-0.08457536	0	0.001669483	0.9996722	0	0.66	100	2e-09	-50	130
0	-0.6622846	0.31965724	0	-2.3419242e-17	-2.584792e-17	3.1415927	1.5707964	1.5707964	-0.99269783	-0.0053151543	0	-0.99207056	-0.03540048	0	-0.0020856438	0.99968743	0	0.66	100	2e-09	-50	130
0	-0.6622851	0.31968242	0	-2.3419238e-17	-2.584792e-17	3.1415927	3.1415927	1.5707964	-0.9926981	-0.0052661607	0	-0.9920714	-0.03537395	0	-0.0020856836	0.99968743	0	0.66	100	2e-09	-50	130
0	-0.66228485	0.31966746	0	-2.3419242e-17	-2.5847918e-17	3.1415927	4.712389	1.5707964	-0.99269783	-0.005302155	0	-0.99207115	-0.035382878	0	-0.0020856678	0.99968743	0	0.66	100	2e-09	-50	130
0	0.42900583	0.039532986	0	-2.3284942e-17	-2.5847508e-17	4.712389	0	1.5707964	0.29468796	-0.94917893	0	0.99038535	0.06810631	0	0.0019442765	0.9996716	0	0.66	100	2e-09	-50	130
0	-0.044037506	0.33171737	0	-2.3323477e-17	-2.5847778e-17	4.712389	1.5707964	1.5707964	-0.030504702	-0.9924876	0	-0.10039679	0.98795766	0	-0.0012110297	0.9996819	0	0.66	100	2e-09	-50	130
0	-0.43661574	0.03832924	0	-2.3347034e-17	-2.5847928e-17	4.712389	3.1415927	1.5707964	-0.31696486	-0.9421497	0	-0.99096394	0.057449542	0	-0.0019185428	0.99968785	0	0.66	100	2e-09	-50	130
0	-0.05198108	-0.3258987	0	-2.3284782e-17	-2.5847783e-17	4.712389	4.712389	1.5707964	-0.040915415	-0.9916199	0	-0.11598418	-0.9857584	0	0.000956366	0.9996822	0	0.66	100	2e-09	-50	130
