# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	roundness ()	size (m)	Cell_size (m)	var1-d (nm)	var2-Msat (kA/m)
0	0.6523983	0.40054566	0	-7.956748e-18	-9.695706e-18	0	0	1.5707964	0.9924747	-0.021575991	0	0.9672831	0.22324331	0	-0.0025629112	0.99996966	0	0.66	100	2e-09	-100	300
0	0.3729773	0.6216959	0	-7.976178e-18	-9.695529e-18	0	1.5707964	1.5707964	0.9858046	-0.11803098	0	0.13604522	0.9831676	0	-0.0029180604	0.9999514	0	0.66	100	2e-09	-100	300
0	0.37282503	0.62130433	0	-7.976179e-18	-9.695528e-18	0	3.1415927	1.5707964	0.98566246	-0.1192491	0	0.13572916	0.98321086	0	-0.0029165857	0.99995136	0	0.66	100	2e-09	-100	300
0	0.40639418	0.050367493	0	-7.813735e-18	-9.695565e-18	0	4.712389	1.5707964	0.98592407	0.11682875	0	0.22998032	-0.9656814	0	0.0032782124	0.9999551	0	0.66	100	2e-09	-100	300
0	0.420075	0.69829756	0	-7.881903e-18	-9.695688e-18	1.5707964	0	1.5707964	0.28189126	0.95296115	0	0.9817369	0.14196366	0	-0.0034031777	0.9999678	0	0.66	100	2e-09	-100	300
0	-0.051162638	0.99280965	0	-7.94381e-18	-9.6955014e-18	1.5707964	1.5707964	1.5707964	-0.052830566	0.99107724	0	-0.09705364	0.9874035	0	-0.003603708	0.9999486	0	0.66	100	2e-09	-100	300
0	-0.45090023	0.68667036	0	-7.940127e-18	-9.695647e-18	1.5707964	3.1415927	1.5707964	-0.37077644	0.9227654	0	-0.9829879	0.13728198	0	0.0010635476	0.9999636	0	0.66	100	2e-09	-100	300
0	-0.08125688	0.33849064	0	-7.850422e-18	-9.6955486e-18	1.5707964	4.712389	1.5707964	-0.06614071	0.9907919	0	-0.18070313	-0.9752734	0	0.0030732213	0.9999533	0	0.66	100	2e-09	-100	300
0	-0.44052276	0.6109645	0	-8.003608e-18	-9.695528e-18	3.1415927	0	1.5707964	-0.9873327	-0.10441438	0	-0.33155158	0.93735653	0	-0.002684003	0.99995136	0	0.66	100	2e-09	-100	300
0	-0.44041216	0.61099553	0	-8.003606e-18	-9.695529e-18	3.1415927	1.5707964	1.5707964	-0.98733044	-0.104435705	0	-0.33122095	0.9374708	0	-0.002685051	0.99995136	0	0.66	100	2e-09	-100	300
0	-0.65358764	0.3987054	0	-8.0240755e-18	-9.695641e-18	3.1415927	3.1415927	1.5707964	-0.9925349	-0.0192524	0	-0.969333	0.21540558	0	0.0011050411	0.99996305	0	0.66	100	2e-09	-100	300
0	-0.6535105	0.39891157	0	-8.0240755e-18	-9.695641e-18	3.1415927	4.712389	1.5707964	-0.9925272	-0.019656174	0	-0.9691061	0.21642786	0	0.0011016711	0.99996316	0	0.66	100	2e-09	-100	300
0	-0.04260265	0.33241433	0	-8.012197e-18	-9.6955295e-18	4.712389	0	1.5707964	-0.040586412	-0.9921261	0	-0.08488119	0.98941755	0	-0.0023403522	0.9999516	0	0.66	100	2e-09	-100	300
0	-0.042560823	0.33241513	0	-8.012198e-18	-9.69553e-18	4.712389	1.5707964	1.5707964	-0.040521927	-0.9921287	0	-0.08482004	0.9894226	0	-0.0023404867	0.9999515	0	0.66	100	2e-09	-100	300
0	-0.04329298	0.3324083	0	-8.012197e-18	-9.6955295e-18	4.712389	3.1415927	1.5707964	-0.041833248	-0.9920756	0	-0.085706934	0.9893491	0	-0.0023387487	0.9999515	0	0.66	100	2e-09	-100	300
0	-0.13418671	-0.3116455	0	-7.781698e-18	-9.695486e-18	4.712389	4.712389	1.5707964	-0.115290366	-0.9858879	0	-0.291813	-0.9489957	0	0.004543201	0.99994695	0	0.66	100	2e-09	-100	300
