# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	roundness ()	size (m)	Cell_size (m)	var2-s (nm)	var1-d (nm)
0	0.33326796	0.6209871	0	-2.3509997e-17	-2.5846838e-17	0	0	1.5707964	0.98465586	-0.12742305	0	0.017752653	0.9907388	0	-0.0026046245	0.9996456	0	0.66	100	2e-09	20	-100
0	0.33326903	0.62100846	0	-2.3509997e-17	-2.5846838e-17	0	1.5707964	1.5707964	0.98466384	-0.12735923	0	0.017747732	0.9907388	0	-0.0026046499	0.9996456	0	0.66	100	2e-09	20	-100
0	0.33322087	0.6209369	0	-2.351e-17	-2.584684e-17	0	3.1415927	1.5707964	0.9846365	-0.12757693	0	0.017630264	0.9907419	0	-0.0026042066	0.99964565	0	0.66	100	2e-09	20	-100
0	0.33324212	0.62097955	0	-2.3509993e-17	-2.5846838e-17	0	4.712389	1.5707964	0.98465276	-0.1274476	0	0.017677985	0.99074066	0	-0.0026044114	0.9996456	0	0.66	100	2e-09	20	-100
0	-0.09846444	0.98724425	0	-2.3498084e-17	-2.5846779e-17	1.5707964	0	1.5707964	-0.118153475	0.9856311	0	-0.17384633	0.97645813	0	-0.003393509	0.9996434	0	0.66	100	2e-09	20	-100
0	-0.09838405	0.9872545	0	-2.3498085e-17	-2.5846779e-17	1.5707964	1.5707964	1.5707964	-0.11797933	0.9856512	0	-0.17377917	0.97646934	0	-0.0033936214	0.9996433	0	0.66	100	2e-09	20	-100
0	-0.09886969	0.9871914	0	-2.3498085e-17	-2.5846779e-17	1.5707964	3.1415927	1.5707964	-0.11903176	0.98552877	0	-0.17418437	0.9764021	0	-0.0033929404	0.9996434	0	0.66	100	2e-09	20	-100
0	-0.09880869	0.9871994	0	-2.3498084e-17	-2.5846779e-17	1.5707964	4.712389	1.5707964	-0.11889949	0.9855442	0	-0.17413357	0.9764105	0	-0.0033930254	0.9996433	0	0.66	100	2e-09	20	-100
0	-0.44462973	0.61093783	0	-2.357064e-17	-2.5846797e-17	3.1415927	0	1.5707964	-0.9878326	-0.09976461	0	-0.3433976	0.9329342	0	-0.002659076	0.999644	0	0.66	100	2e-09	20	-100
0	-0.44464222	0.6109482	0	-2.357064e-17	-2.5846797e-17	3.1415927	1.5707964	1.5707964	-0.9878368	-0.09972142	0	-0.34343094	0.93292207	0	-0.0026590081	0.999644	0	0.66	100	2e-09	20	-100
0	-0.5561617	0.5414732	0	-2.3568885e-17	-2.5846835e-17	3.1415927	3.1415927	1.5707964	-0.99056387	-0.066255584	0	-0.6763165	0.69102967	0	-0.0016046067	0.9996456	0	0.66	100	2e-09	20	-100
0	-0.5562881	0.54137754	0	-2.3568887e-17	-2.5846835e-17	3.1415927	4.712389	1.5707964	-0.9905734	-0.066108115	0	-0.6766881	0.69059527	0	-0.0016027404	0.9996455	0	0.66	100	2e-09	20	-100
0	-0.084509194	0.33036187	0	-2.3565514e-17	-2.584681e-17	4.712389	0	1.5707964	-0.09300596	-0.9886665	0	-0.15837558	0.98010767	0	-0.0021460275	0.9996445	0	0.66	100	2e-09	20	-100
0	-0.08455983	0.33036226	0	-2.3565515e-17	-2.584681e-17	4.712389	1.5707964	1.5707964	-0.09310525	-0.98865753	0	-0.15842831	0.9800997	0	-0.0021459358	0.9996445	0	0.66	100	2e-09	20	-100
0	-0.08478319	0.33036807	0	-2.3565515e-17	-2.584681e-17	4.712389	3.1415927	1.5707964	-0.093595006	-0.9886125	0	-0.15860884	0.9800722	0	-0.0021457165	0.9996446	0	0.66	100	2e-09	20	-100
0	-0.08478081	0.33036798	0	-2.3565515e-17	-2.584681e-17	4.712389	4.712389	1.5707964	-0.09358976	-0.988613	0	-0.15860696	0.9800724	0	-0.0021457188	0.9996446	0	0.66	100	2e-09	20	-100
0	0.3393237	0.62148446	0	-2.3487089e-17	-2.5847032e-17	0	0	1.5707964	0.9848491	-0.12588333	0	0.03536655	0.9906833	0	-0.0022446846	0.9996533	0	0.66	100	2e-09	20	-102
0	0.339324	0.6214892	0	-2.3487089e-17	-2.5847035e-17	0	1.5707964	1.5707964	0.98485094	-0.12586884	0	0.035365783	0.9906834	0	-0.002244691	0.9996533	0	0.66	100	2e-09	20	-102
0	0.33932889	0.62150085	0	-2.3487087e-17	-2.5847032e-17	0	3.1415927	1.5707964	0.9848554	-0.1258336	0	0.035376035	0.990683	0	-0.0022447377	0.9996532	0	0.66	100	2e-09	20	-102
0	0.30894288	0.051908102	0	-2.309379e-17	-2.5847245e-17	0	4.712389	1.5707964	0.9825792	0.14224763	0	-0.0593442	-0.98618466	0	0.003593793	0.99966145	0	0.66	100	2e-09	20	-102
0	-0.09243483	0.98821115	0	-2.3473811e-17	-2.5846975e-17	1.5707964	0	1.5707964	-0.11324619	0.9861888	0	-0.1610395	0.9787933	0	-0.0030187734	0.999651	0	0.66	100	2e-09	20	-102
0	-0.09253262	0.98819906	0	-2.3473811e-17	-2.584698e-17	1.5707964	1.5707964	1.5707964	-0.113455065	0.9861656	0	-0.16112414	0.9787804	0	-0.0030186365	0.9996511	0	0.66	100	2e-09	20	-102
0	-0.09292446	0.9881504	0	-2.3473811e-17	-2.5846979e-17	1.5707964	3.1415927	1.5707964	-0.11429139	0.98607206	0	-0.16146389	0.97872794	0	-0.0030180858	0.999651	0	0.66	100	2e-09	20	-102
0	-0.092537634	0.98819834	0	-2.3473811e-17	-2.5846979e-17	1.5707964	4.712389	1.5707964	-0.113463335	0.9861647	0	-0.16113095	0.9787793	0	-0.0030186214	0.9996511	0	0.66	100	2e-09	20	-102
0	-0.55730134	0.54063433	0	-2.3543415e-17	-2.5847004e-17	3.1415927	0	1.5707964	-0.9906495	-0.064938664	0	-0.6800055	0.6871898	0	-0.001248957	0.9996521	0	0.66	100	2e-09	20	-102
0	-0.44186443	0.6119675	0	-2.354528e-17	-2.5846987e-17	3.1415927	1.5707964	1.5707964	-0.98785627	-0.09952398	0	-0.33544853	0.935775	0	-0.0022883883	0.9996514	0	0.66	100	2e-09	20	-102
0	-0.55729973	0.540636	0	-2.3543415e-17	-2.5847004e-17	3.1415927	3.1415927	1.5707964	-0.99064946	-0.06493939	0	-0.68000066	0.6871953	0	-0.0012489811	0.9996521	0	0.66	100	2e-09	20	-102
0	-0.5573007	0.5406367	0	-2.3543415e-17	-2.5847002e-17	3.1415927	4.712389	1.5707964	-0.99064994	-0.06493425	0	-0.68000317	0.6871924	0	-0.0012489717	0.99965197	0	0.66	100	2e-09	20	-102
