# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	roundness ()	size (m)	Cell_size (m)	var1-d (nm)	var2-s (nm)
0	0.65344924	0.26080608	0	-2.3628997e-17	-2.6070523e-17	0	0	1.5707964	0.9926925	0.0058093537	0	0.96490675	-0.22942853	0	0.008337404	0.99963653	0	0.66	100	2e-09	0	105
0	0.65343904	0.26075342	0	-2.3628998e-17	-2.6070523e-17	0	1.5707964	1.5707964	0.99269253	0.0057796165	0	0.96487635	-0.22955708	0	0.008337026	0.99963653	0	0.66	100	2e-09	0	105
0	0.40932557	0.045651305	0	-2.3615626e-17	-2.6072806e-17	0	3.1415927	1.5707964	0.9883684	0.0936259	0	0.240916	-0.9646616	0	0.002219119	0.9997242	0	0.66	100	2e-09	0	105
0	0.40930858	0.04561386	0	-2.3615626e-17	-2.6072804e-17	0	4.712389	1.5707964	0.9883774	0.093527466	0	0.24085641	-0.9646759	0	0.0022186625	0.9997242	0	0.66	100	2e-09	0	105
0	0.38164416	0.4984713	0	-2.3562359e-17	-2.6071196e-17	1.5707964	0	1.5707964	0.26234594	0.95842284	0	0.87867814	-0.4670136	0	0.0071528377	0.9996625	0	0.66	100	2e-09	0	105
0	2.8550625e-05	0.9944626	0	-2.3411577e-17	-2.6071219e-17	1.5707964	1.5707964	1.5707964	1.8844805e-05	0.9923786	0	6.6520515e-05	0.99130076	0	5.292472e-07	0.9996633	0	0.66	100	2e-09	0	105
0	-0.38161123	0.4984306	0	-2.356236e-17	-2.6071196e-17	1.5707964	3.1415927	1.5707964	-0.26231524	0.95843107	0	-0.8786104	-0.4671442	0	-0.007152099	0.9996625	0	0.66	100	2e-09	0	105
0	-1.7563909e-05	0.33490008	0	-2.3632456e-17	-2.6072925e-17	1.5707964	4.712389	1.5707964	-1.21137955e-05	0.99293274	0	-4.0403615e-05	-0.9937208	0	-3.236203e-07	0.99972874	0	0.66	100	2e-09	0	105
0	-0.4093176	0.04565183	0	-2.3615626e-17	-2.6072806e-17	3.1415927	0	1.5707964	-0.9883678	0.09363298	0	-0.24089307	-0.96466714	0	-0.0022189403	0.9997242	0	0.66	100	2e-09	0	105
0	-0.65344876	0.26079944	0	-2.3629e-17	-2.6070523e-17	3.1415927	1.5707964	1.5707964	-0.9926925	0.005795403	0	-0.96490526	-0.22943445	0	-0.008337386	0.99963653	0	0.66	100	2e-09	0	105
0	-0.65344864	0.26080334	0	-2.3628997e-17	-2.6070523e-17	3.1415927	3.1415927	1.5707964	-0.9926924	0.005808483	0	-0.96490496	-0.22943577	0	-0.008337383	0.99963653	0	0.66	100	2e-09	0	105
0	-0.40932292	0.045615222	0	-2.3615626e-17	-2.6072806e-17	3.1415927	4.712389	1.5707964	-0.9883779	0.09352143	0	-0.24089862	-0.9646658	0	-0.00221899	0.9997242	0	0.66	100	2e-09	0	105
0	0.43135178	-0.029304275	0	-2.355469e-17	-2.6070465e-17	4.712389	0	1.5707964	0.31031984	-0.9443106	0	0.97919524	-0.15215063	0	0.008206198	0.9996343	0	0.66	100	2e-09	0	105
0	2.687478e-05	0.33454993	0	-2.3492591e-17	-2.6071265e-17	4.712389	1.5707964	1.5707964	1.7579092e-05	-0.99295133	0	6.278243e-05	0.991174	0	4.915372e-07	0.999665	0	0.66	100	2e-09	0	105
0	-0.43141958	-0.029278921	0	-2.3554696e-17	-2.6070465e-17	4.712389	3.1415927	1.5707964	-0.31052178	-0.9442462	0	-0.9791971	-0.15213887	0	-0.008206312	0.9996343	0	0.66	100	2e-09	0	105
0	-2.0679796e-05	-0.32459182	0	-2.3575132e-17	-2.607295e-17	4.712389	4.712389	1.5707964	-1.6077413e-05	-0.9924584	0	-4.5764344e-05	-0.99251986	0	-3.7358947e-07	0.99972975	0	0.66	100	2e-09	0	105
0	0.6579172	0.27175552	0	-2.3395765e-17	-2.5846876e-17	0	0	1.5707964	0.9927044	0.0032086007	0	0.97433454	-0.18758908	0	0.006712673	0.999647	0	0.66	100	2e-09	0	110
0	0.65791637	0.27174732	0	-2.3395765e-17	-2.5846873e-17	0	1.5707964	1.5707964	0.99270433	0.0031977338	0	0.974332	-0.18760283	0	0.0067126486	0.9996471	0	0.66	100	2e-09	0	110
0	0.41239023	0.043847755	0	-2.3374708e-17	-2.5848279e-17	0	3.1415927	1.5707964	0.9882516	0.094871424	0	0.24706458	-0.9630296	0	0.001854406	0.9997014	0	0.66	100	2e-09	0	110
0	0.4124002	0.04381769	0	-2.3374708e-17	-2.5848276e-17	0	4.712389	1.5707964	0.98826045	0.09477601	0	0.24708559	-0.9630243	0	0.0018545383	0.9997014	0	0.66	100	2e-09	0	110
0	0.40510714	0.53144926	0	-2.3326968e-17	-2.5847144e-17	1.5707964	0	1.5707964	0.28177842	0.95301765	0	0.9274649	-0.35832742	0	0.006078177	0.9996575	0	0.66	100	2e-09	0	110
0	1.6613516e-05	0.9945692	0	-2.3197038e-17	-2.5847114e-17	1.5707964	1.5707964	1.5707964	1.085616e-05	0.992383	0	3.8740087e-05	0.99166834	0	2.4438228e-07	0.9996563	0	0.66	100	2e-09	0	110
0	-0.40507668	0.531432	0	-2.3326965e-17	-2.5847148e-17	1.5707964	3.1415927	1.5707964	-0.28171346	0.9530365	0	-0.92743856	-0.35839802	0	-0.0060779424	0.9996575	0	0.66	100	2e-09	0	110
0	-1.0849084e-05	0.33301568	0	-2.3391708e-17	-2.584835e-17	1.5707964	4.712389	1.5707964	-7.4903787e-06	0.992934	0	-2.4899342e-05	-0.99359107	0	-1.5764017e-07	0.9997042	0	0.66	100	2e-09	0	110
0	-0.41238612	0.043842755	0	-2.3374708e-17	-2.5848279e-17	3.1415927	0	1.5707964	-0.9882527	0.09485972	0	-0.24705133	-0.96303296	0	-0.0018543252	0.9997014	0	0.66	100	2e-09	0	110
0	-0.6579185	0.27175164	0	-2.3395765e-17	-2.5846871e-17	3.1415927	1.5707964	1.5707964	-0.9927044	0.0031784477	0	-0.97433805	-0.18757048	0	-0.006712704	0.99964696	0	0.66	100	2e-09	0	110
0	-0.6579169	0.27175343	0	-2.3395766e-17	-2.5846871e-17	3.1415927	3.1415927	1.5707964	-0.9927044	0.0032084042	0	-0.9743334	-0.18759507	0	-0.0067126616	0.999647	0	0.66	100	2e-09	0	110
0	-0.41238868	0.043817285	0	-2.3374708e-17	-2.5848279e-17	3.1415927	4.712389	1.5707964	-0.9882598	0.09478312	0	-0.24705188	-0.96303266	0	-0.0018543325	0.9997014	0	0.66	100	2e-09	0	110
0	0.43427834	-0.016825134	0	-2.3322159e-17	-2.5846853e-17	4.712389	0	1.5707964	0.3104653	-0.94426256	0	0.9858309	-0.10585912	0	0.006538675	0.9996463	0	0.66	100	2e-09	0	110
0	1.9159917e-05	0.33279	0	-2.3277102e-17	-2.5847151e-17	4.712389	1.5707964	1.5707964	9.219245e-06	-0.99295044	0	4.7965877e-05	0.9916627	0	2.9479588e-07	0.9996578	0	0.66	100	2e-09	0	110
0	-0.43427128	-0.016826786	0	-2.3322164e-17	-2.5846853e-17	4.712389	3.1415927	1.5707964	-0.31044415	-0.9442693	0	-0.98583114	-0.1058573	0	-0.0065386673	0.99964625	0	0.66	100	2e-09	0	110
0	-1.1993234e-05	-0.32842648	0	-2.3333413e-17	-2.5848377e-17	4.712389	4.712389	1.5707964	-9.27376e-06	-0.99245423	0	-2.6535114e-05	-0.99253035	0	-1.7102678e-07	0.999705	0	0.66	100	2e-09	0	110
0	0.6575979	0.2839867	0	-2.362002e-17	-2.6071621e-17	0	0	1.5707964	0.99270904	0.001155959	0	0.98028284	-0.15507485	0	0.005451607	0.99967873	0	0.66	100	2e-09	0	115
0	0.65759933	0.28398377	0	-2.362002e-17	-2.6071621e-17	0	1.5707964	1.5707964	0.99270916	0.0011214162	0	0.9802868	-0.15504913	0	0.005451635	0.99967873	0	0.66	100	2e-09	0	115
0	0.016793942	0.23789492	0	-2.3448587e-17	-2.607187e-17	0	3.1415927	1.5707964	0.99191856	0.040985852	0	-0.9368814	-0.33358902	0	-0.004471225	0.99968815	0	0.66	100	2e-09	0	115
0	0.4128859	0.047352675	0	-2.3592253e-17	-2.607252e-17	0	4.712389	1.5707964	0.98817873	0.09563938	0	0.2524719	-0.96154505	0	0.0015705206	0.9997132	0	0.66	100	2e-09	0	115
0	0.41177782	0.54901564	0	-2.3549824e-17	-2.6071772e-17	1.5707964	0	1.5707964	0.2886402	0.95100886	0	0.94522876	-0.3075508	0	0.0049887076	0.9996846	0	0.66	100	2e-09	0	115
0	9.409602e-06	0.9946749	0	-2.3434657e-17	-2.6071664e-17	1.5707964	1.5707964	1.5707964	6.390994e-06	0.99238646	0	2.180715e-05	0.99191433	0	1.11217055e-07	0.99968046	0	0.66	100	2e-09	0	115
0	-0.4117909	0.5490151	0	-2.3549824e-17	-2.6071772e-17	1.5707964	3.1415927	1.5707964	-0.2886765	0.9509981	0	-0.94523174	-0.30754146	0	-0.0049887383	0.9996846	0	0.66	100	2e-09	0	115
0	-6.4144406e-06	0.33497977	0	-2.3609336e-17	-2.6072566e-17	1.5707964	4.712389	1.5707964	-4.6145465e-06	0.99293494	0	-1.460951e-05	-0.9934694	0	-7.4069284e-08	0.999715	0	0.66	100	2e-09	0	115
0	-0.016802268	0.23787673	0	-2.3448587e-17	-2.607187e-17	3.1415927	0	1.5707964	-0.9919179	0.04100631	0	0.9368557	-0.33366418	0	0.004471091	0.9996882	0	0.66	100	2e-09	0	115
0	-0.65759647	0.28397688	0	-2.362002e-17	-2.6071618e-17	3.1415927	1.5707964	1.5707964	-0.9927091	0.0011538729	0	-0.98027855	-0.1551023	0	-0.0054515763	0.9996788	0	0.66	100	2e-09	0	115
0	-0.6575968	0.28397974	0	-2.3620017e-17	-2.6071621e-17	3.1415927	3.1415927	1.5707964	-0.99270886	0.0011557702	0	-0.9802796	-0.15509562	0	-0.0054515833	0.99967873	0	0.66	100	2e-09	0	115
0	-0.4129048	0.047352947	0	-2.3592253e-17	-2.607252e-17	3.1415927	4.712389	1.5707964	-0.98818	0.09562618	0	-0.25252724	-0.9615311	0	-0.0015707907	0.9997132	0	0.66	100	2e-09	0	115
0	0.43366715	-0.0019247046	0	-2.3547028e-17	-2.6071618e-17	4.712389	0	1.5707964	0.3100413	-0.9443973	0	0.9894148	-0.069732636	0	0.005256952	0.99967855	0	0.66	100	2e-09	0	115
0	6.9906614e-06	0.33483228	0	-2.3514032e-17	-2.6071697e-17	4.712389	1.5707964	1.5707964	5.2151668e-06	-0.99294984	0	1.573806e-05	0.9920052	0	7.87339e-08	0.9996817	0	0.66	100	2e-09	0	115
0	-0.43366927	-0.001924292	0	-2.354703e-17	-2.6071618e-17	4.712389	3.1415927	1.5707964	-0.31004775	-0.94439524	0	-0.9894148	-0.06973343	0	-0.0052569536	0.99967855	0	0.66	100	2e-09	0	115
0	-7.4575437e-06	-0.32459202	0	-2.3550338e-17	-2.6072586e-17	4.712389	4.712389	1.5707964	-5.635147e-06	-0.99245113	0	-1.671416e-05	-0.9925138	0	-8.633303e-08	0.9997158	0	0.66	100	2e-09	0	115
0	0.660416	0.2895645	0	-2.3390583e-17	-2.5847419e-17	0	0	1.5707964	0.9927099	-0.000102404534	0	0.98391473	-0.1308722	0	0.004623385	0.9996682	0	0.66	100	2e-09	0	120
0	0.66041553	0.2895533	0	-2.3390585e-17	-2.5847419e-17	0	1.5707964	1.5707964	0.9927099	-0.00012695989	0	0.9839135	-0.1308813	0	0.004623378	0.99966806	0	0.66	100	2e-09	0	120
0	0.009489622	0.25700998	0	-2.321803e-17	-2.584757e-17	0	3.1415927	1.5707964	0.99237704	0.027756786	0	-0.96009463	-0.25640094	0	-0.0038135392	0.99967396	0	0.66	100	2e-09	0	120
0	0.4157962	0.04540489	0	-2.3357077e-17	-2.5848067e-17	0	4.712389	1.5707964	0.98808944	0.09657502	0	0.25791845	-0.96005356	0	0.0013806592	0.9996932	0	0.66	100	2e-09	0	120
