# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	m.region4x ()	m.region4y ()	m.region4z ()	roundness ()	size (m)	Cell_size (m)
0	0.6181566	0.07412942	0	-2.2630692e-17	-2.584775e-17	0.7853982	0	0.7853982	0.67036974	0.72905934	0	0.9924279	-0.017431535	0	0.8084129	0.5731455	0	-0.0009850573	-0.99968076	0	0.66	1e-07	2e-09
0	0.28056303	0.13095012	0	-2.2486101e-17	-2.5847718e-17	0.7853982	0	2.3561945	0.66542786	0.73353654	0	0.9905901	-0.06072074	0	-0.52828914	0.83770055	0	-0.0012789153	-0.9996796	0	0.66	1e-07	2e-09
0	0.28151572	-0.24063046	0	-2.249739e-17	-2.5847801e-17	0.7853982	0	3.9269907	0.65827477	0.7399684	0	0.9829816	0.14227729	0	-0.51071304	-0.84877247	0	-0.00036686222	-0.9996829	0	0.66	1e-07	2e-09
0	0.61243325	-0.19099753	0	-2.263823e-17	-2.5847798e-17	0.7853982	0	5.497787	0.66368914	0.73514754	0	0.9891131	0.08686776	0	0.7949761	-0.5915266	0	-0.00036027687	-0.9996829	0	0.66	1e-07	2e-09
0	0.6182258	0.07414322	0	-2.263069e-17	-2.584775e-17	0.7853982	1.5707964	0.7853982	0.6704208	0.7290123	0	0.9924342	-0.017020777	0	0.808631	0.5728408	0	-0.0009848789	-0.99968076	0	0.66	1e-07	2e-09
0	0.009710004	0.33331892	0	-2.2460875e-17	-2.5847818e-17	0.7853982	1.5707964	2.3561945	0.7458795	0.6515937	0	0.01092574	0.99222744	0	-0.7176329	0.6825293	0	-0.00041964455	-0.99968356	0	0.66	1e-07	2e-09
0	0.03668793	-0.028169695	0	-2.2519727e-17	-2.5847859e-17	0.7853982	1.5707964	3.9269907	0.7325659	0.66647357	0	0.034485757	0.99251574	0	-0.6210325	-0.7715008	0	0.0003548443	-0.99968517	0	0.66	1e-07	2e-09
0	0.6124807	-0.19092037	0	-2.2638228e-17	-2.5847798e-17	0.7853982	1.5707964	5.497787	0.6636325	0.73519874	0	0.9891186	0.086802974	0	0.7952162	-0.5912067	0	-0.0003604183	-0.9996829	0	0.66	1e-07	2e-09
0	0.10188071	0.084493734	0	-2.2400061e-17	-2.5847746e-17	0.7853982	3.1415927	0.7853982	0.7643967	0.62974334	0	-0.9884869	-0.07658106	0	0.6194106	0.77228516	0	0.0005188336	-0.9996809	0	0.66	1e-07	2e-09
0	-0.24808407	0.06201148	0	-2.2477784e-17	-2.5847745e-17	0.7853982	3.1415927	2.3561945	0.76136583	0.63334686	0	-0.9915413	-0.023382308	0	-0.7674526	0.6265162	0	0.00043967433	-0.9996807	0	0.66	1e-07	2e-09
0	-0.24471124	-0.21595727	0	-2.2485873e-17	-2.5847778e-17	0.7853982	3.1415927	3.9269907	0.75212395	0.6442453	0	-0.9837882	0.13091996	0	-0.7531333	-0.6435952	0	0.0011168341	-0.9996819	0	0.66	1e-07	2e-09
0	0.10304559	-0.22448485	0	-2.241138e-17	-2.584779e-17	0.7853982	3.1415927	5.497787	0.75722265	0.6383023	0	-0.96257806	0.24436322	0	0.6047669	-0.78392595	0	0.0013263186	-0.99968237	0	0.66	1e-07	2e-09
0	0.6180981	0.07406357	0	-2.2630689e-17	-2.5847751e-17	0.7853982	4.712389	0.7853982	0.670177	0.72923696	0	0.9924204	-0.01792124	0	0.8083806	0.5731906	0	-0.0009850392	-0.99968076	0	0.66	1e-07	2e-09
0	0.015395806	-0.1164996	0	-2.2493168e-17	-2.5847672e-17	0.7853982	4.712389	2.3561945	0.65240234	0.74506444	0	0.041687164	-0.99114984	0	-0.63195014	0.7625312	0	-0.00045376315	-0.99967796	0	0.66	1e-07	2e-09
0	-0.01071114	-0.4788005	0	-2.2448959e-17	-2.5847717e-17	0.7853982	4.712389	3.9269907	0.6312585	0.763088	0	0.029469341	-0.99156433	0	-0.70340365	-0.69717973	0	0.0003334756	-0.99967957	0	0.66	1e-07	2e-09
0	0.6124703	-0.19078599	0	-2.2638228e-17	-2.5847801e-17	0.7853982	4.712389	5.497787	0.66374946	0.73509294	0	0.98905176	0.087573625	0	0.7951244	-0.59132904	0	-0.0003603235	-0.9996828	0	0.66	1e-07	2e-09
0	0.28407902	0.03598922	0	-2.2601362e-17	-2.5847733e-17	2.3561945	0	0.7853982	-0.62603736	0.76779056	0	0.96813786	-0.22291721	0	0.7989767	0.5860719	0	-0.0008480082	-0.99968034	0	0.66	1e-07	2e-09
0	-0.39813784	-0.16996792	0	-2.2589416e-17	-2.5847672e-17	2.3561945	0	2.3561945	-0.8128499	0.5666678	0	-0.09814843	-0.9881656	0	-0.67449903	0.7251481	0	-0.00021166823	-0.99967796	0	0.66	1e-07	2e-09
0	-0.051864747	-0.29857272	0	-2.2483396e-17	-2.584778e-17	2.3561945	0	3.9269907	-0.64475113	0.75209457	0	0.9855948	-0.119902335	0	-0.53736955	-0.831923	0	-0.0002560244	-0.99968207	0	0.66	1e-07	2e-09
0	0.2876535	-0.23168439	0	-2.2609678e-17	-2.5847784e-17	2.3561945	0	5.497787	-0.61800426	0.77429795	0	0.98739946	-0.103639595	0	0.7854854	-0.60398763	0	-0.00022866434	-0.9996823	0	0.66	1e-07	2e-09
0	0.28408408	0.035983834	0	-2.2601362e-17	-2.5847733e-17	2.3561945	1.5707964	0.7853982	-0.6260202	0.76780474	0	0.9681324	-0.22294185	0	0.79898506	0.5860607	0	-0.0008479964	-0.99968034	0	0.66	1e-07	2e-09
0	-0.38775912	0.3459358	0	-2.2389802e-17	-2.5847816e-17	2.3561945	1.5707964	2.3561945	-0.6375267	0.75763524	0	-0.1488327	0.9816721	0	-0.7584181	0.6371598	0	-0.000116243886	-0.99968356	0	0.66	1e-07	2e-09
0	-0.3403648	-0.0016067302	0	-2.2458452e-17	-2.5847854e-17	2.3561945	1.5707964	3.9269907	-0.63491035	0.7599064	0	-0.08181345	0.9895989	0	-0.6394445	-0.75631475	0	0.0005865075	-0.9996849	0	0.66	1e-07	2e-09
0	-0.2974352	-0.36452198	0	-2.2452539e-17	-2.584775e-17	2.3561945	1.5707964	5.497787	-0.8168097	0.5605204	0	-0.96709955	-0.2279776	0	0.58906275	-0.795838	0	0.001470945	-0.99968094	0	0.66	1e-07	2e-09
0	0.03068994	-0.16011435	0	-2.2608216e-17	-2.5847685e-17	2.3561945	3.1415927	0.7853982	-0.76774627	0.6260775	0	0.18443522	-0.9760922	0	0.7075493	0.69300485	0	-0.00027471088	-0.9996784	0	0.66	1e-07	2e-09
0	-0.6384479	-0.046218835	0	-2.2541515e-17	-2.5847722e-17	2.3561945	3.1415927	2.3561945	-0.841428	0.5233747	0	-0.9352618	-0.3388802	0	-0.77427375	0.6180932	0	0.00052654574	-0.9996799	0	0.66	1e-07	2e-09
0	-0.64509803	-0.31513005	0	-2.2546924e-17	-2.584775e-17	2.3561945	3.1415927	3.9269907	-0.8333462	0.53596723	0	-0.9774611	-0.17590217	0	-0.7677336	-0.6262507	0	0.0012268666	-0.99968094	0	0.66	1e-07	2e-09
0	-0.2974705	-0.3643704	0	-2.2452539e-17	-2.584775e-17	2.3561945	3.1415927	5.497787	-0.8167436	0.56061536	0	-0.9672293	-0.22740534	0	0.5889844	-0.7958965	0	0.0014710734	-0.9996809	0	0.66	1e-07	2e-09
0	0.030682696	-0.16010614	0	-2.2608216e-17	-2.5847682e-17	2.3561945	4.712389	0.7853982	-0.76772904	0.6260984	0	0.18440573	-0.97609746	0	0.7075325	0.6930219	0	-0.00027469455	-0.99967825	0	0.66	1e-07	2e-09
0	-0.3982534	-0.1700211	0	-2.2589414e-17	-2.5847672e-17	2.3561945	4.712389	2.3561945	-0.81292456	0.5665618	0	-0.09839734	-0.98814166	0	-0.6746382	0.7250187	0	-0.00021140125	-0.99967796	0	0.66	1e-07	2e-09
0	-0.41811472	-0.5228505	0	-2.25589e-17	-2.584771e-17	2.3561945	4.712389	3.9269907	-0.81827104	0.5589167	0	-0.12261498	-0.98511213	0	-0.72512174	-0.6747339	0	0.0005507362	-0.9996794	0	0.66	1e-07	2e-09
0	0.052007698	-0.4928688	0	-2.2579466e-17	-2.5847722e-17	2.3561945	4.712389	5.497787	-0.76694924	0.627092	0	0.21939766	-0.9687322	0	0.75630516	-0.6397894	0	0.00041241624	-0.99967986	0	0.66	1e-07	2e-09
0	-0.0092144795	-0.37798193	0	-2.2442164e-17	-2.5847869e-17	3.9269907	0	0.7853982	-0.6454587	-0.75114334	0	-0.04497242	0.99089533	0	0.6528691	-0.744669	0	0.00044818854	-0.9996854	0	0.66	1e-07	2e-09
