# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	a4 (rad)	a5 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	m.region4x ()	m.region4y ()	m.region4z ()	m.region5x ()	m.region5y ()	m.region5z ()	roundness ()	size (m)	Cell_size (m)
0	0.7798169	0.22134545	0	-2.2066203e-17	-2.603769e-17	0	0	1.5707964	0	0	0.9827024	-0.13290517	0	0.967487	0.21933734	0	-0.00058804604	0.99960417	0	0.9766418	-0.17384908	0	0.9728412	0.19454005	0	0.66	100	1e-09
0	0.60923743	0.3596498	0	-2.2090153e-17	-2.6037702e-17	0	0	1.5707964	0	1.5707964	0.9812216	-0.14352027	0	0.98206574	0.13768697	0	-0.00036383045	0.9996047	0	0.9753066	-0.18131867	0	0.10795719	0.98579633	0	0.66	100	1e-09
0	0.39603573	0.17451501	0	-2.1985852e-17	-2.6037708e-17	0	0	1.5707964	0	3.1415927	0.9812227	-0.14319268	0	0.9907733	-0.024521539	0	-0.00030067508	0.99960494	0	0.97597945	-0.17750594	0	-0.9674962	0.21819024	0	0.66	100	1e-09
0	0.61923194	-0.042907827	0	-2.1945705e-17	-2.6037695e-17	0	0	1.5707964	0	4.712389	0.9833764	-0.12734032	0	0.9892958	0.061233163	0	-0.00062306883	0.9996044	0	0.9776865	-0.1676824	0	0.14642401	-0.98035395	0	0.66	100	1e-09
0	0.605631	0.48760045	0	-2.1967748e-17	-2.6037694e-17	0	0	1.5707964	1.5707964	0	0.98985773	0.049053118	0	0.96828777	0.21541587	0	-0.00080041995	0.99960434	0	0.09662778	0.98643994	0	0.9741823	0.18748881	0	0.66	100	1e-09
0	0.4321488	0.6288318	0	-2.1992148e-17	-2.6037703e-17	0	0	1.5707964	1.5707964	1.5707964	0.9902429	0.039936714	0	0.9829244	0.130822	0	-0.00057466875	0.99960476	0	0.087784424	0.98722523	0	0.10036687	0.98657	0	0.66	100	1e-09
0	0.21605815	0.4407728	0	-2.189447e-17	-2.6037713e-17	0	0	1.5707964	1.5707964	3.1415927	0.98978275	0.049763065	0	0.99033445	-0.037961062	0	-0.00051561015	0.9996051	0	0.07120048	0.9885403	0	-0.9705113	0.20391633	0	0.66	100	1e-09
0	0.43836105	0.22352976	0	-2.1854155e-17	-2.6037702e-17	0	0	1.5707964	1.5707964	4.712389	0.9889587	0.06471816	0	0.9899643	0.048171937	0	-0.0008345887	0.9996045	0	0.0829249	0.98767674	0	0.13079183	-0.98252267	0	0.66	100	1e-09
0	0.38873765	0.27523118	0	-2.200841e-17	-2.6037694e-17	0	0	1.5707964	3.1415927	0	0.983853	0.12114678	0	0.9643784	0.23269464	0	-0.00074863207	0.9996044	0	-0.9760864	-0.17450854	0	0.9722918	0.19721864	0	0.66	100	1e-09
0	0.21615942	0.41254386	0	-2.2038315e-17	-2.6037707e-17	0	0	1.5707964	3.1415927	1.5707964	0.9849833	0.11118873	0	0.98106	0.14447497	0	-0.000522257	0.99960494	0	-0.9751153	-0.18005516	0	0.09039136	0.9875059	0	0.66	100	1e-09
0	0.0056181275	0.22745608	0	-2.1942638e-17	-2.6037717e-17	0	0	1.5707964	3.1415927	3.1415927	0.98388904	0.120601386	0	0.99078107	-0.022488058	0	-0.00046623294	0.99960524	0	-0.9768227	-0.17029324	0	-0.9692906	0.20985505	0	0.66	100	1e-09
0	0.22212762	0.010508417	0	-2.1894832e-17	-2.6037702e-17	0	0	1.5707964	3.1415927	4.712389	0.98195666	0.13597737	0	0.9890885	0.06379103	0	-0.00078514754	0.9996047	0	-0.9780524	-0.16281499	0	0.11843036	-0.984016	0	0.66	100	1e-09
0	0.6018709	0.07771921	0	-2.2092318e-17	-2.603769e-17	0	0	1.5707964	4.712389	0	0.98993737	-0.055441648	0	0.9647746	0.2312162	0	-0.00056474976	0.99960417	0	0.08371701	-0.98806745	0	0.97149014	0.20128487	0	0.66	100	1e-09
0	0.42924455	0.21612264	0	-2.2120466e-17	-2.6037702e-17	0	0	1.5707964	4.712389	1.5707964	0.98943925	-0.06367998	0	0.980785	0.14670573	0	-0.0003424806	0.9996047	0	0.07645836	-0.98863924	0	0.0998826	0.98662204	0	0.66	100	1e-09
0	0.21601741	0.031644024	0	-2.2018244e-17	-2.6037712e-17	0	0	1.5707964	4.712389	3.1415927	0.98962	-0.060038734	0	0.9909575	-0.0142845055	0	-0.0002825137	0.999605	0	0.06639306	-0.9893404	0	-0.966601	0.22227877	0	0.66	100	1e-09
0	0.4381648	-0.18935351	0	-2.1972205e-17	-2.6037699e-17	0	0	1.5707964	4.712389	4.712389	0.9902929	-0.047599424	0	0.9886013	0.0716439	0	-0.0006013593	0.9996044	0	0.07651494	-0.98862916	0	0.13601631	-0.9817872	0	0.66	100	1e-09
0	0.63665164	0.33592287	0	-2.2053229e-17	-2.6037634e-17	0	1.5707964	1.5707964	0	0	0.9668051	-0.22400577	0	0.2555867	0.95927376	0	-0.00032370817	0.99960214	0	0.976595	-0.17401049	0	0.9845947	0.118754424	0	0.66	100	1e-09
0	0.50284725	0.49450386	0	-2.2032406e-17	-2.6037647e-17	0	1.5707964	1.5707964	0	1.5707964	0.96411985	-0.23555782	0	0.3783145	0.9196596	0	-0.00018548677	0.9996025	0	0.97488815	-0.18351409	0	0.19709936	0.972329	0	0.66	100	1e-09
0	0.23214307	0.33741447	0	-2.1904315e-17	-2.6037642e-17	0	1.5707964	1.5707964	0	3.1415927	0.95423466	-0.27417436	0	0.20730656	0.9699827	0	-3.3510445e-05	0.9996023	0	0.97549736	-0.18006119	0	-0.9762897	0.17172277	0	0.66	100	1e-09
0	0.45129728	0.1208421	0	-2.1942152e-17	-2.6037629e-17	0	1.5707964	1.5707964	0	4.712389	0.96058196	-0.25026658	0	0.086002536	0.9873918	0	-0.0002572887	0.99960184	0	0.97755915	-0.16830719	0	0.23259991	-0.9642094	0	0.66	100	1e-09
0	0.4557735	0.60756874	0	-2.196103e-17	-2.6037639e-17	0	1.5707964	1.5707964	1.5707964	0	0.99057335	-0.02510762	0	0.22707583	0.96609926	0	-0.00052453653	0.9996023	0	0.07606506	0.9881751	0	0.9856778	0.109074585	0	0.66	100	1e-09
0	0.31800485	0.771134	0	-2.193862e-17	-2.6037652e-17	0	1.5707964	1.5707964	1.5707964	1.5707964	0.9900784	-0.040032	0	0.33960074	0.9339541	0	-0.00037875492	0.99960274	0	0.06995628	0.9885881	0	0.19076756	0.9735567	0	0.66	100	1e-09
0	0.04560023	0.61114454	0	-2.1818435e-17	-2.6037647e-17	0	1.5707964	1.5707964	1.5707964	3.1415927	0.98891234	-0.061148696	0	0.1698261	0.9769597	0	-0.00023543215	0.9996025	0	0.04921609	0.98981243	0	-0.979718	0.15049686	0	0.66	100	1e-09
0	0.26400045	0.39565578	0	-2.1857566e-17	-2.6037634e-17	0	1.5707964	1.5707964	1.5707964	4.712389	0.99027556	-0.03248529	0	0.054775927	0.9895313	0	-0.00045931336	0.99960214	0	0.05839855	0.98936284	0	0.21701166	-0.96773213	0	0.66	100	1e-09
0	0.24281327	0.39646122	0	-2.2008285e-17	-2.6037646e-17	0	1.5707964	1.5707964	3.1415927	0	0.988674	0.067664355	0	0.21806814	0.9681021	0	-0.00047385623	0.9996024	0	-0.9772542	-0.16766384	0	0.9850522	0.11460116	0	0.66	100	1e-09
0	0.10333228	0.5574171	0	-2.1991124e-17	-2.6037652e-17	0	1.5707964	1.5707964	3.1415927	1.5707964	0.98969406	0.04945528	0	0.32522875	0.93886304	0	-0.00032143475	0.99960274	0	-0.9756967	-0.17678268	0	0.1777567	0.97594714	0	0.66	100	1e-09
0	-0.16107647	0.40038154	0	-2.187479e-17	-2.603765e-17	0	1.5707964	1.5707964	3.1415927	3.1415927	0.9901605	0.035935827	0	0.16116631	0.9783692	0	-0.00018582148	0.9996026	0	-0.97742796	-0.16667609	0	-0.9790955	0.1546762	0	0.66	100	1e-09
0	0.05164385	0.18559806	0	-2.1906307e-17	-2.6037637e-17	0	1.5707964	1.5707964	3.1415927	4.712389	0.9887475	0.06552384	0	0.04655807	0.98992985	0	-0.00041088136	0.99960214	0	-0.9790882	-0.15629984	0	0.20241262	-0.9707656	0	0.66	100	1e-09
0	0.45698383	0.1941985	0	-2.2083929e-17	-2.6037637e-17	0	1.5707964	1.5707964	4.712389	0	0.98410684	-0.12332546	0	0.24906102	0.9609215	0	-0.00030420622	0.99960214	0	0.06798368	-0.9892378	0	0.9840715	0.12303219	0	0.66	100	1e-09
0	0.31963173	0.35485774	0	-2.2067033e-17	-2.6037647e-17	0	1.5707964	1.5707964	4.712389	1.5707964	0.9826512	-0.13469356	0	0.36544237	0.924637	0	-0.00016258395	0.9996026	0	0.063320376	-0.9895402	0	0.18690735	0.9742826	0	0.66	100	1e-09
0	0.05059872	0.19932894	0	-2.194236e-17	-2.6037642e-17	0	1.5707964	1.5707964	4.712389	3.1415927	0.9792859	-0.15781178	0	0.20049424	0.9713475	0	-2.0649055e-05	0.99960244	0	0.049171608	-0.99031615	0	-0.97593755	0.17382266	0	0.66	100	1e-09
0	0.2683051	-0.02130553	0	-2.1974177e-17	-2.6037629e-17	0	1.5707964	1.5707964	4.712389	4.712389	0.98229235	-0.13729812	0	0.08042671	0.9878295	0	-0.0002419588	0.9996019	0	0.057981692	-0.98985094	0	0.22106658	-0.96681	0	0.66	100	1e-09
0	0.6365011	0.3355038	0	-2.2053232e-17	-2.6037634e-17	0	3.1415927	1.5707964	0	0	0.96651936	-0.22527732	0	0.2552683	0.95935583	0	-0.00032293514	0.99960214	0	0.9764426	-0.17488933	0	0.98459786	0.11872754	0	0.66	100	1e-09
0	0.5028566	0.49450043	0	-2.2032409e-17	-2.6037647e-17	0	3.1415927	1.5707964	0	1.5707964	0.96412045	-0.23555528	0	0.37834838	0.91964626	0	-0.00018550908	0.9996026	0	0.9748873	-0.1835178	0	0.19711216	0.97232646	0	0.66	100	1e-09
0	0.23212713	0.33736658	0	-2.1904315e-17	-2.6037642e-17	0	3.1415927	1.5707964	0	3.1415927	0.9542315	-0.274186	0	0.20727001	0.96998996	0	-3.3509306e-05	0.9996023	0	0.97549766	-0.18005954	0	-0.97633004	0.17148624	0	0.66	100	1e-09
0	0.45133638	0.1208547	0	-2.1942155e-17	-2.6037629e-17	0	3.1415927	1.5707964	0	4.712389	0.9605873	-0.25024527	0	0.08602603	0.9873899	0	-0.0002573279	0.99960184	0	0.97756	-0.1683022	0	0.23276608	-0.9641708	0	0.66	100	1e-09
0	0.45577034	0.6075565	0	-2.1961027e-17	-2.6037642e-17	0	3.1415927	1.5707964	1.5707964	0	0.9905721	-0.02515616	0	0.22705086	0.96610487	0	-0.0005245024	0.9996023	0	0.07607354	0.9881743	0	0.9856797	0.10905728	0	0.66	100	1e-09
0	0.31799832	0.77113545	0	-2.1938623e-17	-2.603765e-17	0	3.1415927	1.5707964	1.5707964	1.5707964	0.99007833	-0.040033355	0	0.33958405	0.93395996	0	-0.00037874194	0.9996027	0	0.06995572	0.9885882	0	0.19075222	0.9735596	0	0.66	100	1e-09
0	0.04560207	0.61114097	0	-2.1818435e-17	-2.6037647e-17	0	3.1415927	1.5707964	1.5707964	3.1415927	0.98891246	-0.061146695	0	0.16983572	0.97695804	0	-0.00023544139	0.9996026	0	0.04921824	0.9898124	0	-0.97972065	0.1504786	0	0.66	100	1e-09
0	0.26395398	0.39563742	0	-2.1857563e-17	-2.6037637e-17	0	3.1415927	1.5707964	1.5707964	4.712389	0.99027395	-0.032534994	0	0.054728646	0.9895337	0	-0.00045924127	0.9996021	0	0.05841593	0.9893619	0	0.21681075	-0.9677755	0	0.66	100	1e-09
0	0.24282284	0.39648107	0	-2.2008285e-17	-2.6037642e-17	0	3.1415927	1.5707964	3.1415927	0	0.98866844	0.067747176	0	0.21812499	0.9680897	0	-0.0004739251	0.9996024	0	-0.9772546	-0.16766146	0	0.98504925	0.11462774	0	0.66	100	1e-09
0	0.103330754	0.5574171	0	-2.1991123e-17	-2.6037652e-17	0	3.1415927	1.5707964	3.1415927	1.5707964	0.98969406	0.04945574	0	0.3252293	0.9388629	0	-0.000321434	0.99960274	0	-0.9756963	-0.17678478	0	0.17774825	0.97594863	0	0.66	100	1e-09
0	-0.16107756	0.40038228	0	-2.187479e-17	-2.6037647e-17	0	3.1415927	1.5707964	3.1415927	3.1415927	0.99016047	0.035936512	0	0.16116041	0.9783702	0	-0.00018581748	0.9996026	0	-0.9774278	-0.16667652	0	-0.9790951	0.1546788	0	0.66	100	1e-09
0	0.051627677	0.18558978	0	-2.1906305e-17	-2.6037637e-17	0	3.1415927	1.5707964	3.1415927	4.712389	0.98874855	0.06550856	0	0.046560597	0.9899297	0	-0.00041086835	0.9996021	0	-0.9790868	-0.15630865	0	0.20232686	-0.9707829	0	0.66	100	1e-09
0	0.4569764	0.19419855	0	-2.208393e-17	-2.6037639e-17	0	3.1415927	1.5707964	4.712389	0	0.9841088	-0.123309575	0	0.24903792	0.9609273	0	-0.00030420139	0.9996022	0	0.067965545	-0.989239	0	0.98407394	0.1230119	0	0.66	100	1e-09
0	0.31961608	0.3548616	0	-2.2067035e-17	-2.603765e-17	0	3.1415927	1.5707964	4.712389	1.5707964	0.982651	-0.13469386	0	0.3654144	0.9246476	0	-0.00016255998	0.9996026	0	0.0633185	-0.98954034	0	0.18685898	0.9742917	0	0.66	100	1e-09
0	0.050595723	0.19933066	0	-2.194236e-17	-2.6037642e-17	0	3.1415927	1.5707964	4.712389	3.1415927	0.9792853	-0.15781543	0	0.20047839	0.9713507	0	-2.0636307e-05	0.9996024	0	0.049171466	-0.99031615	0	-0.97593594	0.17383176	0	0.66	100	1e-09
0	0.268311	-0.021304453	0	-2.1974177e-17	-2.6037632e-17	0	3.1415927	1.5707964	4.712389	4.712389	0.9822926	-0.13729668	0	0.08043506	0.9878288	0	-0.00024196702	0.9996019	0	0.057982124	-0.98985094	0	0.22108722	-0.9668054	0	0.66	100	1e-09
0	0.7797961	0.22119847	0	-2.2066203e-17	-2.603769e-17	0	4.712389	1.5707964	0	0	0.98270863	-0.1328564	0	0.96757805	0.21892501	0	-0.00058788556	0.99960417	0	0.97651285	-0.17459425	0	0.97276866	0.19491379	0	0.66	100	1e-09
0	0.6091913	0.35964924	0	-2.2090151e-17	-2.6037699e-17	0	4.712389	1.5707964	0	1.5707964	0.9812163	-0.14355753	0	0.98206604	0.13768534	0	-0.00036378656	0.99960464	0	0.97530866	-0.18130676	0	0.10772919	0.9858206	0	0.66	100	1e-09
0	0.39603794	0.17452581	0	-2.1985849e-17	-2.6037708e-17	0	4.712389	1.5707964	0	3.1415927	0.981223	-0.14319089	0	0.99077344	-0.024518318	0	-0.00030067138	0.99960494	0	0.9759794	-0.17750572	0	-0.9674856	0.21823904	0	0.66	100	1e-09
0	0.61922604	-0.042911332	0	-2.1945705e-17	-2.6037695e-17	0	4.712389	1.5707964	0	4.712389	0.98337656	-0.12733933	0	0.98929656	0.06121966	0	-0.00062306307	0.9996044	0	0.9776864	-0.16768299	0	0.1463935	-0.98035836	0	0.66	100	1e-09
0	0.6056323	0.48761	0	-2.1967748e-17	-2.6037695e-17	0	4.712389	1.5707964	1.5707964	0	0.9898574	0.049059797	0	0.9682861	0.2154237	0	-0.0008004175	0.99960434	0	0.09664285	0.9864385	0	0.9741757	0.18752389	0	0.66	100	1e-09
0	0.43214217	0.6288375	0	-2.1992147e-17	-2.6037703e-17	0	4.712389	1.5707964	1.5707964	1.5707964	0.9902427	0.039940935	0	0.9829216	0.13084358	0	-0.0005746713	0.99960476	0	0.08778225	0.98722553	0	0.10033879	0.98657286	0	0.66	100	1e-09
0	0.21605693	0.44077855	0	-2.1894467e-17	-2.6037713e-17	0	4.712389	1.5707964	1.5707964	3.1415927	0.98978275	0.04976387	0	0.99033505	-0.0379445	0	-0.00051561487	0.9996051	0	0.07119166	0.988541	0	-0.97050905	0.20392723	0	0.66	100	1e-09
0	0.43835565	0.22352736	0	-2.1854155e-17	-2.6037699e-17	0	4.712389	1.5707964	1.5707964	4.712389	0.9889587	0.0647214	0	0.9899647	0.04815963	0	-0.0008345847	0.99960464	0	0.0829224	0.9876768	0	0.13076712	-0.9825258	0	0.66	100	1e-09
0	0.38873762	0.2752253	0	-2.2008412e-17	-2.6037695e-17	0	4.712389	1.5707964	3.1415927	0	0.9838571	0.121113524	0	0.96437	0.23272991	0	-0.0007486031	0.9996044	0	-0.97607064	-0.1745995	0	0.9722801	0.19727817	0	0.66	100	1e-09
