# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	a4 (rad)	a5 (rad)	a6 (rad)	a7 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	m.region4x ()	m.region4y ()	m.region4z ()	m.region5x ()	m.region5y ()	m.region5z ()	m.region6x ()	m.region6y ()	m.region6z ()	m.region7x ()	m.region7y ()	m.region7z ()	roundness ()	size (m)	Cell_size (m)
0	0.83337325	0.23303872	0	-2.0059457e-17	-2.5847775e-17	0	0	1.5707964	0	0	0	0	0.99227613	-0.0135465115	0	0.97056305	0.21073471	0	-0.0006917672	0.999682	0	0.98767495	-0.09680942	0	0.92298836	0.37335265	0	0.9908201	-0.057035696	0	0.9699823	0.21489339	0	0.66	100	2e-09
0	0.720398	0.31976143	0	-2.007532e-17	-2.5847778e-17	0	0	1.5707964	0	0	0	1.5707964	0.9921805	-0.019515552	0	0.97252065	0.20143034	0	-0.0006434047	0.99968207	0	0.9863649	-0.109667875	0	0.96317387	0.24631557	0	0.99044603	-0.063292496	0	0.1387433	0.9833779	0	0.66	100	2e-09
0	0.56866163	0.19012046	0	-1.9970995e-17	-2.5847778e-17	0	0	1.5707964	0	0	0	3.1415927	0.9921677	-0.019798087	0	0.97645855	0.18109412	0	-0.00068800175	0.999682	0	0.98693347	-0.10417557	0	0.9909041	0.05655774	0	0.9910566	-0.052341413	0	-0.9562013	0.2698244	0	0.66	100	2e-09
0	0.73308265	0.040717173	0	-1.9938044e-17	-2.5847773e-17	0	0	1.5707964	0	0	0	4.712389	0.9923096	-0.009904427	0	0.97310233	0.19852802	0	-0.0007773153	0.99968183	0	0.9888945	-0.08292116	0	0.974393	0.1918397	0	0.9915341	-0.042213153	0	0.21212232	-0.9699907	0	0.66	100	2e-09
0	0.66642356	0.45849442	0	-2.0100512e-17	-2.5847778e-17	0	0	1.5707964	0	0	1.5707964	0	0.9883713	0.09039256	0	0.9651478	0.23470011	0	-0.000775635	0.999682	0	0.9534894	0.27855584	0	0.90949935	0.40615043	0	-0.1208138	0.98547167	0	0.97004634	0.21450828	0	0.66	100	2e-09
0	0.5519798	0.5443916	0	-2.0119228e-17	-2.5847778e-17	0	0	1.5707964	0	0	1.5707964	1.5707964	0.9887537	0.085979864	0	0.96725607	0.22576953	0	-0.00073146494	0.999682	0	0.95610774	0.26918903	0	0.9593362	0.26118127	0	-0.13312307	0.9839314	0	0.12625927	0.9850076	0	0.66	100	2e-09
0	0.4007838	0.41216004	0	-2.0020575e-17	-2.5847778e-17	0	0	1.5707964	0	0	1.5707964	3.1415927	0.9885937	0.08778089	0	0.97155017	0.20621584	0	-0.000779012	0.999682	0	0.9530468	0.2800389	0	0.990119	0.06817722	0	-0.13820505	0.983256	0	-0.95883876	0.25996965	0	0.66	100	2e-09
0	0.5633317	0.26240024	0	-1.9983296e-17	-2.5847773e-17	0	0	1.5707964	0	0	1.5707964	4.712389	0.9878154	0.09637462	0	0.9676482	0.22403005	0	-0.00086588546	0.99968183	0	0.9474027	0.2990406	0	0.9713736	0.20661321	0	-0.11886024	0.9857073	0	0.18880856	-0.9746459	0	0.66	100	2e-09
0	0.54603165	0.25160643	0	-2.0133316e-17	-2.5847778e-17	0	0	1.5707964	0	0	3.1415927	0	0.9923588	-0.010130882	0	0.96713305	0.22623582	0	-0.0006466778	0.9996819	0	0.989979	-0.07322651	0	0.89850867	0.43073615	0	-0.99216497	-0.03995172	0	0.96705395	0.22790006	0	0.66	100	2e-09
0	0.43344703	0.33412725	0	-2.015625e-17	-2.5847778e-17	0	0	1.5707964	0	0	3.1415927	1.5707964	0.9923048	-0.014621702	0	0.96894956	0.21827255	0	-0.00060578634	0.9996821	0	0.98933643	-0.081705704	0	0.95570236	0.27458575	0	-0.99204475	-0.043031886	0	0.12048646	0.9857095	0	0.66	100	2e-09
0	0.2852473	0.20549369	0	-2.0056329e-17	-2.5847775e-17	0	0	1.5707964	0	0	3.1415927	3.1415927	0.9922924	-0.014977194	0	0.9728817	0.19976501	0	-0.0006511079	0.99968207	0	0.9896888	-0.07707708	0	0.98870265	0.086678624	0	-0.99238247	-0.034109816	0	-0.953801	0.27849436	0	0.66	100	2e-09
0	0.44464254	0.05270114	0	-2.001228e-17	-2.5847775e-17	0	0	1.5707964	0	0	3.1415927	4.712389	0.99237645	-0.007086004	0	0.96941465	0.21613878	0	-0.0007374723	0.9996819	0	0.99069744	-0.06224197	0	0.9671606	0.22609042	0	-0.99254465	-0.028566107	0	0.18613075	-0.975109	0	0.66	100	2e-09
0	0.5284871	-0.038658246	0	-2.0241679e-17	-2.5847773e-17	0	0	1.5707964	0	0	4.712389	0	0.95980066	-0.2551644	0	0.9603697	0.2542861	0	-0.0004185024	0.99968183	0	-0.05538986	-0.9911713	0	0.8708176	0.48600203	0	-0.002689997	-0.9927239	0	0.96691984	0.2284818	0	0.66	100	2e-09
0	0.4177865	0.040496018	0	-2.0264873e-17	-2.5847775e-17	0	0	1.5707964	0	0	4.712389	1.5707964	0.9590996	-0.25782165	0	0.9616892	0.24923334	0	-0.00038751715	0.99968183	0	-0.056958884	-0.9910908	0	0.95112044	0.2904558	0	-0.010770283	-0.9926704	0	0.120712996	0.9856841	0	0.66	100	2e-09
0	0.26812515	-0.08937811	0	-2.016405e-17	-2.5847773e-17	0	0	1.5707964	0	0	4.712389	3.1415927	0.95787257	-0.26239896	0	0.9656225	0.2333047	0	-0.00043105596	0.99968183	0	-0.06599321	-0.99054116	0	0.9871956	0.10221493	0	-0.015359992	-0.9926044	0	-0.9520303	0.28469634	0	0.66	100	2e-09
0	0.42975008	-0.24560897	0	-2.0118821e-17	-2.584777e-17	0	0	1.5707964	0	0	4.712389	4.712389	0.9591972	-0.25745976	0	0.96181846	0.24870484	0	-0.0005133349	0.9996818	0	-0.062138427	-0.990771	0	0.9619491	0.24774897	0	-0.0016715754	-0.9927195	0	0.1896092	-0.9744482	0	0.66	100	2e-09
0	0.55142087	0.101878315	0	-2.0200316e-17	-2.584778e-17	0	0	1.5707964	0	1.5707964	0	0	0.9627437	-0.2436577	0	0.97695047	0.17866518	0	-0.00031117737	0.9996821	0	-0.18408065	-0.9760672	0	0.18577921	0.976175	0	0.9332481	-0.3429177	0	0.985616	0.121268526	0	0.66	100	2e-09
0	0.45477563	0.21706653	0	-2.0180585e-17	-2.5847783e-17	0	0	1.5707964	0	1.5707964	0	1.5707964	0.9617873	-0.24746646	0	0.97626996	0.18244898	0	-0.0002571531	0.9996823	0	-0.18419664	-0.9760528	0	0.2906406	0.9511521	0	0.92662126	-0.36077115	0	0.21256427	0.9704729	0	0.66	100	2e-09
0	0.25631037	0.10505458	0	-2.0068492e-17	-2.584778e-17	0	0	1.5707964	0	1.5707964	0	3.1415927	0.95990694	-0.2547502	0	0.98238915	0.14496142	0	-0.00024460827	0.9996821	0	-0.20749007	-0.9715133	0	0.10335468	0.98719513	0	0.9344164	-0.33957106	0	-0.9781598	0.16937798	0	0.66	100	2e-09
0	0.41681004	-0.052580863	0	-2.010536e-17	-2.584778e-17	0	0	1.5707964	0	1.5707964	0	4.712389	0.9616001	-0.24818039	0	0.982509	0.14405943	0	-0.0003285048	0.9996821	0	-0.20416366	-0.9721861	0	-0.0069381488	0.99237454	0	0.9408467	-0.32094193	0	0.24414486	-0.9628737	0	0.66	100	2e-09
0	0.42207873	0.29798406	0	-2.009491e-17	-2.5847783e-17	0	0	1.5707964	0	1.5707964	1.5707964	0	0.97003204	-0.2123478	0	0.9743338	0.19273686	0	-0.00034359674	0.9996821	0	-0.13241963	-0.9841883	0	0.16462466	0.9798652	0	-0.0077334326	0.9927304	0	0.9860572	0.11740993	0	0.66	100	2e-09
0	0.32027665	0.41724443	0	-2.007775e-17	-2.584778e-17	0	0	1.5707964	0	1.5707964	1.5707964	1.5707964	0.9693032	-0.21571383	0	0.97373885	0.19580282	0	-0.00028783237	0.9996821	0	-0.1324558	-0.9841924	0	0.26355058	0.958784	0	-0.027417194	0.99238986	0	0.1955047	0.9739586	0	0.66	100	2e-09
0	0.11961931	0.29864126	0	-1.9974481e-17	-2.5847783e-17	0	0	1.5707964	0	1.5707964	1.5707964	3.1415927	0.9677873	-0.22250684	0	0.98041666	0.1580261	0	-0.00027626884	0.9996823	0	-0.16287057	-0.9797614	0	0.07388199	0.98970574	0	-0.040853944	0.99195135	0	-0.98074996	0.1533918	0	0.66	100	2e-09
0	0.28043976	0.13933618	0	-2.0006475e-17	-2.584778e-17	0	0	1.5707964	0	1.5707964	1.5707964	4.712389	0.9690641	-0.21677354	0	0.98051405	0.15734738	0	-0.00035981715	0.9996821	0	-0.15971549	-0.9802525	0	-0.030550456	0.991913	0	-0.012330296	0.99269587	0	0.21645644	-0.96925896	0	0.66	100	2e-09
0	0.3099652	0.10259152	0	-2.0207544e-17	-2.584778e-17	0	0	1.5707964	0	1.5707964	3.1415927	0	0.9617939	-0.24739605	0	0.97603834	0.18370433	0	-0.00027440878	0.9996821	0	0.008249323	-0.99244213	0	0.17589717	0.97796905	0	-0.93637484	-0.33403116	0	0.984427	0.13065447	0	0.66	100	2e-09
0	0.20959122	0.2203177	0	-2.0194963e-17	-2.584778e-17	0	0	1.5707964	0	1.5707964	3.1415927	1.5707964	0.9609134	-0.2508507	0	0.9755063	0.1865861	0	-0.00021961426	0.9996821	0	0.00483096	-0.992483	0	0.2737249	0.95602727	0	-0.9371271	-0.3318455	0	0.18950982	0.97510755	0	0.66	100	2e-09
0	0.013503345	0.10769788	0	-2.0089262e-17	-2.5847783e-17	0	0	1.5707964	0	1.5707964	3.1415927	3.1415927	0.9587434	-0.25911644	0	0.981616	0.15025052	0	-0.00020807562	0.9996823	0	-0.014466265	-0.99239177	0	0.09152624	0.9883069	0	-0.94532925	-0.30699497	0	-0.9773585	0.1741487	0	0.66	100	2e-09
0	0.16985309	-0.055081848	0	-2.0115004e-17	-2.584778e-17	0	0	1.5707964	0	1.5707964	3.1415927	4.712389	0.9602974	-0.25320348	0	0.9818172	0.14883788	0	-0.00029130137	0.9996822	0	-0.007931562	-0.99243486	0	-0.017677719	0.99221796	0	-0.94390464	-0.31148142	0	0.21666218	-0.9691912	0	0.66	100	2e-09
0	0.43172485	0.0049477657	0	-2.02802e-17	-2.584778e-17	0	0	1.5707964	0	1.5707964	4.712389	0	0.9574539	-0.26387402	0	0.97742385	0.17600895	0	-0.00026633803	0.9996821	0	-0.07435097	-0.9899678	0	0.18810633	0.97575104	0	-0.010855172	-0.99265885	0	0.9845624	0.12969285	0	0.66	100	2e-09
0	0.33283702	0.12189582	0	-2.0264578e-17	-2.5847783e-17	0	0	1.5707964	0	1.5707964	4.712389	1.5707964	0.95648503	-0.26741603	0	0.97678113	0.17963795	0	-0.0002126972	0.9996823	0	-0.075676754	-0.9898815	0	0.2903638	0.9512473	0	-0.020646634	-0.9925074	0	0.2027654	0.9725084	0	0.66	100	2e-09
0	0.13524128	0.0075641503	0	-2.0153169e-17	-2.5847783e-17	0	0	1.5707964	0	1.5707964	4.712389	3.1415927	0.9538339	-0.2768185	0	0.982661	0.14309901	0	-0.0001988181	0.9996822	0	-0.09228512	-0.98851013	0	0.108535744	0.98666495	0	-0.029745579	-0.99227047	0	-0.97611207	0.18110198	0	0.66	100	2e-09
0	0.29555246	-0.15468886	0	-2.0183864e-17	-2.5847783e-17	0	0	1.5707964	0	1.5707964	4.712389	4.712389	0.9556232	-0.2704925	0	0.9828686	0.14156446	0	-0.00028244496	0.99968207	0	-0.088654414	-0.9888159	0	-0.003484819	0.9923851	0	-0.014371722	-0.9926046	0	0.23716903	-0.96454066	0	0.66	100	2e-09
