# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	a4 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	m.region4x ()	m.region4y ()	m.region4z ()	roundness ()	size (m)	Cell_size (m)
0	0.8482871	0.39669496	0	3.2114824e-18	-0	0.7853982	0	0	0.7853982	0.71009123	0.69009775	0	0.9878511	0.10038721	0	0.9878511	0.10038719	0	0.7100913	0.69009775	0	0.66	100	2e-09
0	0.28688335	0.51192635	0	3.1629418e-18	-0	0.7853982	0	0	2.3561945	0.81752723	0.5595836	0	0.96720666	-0.22760576	0	0.04565575	0.9913515	0	-0.67855126	0.721826	0	0.66	100	2e-09
0	0.217096	-0.19212687	0	3.1334028e-18	-0	0.7853982	0	0	3.9269907	0.7657034	0.6283316	0	-0.14213318	-0.98268145	0	0.95451385	0.2775781	0	-0.7059923	-0.69488126	0	0.66	100	2e-09
0	0.8730935	-4.5951364e-08	0	3.2382312e-18	-0	0.7853982	0	0	5.497787	0.7541783	0.6415673	0	0.99289995	-1.6782248e-08	0	0.99347204	-1.2453904e-07	0	0.75417835	-0.6415673	0	0.66	100	2e-09
0	0.61318713	0.6150684	0	3.2225666e-18	-0	0.7853982	0	1.5707964	0.7853982	0.78029305	0.6099478	0	0.9923534	0.034669038	0	0.13807012	0.98353326	0	0.5410914	0.83004564	0	0.66	100	2e-09
0	0.28682402	0.5117831	0	3.1629418e-18	-0	0.7853982	0	1.5707964	2.3561945	0.81764406	0.559415	0	0.96712244	-0.22797613	0	0.045431193	0.9913616	0	-0.6785988	0.72178125	0	0.66	100	2e-09
0	-0.2172354	0.19209936	0	3.1334028e-18	-0	0.7853982	0	1.5707964	3.9269907	0.7060943	0.69477767	0	-0.9544543	-0.27779037	0	0.14150721	0.9827697	0	-0.7657995	-0.62821466	0	0.66	100	2e-09
0	0.87320673	-0.0002272571	0	3.2382316e-18	-0	0.7853982	0	1.5707964	5.497787	0.7545651	0.64111406	0	0.99290013	-0.00064821745	0	0.99347204	0.00011650386	0	0.7542425	-0.6414922	0	0.66	100	2e-09
0	0.34155864	0.4179462	0	3.3097095e-18	-0	0.7853982	0	3.1415927	0.7853982	0.8152353	0.5627036	0	0.9913645	0.055239063	0	-0.97084075	0.20685063	0	0.5239795	0.8413662	0	0.66	100	2e-09
0	0.2866469	0.51127994	0	3.1629416e-18	-0	0.7853982	0	3.1415927	2.3561945	0.817968	0.5589474	0	0.9668102	-0.22934301	0	0.04492358	0.9913841	0	-0.6788159	0.7215772	0	0.66	100	2e-09
0	3.5234273e-09	-7.0468547e-09	0	3.1088245e-18	-0	0.7853982	0	3.1415927	3.9269907	0.81181896	0.56826955	0	-0.16341698	-0.979365	0	0.16341697	0.97936493	0	-0.8118189	-0.5682696	0	0.66	100	2e-09
0	0.43721452	-3.8170462e-08	0	3.4987825e-18	-0	0.7853982	0	3.1415927	5.497787	0.8696123	0.47561532	0	0.9929403	-8.097896e-08	0	-0.99186903	4.1918735e-08	0	0.8696122	-0.47561547	0	0.66	100	2e-09
0	0.66471297	0.14476126	0	3.294155e-18	-0	0.7853982	0	4.712389	0.7853982	0.68869114	0.7113971	0	0.98013616	0.15863529	0	0.2500187	-0.96104175	0	0.739033	0.6593492	0	0.66	100	2e-09
0	0.32252923	0.10976947	0	3.3953427e-18	-0	0.7853982	0	4.712389	2.3561945	0.7383548	0.6597691	0	0.98939574	-0.083011694	0	0.09914929	-0.9859296	0	-0.532435	0.8356179	0	0.66	100	2e-09
0	0.21714374	-0.1922106	0	3.133403e-18	-0	0.7853982	0	4.712389	3.9269907	0.7656264	0.628425	0	-0.14203042	-0.98269606	0	0.9546107	0.27723292	0	-0.7059229	-0.6949516	0	0.66	100	2e-09
0	0.87320673	0.00035154173	0	3.2382316e-18	-0	0.7853982	0	4.712389	5.497787	0.7541521	0.641598	0	0.99289966	0.0010044464	0	0.99347204	-0.00018694489	0	0.7546555	-0.6410082	0	0.66	100	2e-09
0	0.613174	0.6150801	0	3.222566e-18	-0	0.7853982	1.5707964	0	0.7853982	0.5412524	0.8299391	0	0.13790606	0.98355556	0	0.9923508	0.034739926	0	0.7802449	0.6100089	0	0.66	100	2e-09
0	0.23450361	0.73726636	0	3.3145233e-18	-0	0.7853982	1.5707964	0	2.3561945	0.5854454	0.79905254	0	0.078181796	0.98993284	0	0.9114216	0.39688268	0	-0.6319305	0.7623375	0	0.66	100	2e-09
0	5.2165367e-05	-0.00015855246	0	3.1549086e-18	-0	0.7853982	1.5707964	0	3.9269907	0.6406169	0.75561297	0	-0.96700716	-0.22874972	0	0.96713716	0.2281803	0	-0.6405381	-0.75568026	0	0.66	100	2e-09
0	0.54972225	0.27907848	0	3.2063342e-18	-0	0.7853982	1.5707964	0	5.497787	0.5468351	0.8261357	0	-0.093740076	0.9884448	0	0.992223	-0.049477383	0	0.7516007	-0.64505565	0	0.66	100	2e-09
0	0.37152174	0.87577194	0	3.2445001e-18	-0	0.7853982	1.5707964	1.5707964	0.7853982	0.62764853	0.76593584	0	0.11285908	0.98669577	0	0.11285908	0.98669577	0	0.6276486	0.76593584	0	0.66	100	2e-09
0	-5.1676935e-08	0.8725917	0	3.2373978e-18	-0	0.7853982	1.5707964	1.5707964	2.3561945	0.64226836	0.75368434	0	-9.691287e-08	0.99286544	0	-4.555182e-08	0.9924874	0	-0.6422685	0.7536842	0	0.66	100	2e-09
0	-5.9125457e-05	3.9396433e-05	0	3.1088247e-18	-0	0.7853982	1.5707964	1.5707964	3.9269907	0.8115055	0.56871283	0	-0.16405287	-0.9792612	0	0.16391082	0.97928447	0	-0.8116002	-0.56857896	0	0.66	100	2e-09
0	0.54962915	0.2790939	0	3.2063347e-18	-0	0.7853982	1.5707964	1.5707964	5.497787	0.54702723	0.82600677	0	-0.09414095	0.98840755	0	0.9922446	-0.049028307	0	0.7514135	-0.64527327	0	0.66	100	2e-09
0	0.0654351	0.66349244	0	3.299206e-18	-0	0.7853982	1.5707964	3.1415927	0.7853982	0.6024756	0.7859441	0	0.016512787	0.9927584	0	-0.9871974	0.099488445	0	0.6191499	0.7734772	0	0.66	100	2e-09
0	-0.23450388	0.7372662	0	3.314523e-18	-0	0.7853982	1.5707964	3.1415927	2.3561945	0.63193035	0.7623377	0	-0.0781822	0.98993284	0	-0.9114219	0.39688212	0	-0.58544546	0.79905254	0	0.66	100	2e-09
0	-0.21736778	0.1922506	0	3.1334028e-18	-0	0.7853982	1.5707964	3.1415927	3.9269907	0.7060298	0.69484323	0	-0.9545772	-0.2773521	0	0.14121427	0.9828109	0	-0.76585	-0.628153	0	0.66	100	2e-09
0	0.06102506	0.28172868	0	3.4267835e-18	-0	0.7853982	1.5707964	3.1415927	5.497787	0.6035691	0.78496724	0	-0.22438923	0.96759564	0	-0.98748857	-0.09516286	0	0.83933115	-0.5274561	0	0.66	100	2e-09
0	0.36255947	0.37720516	0	3.270069e-18	-0	0.7853982	1.5707964	4.712389	0.7853982	0.43006173	0.8934927	0	0.048280146	0.99166703	0	0.17377669	-0.9774184	0	0.79318744	0.59382284	0	0.66	100	2e-09
0	-8.045159e-08	0.4398972	0	3.4227592e-18	-0	0.7853982	1.5707964	4.712389	2.3561945	0.46670815	0.87454206	0	-1.3442397e-07	0.9930329	0	5.1047543e-08	-0.9911348	0	-0.46670836	0.87454194	0	0.66	100	2e-09
0	-9.1021874e-09	1.2331996e-08	0	3.1549088e-18	-0	0.7853982	1.5707964	4.712389	3.9269907	0.6404521	0.75575334	0	-0.9671568	-0.22809497	0	0.9671568	0.228095	0	-0.6404521	-0.7557532	0	0.66	100	2e-09
0	0.5493311	0.2790191	0	3.2063344e-18	-0	0.7853982	1.5707964	4.712389	5.497787	0.54623	0.82654154	0	-0.09463084	0.98836195	0	0.9921979	-0.049990375	0	0.7515561	-0.6451081	0	0.66	100	2e-09
0	0.34154737	0.41788653	0	3.3097089e-18	-0	0.7853982	3.1415927	0	0.7853982	0.5240728	0.84130734	0	-0.97092205	0.2064545	0	0.9913565	0.055383146	0	0.8151857	0.5627745	0	0.66	100	2e-09
0	-0.28665948	0.51141065	0	3.1629418e-18	-0	0.7853982	3.1415927	0	2.3561945	0.678727	0.7216609	0	-0.9668992	-0.22895451	0	-0.04482859	0.9913884	0	-0.8179351	0.5589949	0	0.66	100	2e-09
0	-4.697903e-09	5.2851408e-09	0	3.154909e-18	-0	0.7853982	3.1415927	0	3.9269907	0.6404557	0.7557502	0	-0.9671586	-0.22808683	0	0.9671586	0.22808681	0	-0.6404558	-0.7557502	0	0.66	100	2e-09
0	0.29357854	1.8351184e-08	0	3.1804249e-18	-0	0.7853982	3.1415927	0	5.497787	0.5839304	0.80042803	0	-0.9926888	1.8097165e-07	0	0.99339277	-1.6362692e-07	0	0.5839304	-0.80042803	0	0.66	100	2e-09
