# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	roundness ()	size (m)	Cell_size (m)
0	0.6614539	0.34848818	-8.373918e-32	-2.3378773e-17	-2.584778e-17	0	0	1.5707964	0.9926682	0.0071366862	-1.0078058e-30	0.99197096	0.038645856	7.6708073e-31	-0.00027746544	0.999682	-1.0469384e-32	0.66	100	2e-09
0	0.42086196	0.61848676	0	-2.3321668e-17	-2.584777e-17	0	1.5707964	1.5707964	0.9878191	-0.09921868	0	0.27490222	0.9549971	0	-0.00013537472	0.99968165	0	0.66	100	2e-09
0	0.00087814	0.35879394	0	-2.3208334e-17	-2.5847773e-17	0	3.1415927	1.5707964	0.9927324	0.006414932	0	-0.99036604	0.0702853	0	0.00026797017	0.99968165	0	0.66	100	2e-09
0	0.43442875	0.060323395	0	-2.3293575e-17	-2.5847783e-17	0	4.712389	1.5707964	0.98519194	0.12308805	0	0.31812772	-0.94179994	0	-3.33284e-05	0.9996821	0	0.66	100	2e-09
0	0.42236388	0.6299791	0	-2.3312818e-17	-2.5847783e-17	1.5707964	0	1.5707964	0.27696508	0.95433915	0	0.99060804	-0.06408413	0	-0.00048153213	0.9996822	0	0.66	100	2e-09
0	-0.013496819	0.9947119	0	-2.3283889e-17	-2.5847775e-17	1.5707964	1.5707964	1.5707964	-0.025538597	0.9921253	0	-0.014649931	0.99232876	0	-0.000301928	0.9996819	0	0.66	100	2e-09
0	-0.44240302	0.6250685	0	-2.3320647e-17	-2.584778e-17	1.5707964	3.1415927	1.5707964	-0.33639443	0.9355635	0	-0.9908842	-0.06004021	0	6.952284e-05	0.99968207	0	0.66	100	2e-09
0	-0.011056533	0.33319488	0	-2.3322658e-17	-2.5847788e-17	1.5707964	4.712389	1.5707964	-0.020484535	0.9927383	0	-0.012551627	-0.9928362	0	-0.00013344173	0.9996824	0	0.66	100	2e-09
0	-0.0009551466	0.35919726	0	-2.3215608e-17	-2.584778e-17	3.1415927	0	1.5707964	-0.9927696	0.0056113023	0	0.99018717	0.07229843	0	-0.00028297908	0.999682	0	0.66	100	2e-09
0	-0.42831063	0.61784214	0	-2.3334459e-17	-2.584777e-17	3.1415927	1.5707964	1.5707964	-0.9882829	-0.094719455	0	-0.29666942	0.94856423	0	2.0372216e-05	0.99968165	0	0.66	100	2e-09
0	-0.66147476	0.34834456	0	-2.3394522e-17	-2.5847773e-17	3.1415927	3.1415927	1.5707964	-0.9927034	0.0069628553	0	-0.9919888	0.03838906	0	0.00026798478	0.9996818	0	0.66	100	2e-09
0	-0.44750336	0.06265989	0	-2.3306613e-17	-2.5847783e-17	3.1415927	4.712389	1.5707964	-0.9860191	0.116386965	0	-0.35664368	-0.9280895	0	0.0001526931	0.9996821	0	0.66	100	2e-09
0	0.41950792	0.06844338	0	-2.3308201e-17	-2.5847773e-17	4.712389	0	1.5707964	0.27847147	-0.9539369	0	0.9801232	0.15958527	0	-7.088986e-05	0.9996818	0	0.66	100	2e-09
0	-0.010669437	0.33328503	0	-2.3344804e-17	-2.5847761e-17	4.712389	1.5707964	1.5707964	-0.020679804	-0.9927312	0	-0.011468561	0.99290484	0	0.00014005411	0.9996815	0	0.66	100	2e-09
0	-0.44069323	0.072760776	0	-2.3316021e-17	-2.5847761e-17	4.712389	3.1415927	1.5707964	-0.34128538	-0.9338689	0	-0.9812616	0.1524698	0	0.00046732053	0.99968135	0	0.66	100	2e-09
0	-0.014510627	-0.32820737	0	-2.3245236e-17	-2.5847773e-17	4.712389	4.712389	1.5707964	-0.026975263	-0.99203736	0	-0.016867727	-0.99226654	0	0.000311107	0.99968183	0	0.66	100	2e-09
