# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_angle (rad)	island2_angle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)	Cell_size (m)
0	0.99732697	-2.3924884e-09	0	-2.961257e-18	-4.3531327e-18	0	0	0.49	1e-07	1e-07	0	4e-09
0	0.57439154	0.4832356	0	-2.708722e-18	-4.299889e-18	1.5707964	0	0.49	1e-07	1e-07	0	4e-09
0	0.99740195	-3.889159e-09	0	-2.8856843e-18	-4.3534607e-18	0	0	0.49	1e-07	1.04e-07	0	4e-09
0	0.5379195	0.48360687	0	-2.7322371e-18	-4.343145e-18	1.5707964	0	0.49	1e-07	1.04e-07	0	4e-09
0	0.99744827	-4.832772e-09	0	-2.849094e-18	-4.3536625e-18	0	0	0.49	1e-07	1.08e-07	0	4e-09
0	0.5293905	0.48660338	0	-2.725309e-18	-4.347797e-18	1.5707964	0	0.49	1e-07	1.08e-07	0	4e-09
0	0.9974776	-1.8257746e-09	0	-2.8256583e-18	-4.35379e-18	0	0	0.49	1e-07	1.12e-07	0	4e-09
0	0.5238802	0.48859876	0	-2.7222863e-18	-4.350026e-18	1.5707964	0	0.49	1e-07	1.12e-07	0	4e-09
0	0.99749726	-3.169501e-09	0	-2.808867e-18	-4.353876e-18	0	0	0.49	1e-07	1.16e-07	0	4e-09
0	0.51993304	0.4900591	0	-2.7206709e-18	-4.351285e-18	1.5707964	0	0.49	1e-07	1.16e-07	0	4e-09
0	0.9975111	-3.726656e-09	0	-2.796085e-18	-4.353936e-18	0	0	0.49	1e-07	1.2e-07	0	4e-09
0	0.5169351	0.49118853	0	-2.7197039e-18	-4.352067e-18	1.5707964	0	0.49	1e-07	1.2e-07	0	4e-09
0	0.997521	-2.8021612e-09	0	-2.7859821e-18	-4.3539797e-18	0	0	0.49	1e-07	1.24e-07	0	4e-09
0	0.51457167	0.4920939	0	-2.7190808e-18	-4.352585e-18	1.5707964	0	0.49	1e-07	1.24e-07	0	4e-09
0	0.9975282	-3.2947927e-09	0	-2.777783e-18	-4.3540116e-18	0	0	0.49	1e-07	1.28e-07	0	4e-09
0	0.5126586	0.49283803	0	-2.7186594e-18	-4.3529437e-18	1.5707964	0	0.49	1e-07	1.28e-07	0	4e-09
0	0.9975336	-2.2791458e-09	0	-2.7709992e-18	-4.3540347e-18	0	0	0.49	1e-07	1.32e-07	0	4e-09
0	0.51107997	0.49346092	0	-2.7183624e-18	-4.3531997e-18	1.5707964	0	0.49	1e-07	1.32e-07	0	4e-09
0	0.9975377	-4.1622745e-09	0	-2.7653006e-18	-4.354052e-18	0	0	0.49	1e-07	1.36e-07	0	4e-09
0	0.5097569	0.4939899	0	-2.7181486e-18	-4.3533883e-18	1.5707964	0	0.49	1e-07	1.36e-07	0	4e-09
0	0.9975407	-3.195447e-09	0	-2.7604564e-18	-4.354066e-18	0	0	0.49	1e-07	1.4e-07	0	4e-09
0	0.5086342	0.49444437	0	-2.7179885e-18	-4.353529e-18	1.5707964	0	0.49	1e-07	1.4e-07	0	4e-09
0	0.9975431	-4.0564423e-09	0	-2.7562955e-18	-4.354076e-18	0	0	0.49	1e-07	1.44e-07	0	4e-09
0	0.50767195	0.49483824	0	-2.7178678e-18	-4.3536364e-18	1.5707964	0	0.49	1e-07	1.44e-07	0	4e-09
0	0.997545	-3.4508096e-09	0	-2.752692e-18	-4.3540844e-18	0	0	0.49	1e-07	1.48e-07	0	4e-09
0	0.50683874	0.49518284	0	-2.7177755e-18	-4.353721e-18	1.5707964	0	0.49	1e-07	1.48e-07	0	4e-09
0	0.9975463	-4.3961292e-09	0	-2.7495477e-18	-4.3540897e-18	0	0	0.49	1e-07	1.52e-07	0	4e-09
0	0.50611496	0.49548507	0	-2.7177031e-18	-4.3537857e-18	1.5707964	0	0.49	1e-07	1.52e-07	0	4e-09
0	0.9975473	-1.7001417e-09	0	-2.7467874e-18	-4.3540947e-18	0	0	0.49	1e-07	1.56e-07	0	4e-09
0	0.50547945	0.49575287	0	-2.7176459e-18	-4.353838e-18	1.5707964	0	0.49	1e-07	1.56e-07	0	4e-09
0	0.9975482	-3.60273e-09	0	-2.7443504e-18	-4.3540984e-18	0	0	0.49	1e-07	1.6e-07	0	4e-09
0	0.50491923	0.49599087	0	-2.7176006e-18	-4.35388e-18	1.5707964	0	0.49	1e-07	1.6e-07	0	4e-09
0	0.9975488	-3.7280214e-09	0	-2.7421879e-18	-4.3541013e-18	0	0	0.49	1e-07	1.64e-07	0	4e-09
0	0.5044226	0.49620342	0	-2.7175633e-18	-4.353913e-18	1.5707964	0	0.49	1e-07	1.64e-07	0	4e-09
0	0.9975493	-2.3619338e-09	0	-2.7402595e-18	-4.3541034e-18	0	0	0.49	1e-07	1.68e-07	0	4e-09
