# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_angle (rad)	island2_angle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)	Cell_size (m)
0	0.99732697	-3.3156176e-09	0	-2.961257e-18	-4.3531327e-18	0	0	0.49	1e-07	1e-07	0	4e-09
0	0.5743904	0.48323584	0	-2.7087216e-18	-4.299889e-18	1.5707964	0	0.49	1e-07	1e-07	0	4e-09
0	0.99740195	-3.5860015e-09	0	-2.8856843e-18	-4.3534607e-18	0	0	0.49	1e-07	1.04e-07	0	4e-09
0	0.53791946	0.48360687	0	-2.7322373e-18	-4.343145e-18	1.5707964	0	0.49	1e-07	1.04e-07	0	4e-09
0	0.99744827	-3.4125736e-09	0	-2.849094e-18	-4.353663e-18	0	0	0.49	1e-07	1.08e-07	0	4e-09
0	0.5293905	0.4866034	0	-2.7253089e-18	-4.347797e-18	1.5707964	0	0.49	1e-07	1.08e-07	0	4e-09
0	0.9974776	-2.8048923e-09	0	-2.8256583e-18	-4.35379e-18	0	0	0.49	1e-07	1.12e-07	0	4e-09
0	0.5238801	0.48859885	0	-2.7222861e-18	-4.350026e-18	1.5707964	0	0.49	1e-07	1.12e-07	0	4e-09
0	0.99749726	-3.0520615e-09	0	-2.8088665e-18	-4.3538763e-18	0	0	0.49	1e-07	1.16e-07	0	4e-09
0	0.5199331	0.49005905	0	-2.7206709e-18	-4.3512848e-18	1.5707964	0	0.49	1e-07	1.16e-07	0	4e-09
0	0.9975111	-2.4218483e-09	0	-2.796085e-18	-4.353936e-18	0	0	0.49	1e-07	1.2e-07	0	4e-09
0	0.5169325	0.49118942	0	-2.7197037e-18	-4.3520677e-18	1.5707964	0	0.49	1e-07	1.2e-07	0	4e-09
0	0.997521	-4.5364423e-09	0	-2.785982e-18	-4.3539793e-18	0	0	0.49	1e-07	1.24e-07	0	4e-09
0	0.5145717	0.49209383	0	-2.7190808e-18	-4.352585e-18	1.5707964	0	0.49	1e-07	1.24e-07	0	4e-09
0	0.9975282	-3.9308095e-09	0	-2.7777827e-18	-4.3540116e-18	0	0	0.49	1e-07	1.28e-07	0	4e-09
0	0.51265806	0.49283826	0	-2.7186596e-18	-4.3529437e-18	1.5707964	0	0.49	1e-07	1.28e-07	0	4e-09
0	0.99753374	-2.8608809e-09	0	-2.7709988e-18	-4.3540347e-18	0	0	0.49	1e-07	1.32e-07	0	4e-09
0	0.51108	0.49346092	0	-2.7183626e-18	-4.3531993e-18	1.5707964	0	0.49	1e-07	1.32e-07	0	4e-09
0	0.9975377	-3.9280783e-09	0	-2.7653008e-18	-4.354052e-18	0	0	0.49	1e-07	1.36e-07	0	4e-09
0	0.5097568	0.49399006	0	-2.7181488e-18	-4.353388e-18	1.5707964	0	0.49	1e-07	1.36e-07	0	4e-09
0	0.9975408	-3.504067e-09	0	-2.7604566e-18	-4.354066e-18	0	0	0.49	1e-07	1.4e-07	0	4e-09
0	0.50863415	0.49444437	0	-2.7179885e-18	-4.353529e-18	1.5707964	0	0.49	1e-07	1.4e-07	0	4e-09
0	0.99754304	-2.6263434e-09	0	-2.7562955e-18	-4.354076e-18	0	0	0.49	1e-07	1.44e-07	0	4e-09
0	0.50766987	0.49483907	0	-2.7178673e-18	-4.3536364e-18	1.5707964	0	0.49	1e-07	1.44e-07	0	4e-09
0	0.997545	-2.934622e-09	0	-2.752692e-18	-4.3540844e-18	0	0	0.49	1e-07	1.48e-07	0	4e-09
0	0.50684035	0.49518225	0	-2.7177753e-18	-4.3537204e-18	1.5707964	0	0.49	1e-07	1.48e-07	0	4e-09
0	0.9975463	-1.5451488e-09	0	-2.749548e-18	-4.3540897e-18	0	0	0.49	1e-07	1.52e-07	0	4e-09
0	0.5061151	0.495485	0	-2.7177031e-18	-4.3537857e-18	1.5707964	0	0.49	1e-07	1.52e-07	0	4e-09
0	0.9975473	-1.5553906e-09	0	-2.7467874e-18	-4.3540947e-18	0	0	0.49	1e-07	1.56e-07	0	4e-09
0	0.5054794	0.4957529	0	-2.7176459e-18	-4.3538383e-18	1.5707964	0	0.49	1e-07	1.56e-07	0	4e-09
0	0.9975483	-2.3685909e-09	0	-2.7443501e-18	-4.3540984e-18	0	0	0.49	1e-07	1.6e-07	0	4e-09
0	0.5049192	0.49599087	0	-2.7176006e-18	-4.35388e-18	1.5707964	0	0.49	1e-07	1.6e-07	0	4e-09
0	0.9975488	-4.2073385e-09	0	-2.7421875e-18	-4.3541013e-18	0	0	0.49	1e-07	1.64e-07	0	4e-09
0	0.5044226	0.49620348	0	-2.7175636e-18	-4.353913e-18	1.5707964	0	0.49	1e-07	1.64e-07	0	4e-09
0	0.9975493	-4.996812e-09	0	-2.7402597e-18	-4.354103e-18	0	0	0.49	1e-07	1.68e-07	0	4e-09
0	0.5039803	0.49639413	0	-2.7175338e-18	-4.3539413e-18	1.5707964	0	0.49	1e-07	1.68e-07	0	4e-09
0	0.99754965	-3.4863146e-09	0	-2.7385347e-18	-4.3541046e-18	0	0	0.49	1e-07	1.72e-07	0	4e-09
0	0.503585	0.49656564	0	-2.7175092e-18	-4.3539636e-18	1.5707964	0	0.49	1e-07	1.72e-07	0	4e-09
0	0.9975499	-1.966941e-09	0	-2.736985e-18	-4.3541055e-18	0	0	0.49	1e-07	1.76e-07	0	4e-09
0	0.5032302	0.4967207	0	-2.7174895e-18	-4.353983e-18	1.5707964	0	0.49	1e-07	1.76e-07	0	4e-09
0	0.9975501	-1.5608529e-09	0	-2.7355876e-18	-4.3541067e-18	0	0	0.49	1e-07	1.8e-07	0	4e-09
0	0.50291073	0.49686095	0	-2.7174728e-18	-4.3539987e-18	1.5707964	0	0.49	1e-07	1.8e-07	0	4e-09
0	0.99755025	-3.6250911e-09	0	-2.734324e-18	-4.354107e-18	0	0	0.49	1e-07	1.84e-07	0	4e-09
0	0.50262177	0.49698865	0	-2.7174587e-18	-4.3540116e-18	1.5707964	0	0.49	1e-07	1.84e-07	0	4e-09
0	0.99755037	-2.9783205e-09	0	-2.7331782e-18	-4.3541075e-18	0	0	0.49	1e-07	1.88e-07	0	4e-09
0	0.5023604	0.49710467	0	-2.717447e-18	-4.3540223e-18	1.5707964	0	0.49	1e-07	1.88e-07	0	4e-09
0	0.9975504	-3.7432133e-09	0	-2.7321364e-18	-4.3541083e-18	0	0	0.49	1e-07	1.92e-07	0	4e-09
0	0.50212216	0.49721086	0	-2.7174376e-18	-4.354032e-18	1.5707964	0	0.49	1e-07	1.92e-07	0	4e-09
0	0.99755037	-3.8591166e-09	0	-2.7311858e-18	-4.354108e-18	0	0	0.49	1e-07	1.96e-07	0	4e-09
0	0.50190526	0.49730814	0	-2.717429e-18	-4.35404e-18	1.5707964	0	0.49	1e-07	1.96e-07	0	4e-09
0	0.99755037	-3.015959e-09	0	-2.7303168e-18	-4.354108e-18	0	0	0.49	1e-07	2e-07	0	4e-09
0	0.5017077	0.497397	0	-2.7174217e-18	-4.3540463e-18	1.5707964	0	0.49	1e-07	2e-07	0	4e-09
0	0.99755037	-3.6310657e-09	0	-2.7295215e-18	-4.354108e-18	0	0	0.49	1e-07	2.04e-07	0	4e-09
0	0.50152636	0.497479	0	-2.7174153e-18	-4.354052e-18	1.5707964	0	0.49	1e-07	2.04e-07	0	4e-09
0	0.99755025	-3.0517202e-09	0	-2.7287913e-18	-4.354108e-18	0	0	0.49	1e-07	2.08e-07	0	4e-09
0	0.50136006	0.4975544	0	-2.7174101e-18	-4.3540575e-18	1.5707964	0	0.49	1e-07	2.08e-07	0	4e-09
0	0.99755025	-7.2416477e-09	0	-2.7281192e-18	-4.354108e-18	0	0	0.49	1e-07	2.12e-07	0	4e-09
0	0.501207	0.497624	0	-2.7174052e-18	-4.3540616e-18	1.5707964	0	0.49	1e-07	2.12e-07	0	4e-09
0	0.99755025	-4.936385e-09	0	-2.7274997e-18	-4.354107e-18	0	0	0.49	1e-07	2.16e-07	0	4e-09
0	0.50106627	0.49768826	0	-2.717402e-18	-4.3540657e-18	1.5707964	0	0.49	1e-07	2.16e-07	0	4e-09
0	0.9975501	-3.2172962e-09	0	-2.7269285e-18	-4.354107e-18	0	0	0.49	1e-07	2.2e-07	0	4e-09
0	0.50093627	0.49774784	0	-2.7173985e-18	-4.3540686e-18	1.5707964	0	0.49	1e-07	2.2e-07	0	4e-09
0	0.9975502	-4.31061e-09	0	-2.726399e-18	-4.3541067e-18	0	0	0.49	1e-07	2.24e-07	0	4e-09
0	0.5008159	0.49780318	0	-2.717396e-18	-4.3540715e-18	1.5707964	0	0.49	1e-07	2.24e-07	0	4e-09
0	0.99755	-4.6962145e-09	0	-2.7259094e-18	-4.3541067e-18	0	0	0.49	1e-07	2.28e-07	0	4e-09
0	0.5007046	0.4978544	0	-2.717393e-18	-4.354074e-18	1.5707964	0	0.49	1e-07	2.28e-07	0	4e-09
0	0.99755	-4.29832e-09	0	-2.7254544e-18	-4.3541063e-18	0	0	0.49	1e-07	2.32e-07	0	4e-09
0	0.5006001	0.49790278	0	-2.7173909e-18	-4.354076e-18	1.5707964	0	0.49	1e-07	2.32e-07	0	4e-09
0	0.99755	-3.636528e-09	0	-2.7250326e-18	-4.354106e-18	0	0	0.49	1e-07	2.36e-07	0	4e-09
0	0.50050455	0.49794704	0	-2.7173884e-18	-4.3540777e-18	1.5707964	0	0.49	1e-07	2.36e-07	0	4e-09
0	0.9975499	-4.1078647e-09	0	-2.724639e-18	-4.3541055e-18	0	0	0.49	1e-07	2.4e-07	0	4e-09
0	0.50041634	0.49798796	0	-2.717387e-18	-4.35408e-18	1.5707964	0	0.49	1e-07	2.4e-07	0	4e-09
0	0.9975497	-2.8677087e-09	0	-2.724273e-18	-4.3541055e-18	0	0	0.49	1e-07	2.44e-07	0	4e-09
0	0.50033325	0.49802664	0	-2.7173857e-18	-4.3540815e-18	1.5707964	0	0.49	1e-07	2.44e-07	0	4e-09
0	0.9975497	-5.5152185e-09	0	-2.723931e-18	-4.354105e-18	0	0	0.49	1e-07	2.48e-07	0	4e-09
0	0.5002557	0.49806285	0	-2.7173845e-18	-4.3540827e-18	1.5707964	0	0.49	1e-07	2.48e-07	0	4e-09
0	0.9975497	-4.148619e-09	0	-2.7236115e-18	-4.3541046e-18	0	0	0.49	1e-07	2.52e-07	0	4e-09
0	0.50018334	0.4980966	0	-2.7173826e-18	-4.3540835e-18	1.5707964	0	0.49	1e-07	2.52e-07	0	4e-09
0	0.99754965	-4.7898845e-09	0	-2.723313e-18	-4.3541046e-18	0	0	0.49	1e-07	2.56e-07	0	4e-09
0	0.5001159	0.49812827	0	-2.7173812e-18	-4.3540844e-18	1.5707964	0	0.49	1e-07	2.56e-07	0	4e-09
0	0.99754953	-5.3721747e-09	0	-2.723033e-18	-4.354104e-18	0	0	0.49	1e-07	2.6e-07	0	4e-09
0	0.500052	0.49815825	0	-2.7173812e-18	-4.3540856e-18	1.5707964	0	0.49	1e-07	2.6e-07	0	4e-09
0	0.9975495	-2.6698284e-09	0	-2.7227713e-18	-4.3541042e-18	0	0	0.49	1e-07	2.64e-07	0	4e-09
0	0.49999267	0.49818608	0	-2.7173801e-18	-4.354087e-18	1.5707964	0	0.49	1e-07	2.64e-07	0	4e-09
0	0.9975495	-3.736215e-09	0	-2.7225244e-18	-4.354104e-18	0	0	0.49	1e-07	2.68e-07	0	4e-09
0	0.49993685	0.49821243	0	-2.7173793e-18	-4.354087e-18	1.5707964	0	0.49	1e-07	2.68e-07	0	4e-09
0	0.99754936	-4.3622888e-09	0	-2.7222932e-18	-4.3541034e-18	0	0	0.49	1e-07	2.72e-07	0	4e-09
0	0.49988455	0.49823704	0	-2.7173783e-18	-4.3540877e-18	1.5707964	0	0.49	1e-07	2.72e-07	0	4e-09
0	0.99754936	-3.4999703e-09	0	-2.7220758e-18	-4.3541034e-18	0	0	0.49	1e-07	2.76e-07	0	4e-09
0	0.49983287	0.49826157	0	-2.717378e-18	-4.3540885e-18	1.5707964	0	0.49	1e-07	2.76e-07	0	4e-09
0	0.9975492	-3.1526446e-09	0	-2.7218707e-18	-4.3541026e-18	0	0	0.49	1e-07	2.8e-07	0	4e-09
0	0.49978894	0.49828237	0	-2.717377e-18	-4.3540885e-18	1.5707964	0	0.49	1e-07	2.8e-07	0	4e-09
0	0.9975492	-4.0885335e-09	0	-2.7216784e-18	-4.3541026e-18	0	0	0.49	1e-07	2.84e-07	0	4e-09
0	0.49974522	0.49830306	0	-2.7173772e-18	-4.3540897e-18	1.5707964	0	0.49	1e-07	2.84e-07	0	4e-09
0	0.9975491	-3.7616914e-09	0	-2.7214958e-18	-4.3541026e-18	0	0	0.49	1e-07	2.88e-07	0	4e-09
0	0.4997041	0.4983226	0	-2.7173768e-18	-4.3540897e-18	1.5707964	0	0.49	1e-07	2.88e-07	0	4e-09
0	0.9975491	-3.532744e-09	0	-2.7213235e-18	-4.354102e-18	0	0	0.49	1e-07	2.92e-07	0	4e-09
0	0.49966538	0.498341	0	-2.717376e-18	-4.35409e-18	1.5707964	0	0.49	1e-07	2.92e-07	0	4e-09
0	0.9975491	-6.1713563e-09	0	-2.7211614e-18	-4.354102e-18	0	0	0.49	1e-07	2.96e-07	0	4e-09
0	0.4996264	0.49835956	0	-2.7173758e-18	-4.3540906e-18	1.5707964	0	0.49	1e-07	2.96e-07	0	4e-09
0	0.997549	-4.4299275e-09	0	-2.7210077e-18	-4.3541017e-18	0	0	0.49	1e-07	3e-07	0	4e-09
0	0.49959192	0.49837598	0	-2.717375e-18	-4.3540906e-18	1.5707964	0	0.49	1e-07	3e-07	0	4e-09
0	0.997549	-2.6640032e-09	0	-2.7208628e-18	-4.3541013e-18	0	0	0.49	1e-07	3.04e-07	0	4e-09
0	0.49956104	0.4983907	0	-2.717375e-18	-4.354091e-18	1.5707964	0	0.49	1e-07	3.04e-07	0	4e-09
0	0.99754894	-2.6260019e-09	0	-2.7207255e-18	-4.3541013e-18	0	0	0.49	1e-07	3.08e-07	0	4e-09
