# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_magAngle (rad)	island2_magAngle (rad)	roundness ()	size (m)	islands_distance (m)	island1_angle (rad)	island2_angle (rad)	Cell_size (m)
0	0.99629104	1.768823e-09	0	-2.7968461e-18	-4.3039775e-18	0	0	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.9941871	0.04525284	0	-2.7961722e-18	-4.303933e-18	0	0.09817477	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.9878258	0.090462804	0	-2.7942312e-18	-4.303806e-18	0	0.19634955	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.9770527	0.13557883	0	-2.7912558e-18	-4.3035974e-18	0	0.2945243	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.9616727	0.18033506	0	-2.7876003e-18	-4.3032723e-18	0	0.3926991	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.94162875	0.22407448	0	-2.7836526e-18	-4.302764e-18	0	0.49087384	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.9170998	0.26601675	0	-2.7796859e-18	-4.3020853e-18	0	0.5890486	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.8885802	0.30529302	0	-2.7757632e-18	-4.3014054e-18	0	0.6872234	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.8565191	0.34147048	0	-2.7718082e-18	-4.300992e-18	0	0.7853982	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.82112485	0.3744339	0	-2.7677587e-18	-4.301027e-18	0	0.88357294	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.78246856	0.4040522	0	-2.763674e-18	-4.3014885e-18	0	0.9817477	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.7407839	0.4299702	0	-2.7596962e-18	-4.302154e-18	0	1.0799224	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.69667655	0.45169616	0	-2.7559065e-18	-4.302744e-18	0	1.1780972	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.65111536	0.4687858	0	-2.7521848e-18	-4.303083e-18	0	1.276272	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.6048681	0.4811744	0	-2.7482379e-18	-4.3031813e-18	0	1.3744467	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.5583137	0.4890087	0	-2.7437389e-18	-4.303119e-18	0	1.4726216	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.5116067	0.49243313	0	-2.7384476e-18	-4.3029662e-18	0	1.5707964	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.46477973	0.4915091	0	-2.732274e-18	-4.3027847e-18	0	1.6689711	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.41784355	0.48617893	0	-2.7252991e-18	-4.3026337e-18	0	1.7671459	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.3708609	0.47626674	0	-2.7177772e-18	-4.302557e-18	0	1.8653207	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.3240121	0.46151954	0	-2.7101164e-18	-4.302539e-18	0	1.9634954	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.27794006	0.44176224	0	-2.702803e-18	-4.3024596e-18	0	2.06167	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.23350659	0.41709784	0	-2.696242e-18	-4.302233e-18	0	2.1598449	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.1917652	0.3879967	0	-2.6906111e-18	-4.301939e-18	0	2.2580197	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.15333691	0.35497108	0	-2.68589e-18	-4.3018314e-18	0	2.3561945	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.11844672	0.3182961	0	-2.6820384e-18	-4.3021114e-18	0	2.4543693	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.08729976	0.2781029	0	-2.6791222e-18	-4.3027293e-18	0	2.552544	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.060354773	0.23475659	0	-2.6772712e-18	-4.30341e-18	0	2.6507187	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.038210224	0.18911786	0	-2.6764897e-18	-4.3038708e-18	0	2.7488935	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.021212209	0.14227211	0	-2.6765354e-18	-4.3040573e-18	0	2.8470683	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.009328506	0.09496322	0	-2.67699e-18	-4.3040825e-18	0	2.9452431	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.002316912	0.047510296	0	-2.6774467e-18	-4.3040672e-18	0	3.043418	0.482	1e-07	1.28e-07	0	0	1e-09
0	-3.6976955e-10	-2.483527e-10	0	-2.6776298e-18	-4.3040577e-18	0	3.1415927	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.0023165161	-0.04750083	0	-2.677447e-18	-4.304067e-18	0	3.2397673	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.009328496	-0.094961934	0	-2.6769906e-18	-4.3040838e-18	0	3.3379421	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.021213915	-0.14226817	0	-2.6765354e-18	-4.304057e-18	0	3.436117	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.03820964	-0.1891169	0	-2.6764897e-18	-4.3038704e-18	0	3.5342917	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.06035416	-0.2347559	0	-2.6772712e-18	-4.30341e-18	0	3.6324666	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.08729888	-0.2781019	0	-2.6791224e-18	-4.302729e-18	0	3.7306414	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.118447155	-0.31829616	0	-2.682038e-18	-4.3021105e-18	0	3.828816	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.15333764	-0.35497132	0	-2.6858904e-18	-4.3018314e-18	0	3.9269907	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.19176458	-0.38799652	0	-2.690611e-18	-4.3019385e-18	0	4.0251656	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.23350708	-0.41709775	0	-2.6962421e-18	-4.3022334e-18	0	4.12334	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.27794048	-0.44176194	0	-2.7028031e-18	-4.3024588e-18	0	4.221515	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.3240458	-0.461523	0	-2.7101167e-18	-4.302534e-18	0	4.3196898	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.37085217	-0.47626618	0	-2.7177774e-18	-4.302559e-18	0	4.417865	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.41784456	-0.48617852	0	-2.7253e-18	-4.3026346e-18	0	4.5160394	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.46477482	-0.49151045	0	-2.7322748e-18	-4.3027863e-18	0	4.6142144	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.5116066	-0.49243313	0	-2.738448e-18	-4.3029667e-18	0	4.712389	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.5583097	-0.4890107	0	-2.7437389e-18	-4.3031193e-18	0	4.8105636	0.482	1e-07	1.28e-07	0	0	1e-09
0	0.6048685	-0.4811724	0	-2.748238e-18	-4.3031813e-18	0	4.9087386	0.482	1e-07	1.28e-07	0	0	1e-09
