# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_angle (rad)	island2_angle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)
0	0.997109	8.053269e-10	0	-3.4673093e-18	-5.117961e-18	0	0	0.66	1e-07	1.28e-07	0
0	0.995151	0.043893527	0	-3.4661949e-18	-5.118019e-18	0	0.09817477	0.66	1e-07	1.28e-07	0
0	0.98924464	0.08771019	0	-3.4629157e-18	-5.118218e-18	0	0.19634955	0.66	1e-07	1.28e-07	0
0	0.9792882	0.13136734	0	-3.457676e-18	-5.118624e-18	0	0.2945243	0.66	1e-07	1.28e-07	0
0	0.96509486	0.17478116	0	-3.4508253e-18	-5.119316e-18	0	0.3926991	0.66	1e-07	1.28e-07	0
0	0.9463936	0.2177981	0	-3.4428802e-18	-5.1203415e-18	0	0.49087384	0.66	1e-07	1.28e-07	0
0	0.9228724	0.26010174	0	-3.4345056e-18	-5.121629e-18	0	0.5890486	0.66	1e-07	1.28e-07	0
0	0.89430994	0.30109513	0	-3.4264542e-18	-5.1229256e-18	0	0.6872234	0.66	1e-07	1.28e-07	0
0	0.8608278	0.33980638	0	-3.4194087e-18	-5.123826e-18	0	0.7853982	0.66	1e-07	1.28e-07	0
0	0.82308567	0.37505776	0	-3.4137756e-18	-5.1239806e-18	0	0.88357294	0.66	1e-07	1.28e-07	0
0	0.7821829	0.4058645	0	-3.4095198e-18	-5.1233445e-18	0	0.9817477	0.66	1e-07	1.28e-07	0
0	0.73926085	0.43173915	0	-3.4062133e-18	-5.1221708e-18	0	1.0799224	0.66	1e-07	1.28e-07	0
0	0.695167	0.45266822	0	-3.4032121e-18	-5.120793e-18	0	1.1780972	0.66	1e-07	1.28e-07	0
0	0.65038896	0.4688876	0	-3.3998641e-18	-5.119456e-18	0	1.276272	0.66	1e-07	1.28e-07	0
0	0.6051764	0.48065984	0	-3.3956302e-18	-5.1182797e-18	0	1.3744467	0.66	1e-07	1.28e-07	0
0	0.5596553	0.48818684	0	-3.3901307e-18	-5.117307e-18	0	1.4726216	0.66	1e-07	1.28e-07	0
0	0.51391417	0.49158043	0	-3.3831484e-18	-5.1165575e-18	0	1.5707964	0.66	1e-07	1.28e-07	0
0	0.46803504	0.49087328	0	-3.3746181e-18	-5.1160654e-18	0	1.6689711	0.66	1e-07	1.28e-07	0
0	0.42209995	0.48602363	0	-3.3646188e-18	-5.115899e-18	0	1.7671459	0.66	1e-07	1.28e-07	0
0	0.37619105	0.4769111	0	-3.3533811e-18	-5.1161613e-18	0	1.8653207	0.66	1e-07	1.28e-07	0
0	0.33039853	0.463321	0	-3.3413005e-18	-5.116962e-18	0	1.9634954	0.66	1e-07	1.28e-07	0
0	0.28487167	0.44493365	0	-3.328961e-18	-5.1183595e-18	0	2.06167	0.66	1e-07	1.28e-07	0
0	0.2399182	0.42135876	0	-3.3171297e-18	-5.1202563e-18	0	2.1598449	0.66	1e-07	1.28e-07	0
0	0.1961996	0.39228147	0	-3.3066981e-18	-5.1222866e-18	0	2.2580197	0.66	1e-07	1.28e-07	0
0	0.15484345	0.35777196	0	-3.2985037e-18	-5.1238433e-18	0	2.3561945	0.66	1e-07	1.28e-07	0
0	0.117290884	0.31857687	0	-3.2930567e-18	-5.1243897e-18	0	2.4543693	0.66	1e-07	1.28e-07	0
0	0.0847704	0.27602443	0	-3.2903266e-18	-5.12385e-18	0	2.552544	0.66	1e-07	1.28e-07	0
0	0.057838425	0.23146525	0	-3.2897823e-18	-5.1226224e-18	0	2.6507187	0.66	1e-07	1.28e-07	0
0	0.036439136	0.18585801	0	-3.2906423e-18	-5.1212187e-18	0	2.7488935	0.66	1e-07	1.28e-07	0
0	0.020247161	0.13972017	0	-3.2921331e-18	-5.11999e-18	0	2.8470683	0.66	1e-07	1.28e-07	0
0	0.008922864	0.09329116	0	-3.2936264e-18	-5.1190908e-18	0	2.9452431	0.66	1e-07	1.28e-07	0
0	0.0022198511	0.046688624	0	-3.2946893e-18	-5.1185585e-18	0	3.043418	0.66	1e-07	1.28e-07	0
0	1.93232e-09	-4.4592002e-10	0	-3.2950713e-18	-5.118384e-18	0	3.1415927	0.66	1e-07	1.28e-07	0
0	0.0022199193	-0.046689115	0	-3.2946897e-18	-5.118559e-18	0	3.2397673	0.66	1e-07	1.28e-07	0
0	0.008922842	-0.09329106	0	-3.2936262e-18	-5.1190908e-18	0	3.3379421	0.66	1e-07	1.28e-07	0
0	0.0202475	-0.13972166	0	-3.2921325e-18	-5.11999e-18	0	3.436117	0.66	1e-07	1.28e-07	0
0	0.03643956	-0.18585925	0	-3.2906421e-18	-5.1212187e-18	0	3.5342917	0.66	1e-07	1.28e-07	0
0	0.057838436	-0.23146513	0	-3.2897827e-18	-5.1226224e-18	0	3.6324666	0.66	1e-07	1.28e-07	0
0	0.08477009	-0.27602383	0	-3.2903262e-18	-5.1238495e-18	0	3.7306414	0.66	1e-07	1.28e-07	0
0	0.117290646	-0.31857675	0	-3.2930565e-18	-5.1243897e-18	0	3.828816	0.66	1e-07	1.28e-07	0
0	0.15484346	-0.35777196	0	-3.2985039e-18	-5.1238433e-18	0	3.9269907	0.66	1e-07	1.28e-07	0
0	0.19620006	-0.39228177	0	-3.3066981e-18	-5.122286e-18	0	4.0251656	0.66	1e-07	1.28e-07	0
0	0.2399185	-0.42135894	0	-3.31713e-18	-5.1202563e-18	0	4.12334	0.66	1e-07	1.28e-07	0
0	0.28487173	-0.4449335	0	-3.328961e-18	-5.1183595e-18	0	4.221515	0.66	1e-07	1.28e-07	0
0	0.3303991	-0.46332106	0	-3.3413008e-18	-5.1169616e-18	0	4.3196898	0.66	1e-07	1.28e-07	0
0	0.3761911	-0.47691107	0	-3.3533811e-18	-5.1161613e-18	0	4.417865	0.66	1e-07	1.28e-07	0
