# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_magAngle (rad)	island2_magAngle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)	Cell_size (m)
0	0.9980888	-3.0411897e-09	0	-4.030292e-18	-5.787317e-18	0	0	0.81	1e-07	1.28e-07	0	4e-09
0	0.9959152	0.045827758	0	-4.02963e-18	-5.787331e-18	0	0.09817477	0.81	1e-07	1.28e-07	0	4e-09
0	0.989398	0.09133562	0	-4.027669e-18	-5.7873745e-18	0	0.19634955	0.81	1e-07	1.28e-07	0	4e-09
0	0.97854865	0.13619524	0	-4.0244723e-18	-5.787442e-18	0	0.2945243	0.81	1e-07	1.28e-07	0	4e-09
0	0.9633955	0.18005495	0	-4.020143e-18	-5.7875263e-18	0	0.3926991	0.81	1e-07	1.28e-07	0	4e-09
0	0.9439924	0.22254516	0	-4.0148133e-18	-5.7876173e-18	0	0.49087384	0.81	1e-07	1.28e-07	0	4e-09
0	0.9204348	0.26326376	0	-4.008631e-18	-5.7876967e-18	0	0.5890486	0.81	1e-07	1.28e-07	0	4e-09
0	0.8928694	0.3017953	0	-4.0017464e-18	-5.7877435e-18	0	0.6872234	0.81	1e-07	1.28e-07	0	4e-09
0	0.86150897	0.33771244	0	-3.9943e-18	-5.787733e-18	0	0.7853982	0.81	1e-07	1.28e-07	0	4e-09
0	0.82663	0.3706047	0	-3.986408e-18	-5.787648e-18	0	0.88357294	0.81	1e-07	1.28e-07	0	4e-09
0	0.78857464	0.40008408	0	-3.9781597e-18	-5.7874734e-18	0	0.9817477	0.81	1e-07	1.28e-07	0	4e-09
0	0.74773276	0.4258162	0	-3.9696046e-18	-5.787209e-18	0	1.0799224	0.81	1e-07	1.28e-07	0	4e-09
0	0.7045324	0.44751856	0	-3.9607658e-18	-5.7868666e-18	0	1.1780972	0.81	1e-07	1.28e-07	0	4e-09
0	0.6594123	0.4649746	0	-3.9516428e-18	-5.7864704e-18	0	1.276272	0.81	1e-07	1.28e-07	0	4e-09
0	0.6128102	0.47802502	0	-3.9422233e-18	-5.7860544e-18	0	1.3744467	0.81	1e-07	1.28e-07	0	4e-09
0	0.56515145	0.48655957	0	-3.9324977e-18	-5.7856552e-18	0	1.4726216	0.81	1e-07	1.28e-07	0	4e-09
