# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_magAngle (rad)	island2_magAngle (rad)	roundness ()	size (m)	islands_distance (m)	island1_angle (rad)	island2_angle (rad)	Cell_size (m)
0	0.99758214	3.3660953e-07	0	-3.5764452e-18	-5.19062e-18	0	0	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.99419206	0.055680756	0	-3.5784578e-18	-5.189328e-18	0	0.09817477	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.98484266	0.10775102	0	-3.5836678e-18	-5.1865118e-18	0	0.19634955	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.97098726	0.15512416	0	-3.5903138e-18	-5.1837184e-18	0	0.2945243	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.9536258	0.19829382	0	-3.5967157e-18	-5.1815793e-18	0	0.3926991	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.93333495	0.23787619	0	-3.6016205e-18	-5.1800924e-18	0	0.49087384	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.9103064	0.27450398	0	-3.604186e-18	-5.1790126e-18	0	0.5890486	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.8846651	0.30855596	0	-3.603883e-18	-5.178145e-18	0	0.6872234	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.8564947	0.3399284	0	-3.6004223e-18	-5.1773454e-18	0	0.7853982	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.82582414	0.3688669	0	-3.593714e-18	-5.17659e-18	0	0.88357294	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.7925426	0.3953987	0	-3.5838402e-18	-5.1759685e-18	0	0.9817477	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.75650203	0.41946942	0	-3.5710748e-18	-5.175691e-18	0	1.0799224	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.7173132	0.4410218	0	-3.5559258e-18	-5.1761245e-18	0	1.1780972	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.6744804	0.45980808	0	-3.539211e-18	-5.1776738e-18	0	1.276272	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.6271694	0.47539404	0	-3.5221797e-18	-5.1806785e-18	0	1.3744467	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.5744961	0.48685434	0	-3.506627e-18	-5.1848843e-18	0	1.4726216	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.5166604	0.49259013	0	-3.49473e-18	-5.188619e-18	0	1.5707964	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.4570673	0.49110365	0	-3.4880635e-18	-5.1894243e-18	0	1.6689711	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.40085894	0.48279876	0	-3.486283e-18	-5.187286e-18	0	1.7671459	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.3499167	0.46935675	0	-3.487516e-18	-5.1842192e-18	0	1.8653207	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.3038596	0.45206973	0	-3.489777e-18	-5.1815086e-18	0	1.9634954	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.2618931	0.43167886	0	-3.4915753e-18	-5.1794754e-18	0	2.06167	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.22323371	0.40842944	0	-3.4919248e-18	-5.178012e-18	0	2.1598449	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.18744765	0.3823637	0	-3.490221e-18	-5.1769595e-18	0	2.2580197	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.15446272	0.3536046	0	-3.4861407e-18	-5.1761997e-18	0	2.3561945	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.12412653	0.32221308	0	-3.47958e-18	-5.175716e-18	0	2.4543693	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.09641251	0.2880735	0	-3.470632e-18	-5.1756004e-18	0	2.552544	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.07138164	0.25101572	0	-3.4596054e-18	-5.176055e-18	0	2.6507187	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.049080007	0.21057808	0	-3.4470734e-18	-5.177432e-18	0	2.7488935	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.02977488	0.16609024	0	-3.4339878e-18	-5.180087e-18	0	2.8470683	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.014045916	0.11656938	0	-3.421834e-18	-5.1841092e-18	0	2.9452431	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.0030924075	0.060915057	0	-3.412774e-18	-5.188614e-18	0	3.043418	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	-0.0010055751	1.8408158e-06	0	-3.4093244e-18	-5.190834e-18	0	3.1415927	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.0030908585	-0.060910825	0	-3.412771e-18	-5.1886207e-18	0	3.2397673	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.014048055	-0.11658112	0	-3.4218297e-18	-5.184112e-18	0	3.3379421	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.029784277	-0.16611497	0	-3.433985e-18	-5.180084e-18	0	3.436117	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.049081217	-0.21058129	0	-3.4470734e-18	-5.1774368e-18	0	3.5342917	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.07136971	-0.2510009	0	-3.459607e-18	-5.1760657e-18	0	3.6324666	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.09641925	-0.28808162	0	-3.4706377e-18	-5.1756025e-18	0	3.7306414	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.12413051	-0.32221636	0	-3.4795886e-18	-5.175718e-18	0	3.828816	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
0	0.15446617	-0.35360774	0	-3.4861535e-18	-5.1762e-18	0	3.9269907	0.66	1e-07	1.28e-07	0	0.7853982	1e-09
