# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_magAngle (rad)	island2_magAngle (rad)	roundness ()	size (m)	islands_distance (m)	island1_angle (rad)	island2_angle (rad)	Cell_size (m)
0	0.99981946	7.4407744e-08	0	-3.5267317e-18	-5.195862e-18	0	0	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9964081	0.055638906	0	-3.5287777e-18	-5.1945487e-18	0	0.09817477	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9870079	0.10764686	0	-3.534075e-18	-5.1916866e-18	0	0.19634955	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.97308314	0.15494715	0	-3.54085e-18	-5.1888515e-18	0	0.2945243	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9556733	0.19800243	0	-3.547402e-18	-5.186696e-18	0	0.3926991	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9352779	0.23751685	0	-3.5524764e-18	-5.185185e-18	0	0.49087384	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9121907	0.27402812	0	-3.5552223e-18	-5.1841084e-18	0	0.5890486	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.8865147	0.30781522	0	-3.5551123e-18	-5.1832382e-18	0	0.6872234	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.8583022	0.33914554	0	-3.5518577e-18	-5.1824466e-18	0	0.7853982	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.82755506	0.36798653	0	-3.5453627e-18	-5.181696e-18	0	0.88357294	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.7941866	0.3944288	0	-3.5357136e-18	-5.181085e-18	0	0.9817477	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.75801456	0.41843662	0	-3.5231827e-18	-5.1808373e-18	0	1.0799224	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.7187664	0.4398752	0	-3.508277e-18	-5.18127e-18	0	1.1780972	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.67581946	0.45853558	0	-3.4918156e-18	-5.182833e-18	0	1.276272	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.62842065	0.4740175	0	-3.475049e-18	-5.185831e-18	0	1.3744467	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.5756166	0.48534426	0	-3.4597727e-18	-5.190024e-18	0	1.4726216	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
